idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
14,1,14,167035.0,2.238,-1.885,-1.885,0.177,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.985,1.985,0.654,21.0,13.089,13.34050450782858,-0.40993837259543825,13.3475,2.8824393571325437,-0.09486491687303389,2.884,0.0006051765783614189,13.340748759627466,0.13453731090095009,-0.40191109118693513,0.40191109118693513,balanced
15,1,15,167427.0,2.63,-1.424,-1.424,0.743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.34050450782858,-0.40993837259543825,13.3475,0.0,-0.0,0.0,0.0,13.340748759627466,0.13453731090095009,-0.40191109118693513,0.40191109118693513,balanced
16,1,16,167428.0,2.631,-1.424,-1.424,0.743,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.594,1.594,0.436,21.0,13.187,13.354500184179894,-0.41028628561512726,13.3615,0.013995676351314032,-0.0003479130196890251,0.014,0.0,13.35474464279027,0.1346784550389842,-0.4022505827084647,0.4022505827084647,balanced
17,1,17,167634.0,2.837,-1.128,-1.128,0.985,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.424,1.424,0.381,20.0,12.638,16.44390137645979,-0.47111615606994,16.4515,3.089401192279897,-0.06082987045481277,3.09,0.0016719011604864771,16.444181878152705,0.16583447074184904,-0.4612214972012329,0.4612214972012329,balanced
18,1,18,167838.0,3.041,-1.066,-1.066,0.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.44390137645979,-0.47111615606994,16.4515,0.0,-0.0,0.0,0.0,16.444181878152705,0.16583447074184904,-0.4612214972012329,0.4612214972012329,balanced
19,1,19,167839.0,3.042,-1.066,-1.066,0.745,15.0,13.0,2.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.128,1.128,0.254,21.0,13.288,16.457898953452858,-0.47137661398048347,16.4655,0.013997576993066883,-0.0002604579105434445,0.014,0.0,16.458179609333698,0.16597563351657307,-0.4614735324858008,0.4614735324858008,balanced
20,1,20,168049.0,3.252,-0.718,-0.718,1.063,14.0,15.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.066,1.066,0.262,20.5,13.04,19.502659866849815,-0.5095339232428109,19.5105,3.044760913396955,-0.038157309262327424,3.045,0.0019946620022792336,19.50296293143095,0.19668132836262942,-0.4977987507013608,0.4977987507013608,balanced
21,1,21,168254.0,3.457,-0.965,-0.965,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.502659866849815,-0.5095339232428109,19.5105,0.0,-0.0,0.0,0.0,19.50296293143095,0.19668132836262942,-0.4977987507013608,0.4977987507013608,balanced
22,1,22,168255.0,3.458,-0.965,-0.965,0.269,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-0.718,0.718,0.109,20.0,12.791,19.51765773939493,-0.5097865477080894,19.5255,0.014997872545115948,-0.0002526244652785156,0.015,0.0,19.51796095326939,0.1968325787581907,-0.4980423506473297,0.4980423506473297,balanced
23,1,23,168648.0,3.851,-1.235,-1.235,-0.293,14.0,13.0,1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-0.998,0.998,0.317,21.5,13.787,24.82192529265967,-0.624136770195369,24.831000000000003,5.30426755326474,-0.11435022248727957,5.3055,-0.0008882082707350281,24.822296352756815,0.25032515504621633,-0.60920088493319,0.60920088493319,balanced
24,1,24,168853.0,4.056,-1.142,-1.142,-0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.82192529265967,-0.624136770195369,24.831000000000003,0.0,-0.0,0.0,0.0,24.822296352756815,0.25032515504621633,-0.60920088493319,0.60920088493319,balanced
25,1,25,168854.0,4.057,-1.142,-1.142,-0.031,15.0,14.0,1.0,14.0,12.0,14.0,12.0,2.0,13.0,13.0,1.0,-1.235,1.235,0.443,20.5,13.24,24.836422412539743,-0.6244257601307629,24.845500000000005,0.014497119880074147,-0.00028898993539391296,0.0145,0.0,24.83679364390259,0.2504713557281453,-0.609481151654039,0.609481151654039,balanced
26,1,26,169203.0,4.406,-1.374,-1.374,-0.351,14.0,14.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.345,1.345,0.498,21.0,13.625,29.721017559632124,-0.7415848357569417,29.731500000000004,4.884595147092378,-0.11715907562617875,4.885999999999999,-0.0008287277659899402,29.72145840332607,0.29973168385712073,-0.7237010625552212,0.7237010625552212,balanced
27,1,27,169435.0,4.638,-1.419,-1.419,-0.296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.721017559632124,-0.7415848357569417,29.731500000000004,0.0,-0.0,0.0,0.0,29.72145840332607,0.29973168385712073,-0.7237010625552212,0.7237010625552212,balanced
28,1,28,169436.0,4.639,-1.419,-1.419,-0.296,15.0,14.0,1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.419,1.419,0.509,20.5,13.382,29.735513112957683,-0.7419439092673263,29.746000000000006,0.014495553325559534,-0.0003590735103846279,0.0145,0.0,29.735954170088085,0.2998778691661126,-0.7240514137809959,0.7240514137809959,balanced
29,1,29,169647.0,4.85,-1.257,-1.257,0.075,14.0,14.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.419,1.419,0.504,21.0,13.734,32.68880224593674,-0.8067458924760846,32.7,2.9532891329790605,-0.06480198320875832,2.9539999999999997,0.0009571541598614816,32.6892817608777,0.3296612613454816,-0.7870763412368412,0.7870763412368412,balanced
30,1,30,169853.0,5.056,-1.308,-1.308,-0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.68880224593674,-0.8067458924760846,32.7,0.0,-0.0,0.0,0.0,32.6892817608777,0.3296612613454816,-0.7870763412368412,0.7870763412368412,balanced
31,1,31,169854.0,5.057,-1.308,-1.308,-0.038,15.0,14.0,1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.257,1.257,0.406,20.5,13.485,32.70329846769825,-0.8070768828705005,32.7145,0.014496221761507529,-0.00033099039441586756,0.0145,0.0,32.70377817917744,0.3298074532250293,-0.787398608949522,0.787398608949522,balanced
