seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,5.0,0.0,0.416,0.416,0.057,0.008,-0.049,0.0304,0.032,0.06328348915791544,2.2,2.6,-0.4,5.0,6.0,-1.0,4.0,4.0,0.0,7.0,7.0,4.0,7.0,4.0,7.0,0.0,0.0,0.0158,0.022,-0.0158,-0.022,-0.003,-0.003,6.765600000000001,12.256,4.1018,7.453,0.00014899152151171108,0.0,-0.012283736294863694,-0.007344178267520851,0.012283736294863694,-0.012283736294863694,0.0,0.08,balanced,mild,0.00031811242796517974,0.00031811242796517974,0.08,balanced,low,stuck,0.8279999382609798,0.00031811242796517974,0.8279999999999998,0.0,0.0,0.8279999382609798,0.00031811242796517974,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.6,0.6,0.6,0.6,0.0,1.9903846153846154,0.209,0.0,0.0,0.0
1.0,4.0,0.621,1.037,0.416,-0.207,-1.136,-0.9289999999999999,-0.6257499999999999,-0.91,0.9925343822759997,6.0,6.5,-0.5,9.0,9.0,0.0,6.75,6.75,0.0,10.0,10.0,6.75,10.0,6.75,10.0,0.0,0.0,-0.19474999999999998,-0.58,0.19474999999999998,0.58,0.0395,0.114,10.787,16.196,6.5969999999999995,9.921,0.0018937576914141597,-0.04123776195571434,-0.10767863096583799,-0.05790182748433087,0.10767863096583799,-0.06644086901012365,0.0,0.08,left,moderate,-0.0372383929070429,0.0372383929070429,0.08,balanced,mild,restart_after_pause,1.8981280900156838,-0.03755650533500808,1.8984999999999999,0.8279999382609798,0.00031811242796517974,2.726128028276664,-0.0372383929070429,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,restart_after_pause_straight,0.75,0.75,0.75,0.75,0.0,4.563701923076923,0.205,0.0,1.0,0.0
1.0,3.0,1.242,1.672,0.43,-1.857,-3.669,-1.812,-2.686,-2.7453333333333334,2.793924360703656,11.333333333333334,11.666666666666666,-0.3333333333333333,12.0,13.0,-1.0,11.333333333333334,11.333333333333334,0.0,12.0,12.0,11.333333333333334,12.0,11.333333333333334,12.0,0.0,0.0,-1.8413333333333333,-2.532,1.8413333333333333,2.532,0.32566666666666666,0.433,18.736,20.376,11.534333333333334,12.568,0.005991834512359101,-0.2052851261540831,-0.5743046339108698,-0.3767432275957589,0.5743046339108698,-0.3690195077567867,0.0,0.10546,left,high,-0.32616301431610123,0.32616301431610123,0.12990947900744326,left,moderate,left_curve,5.264819872467662,-0.28892462140905834,5.273,2.726128028276664,-0.0372383929070429,7.990947900744326,-0.32616301431610123,moving,balanced,left_arc,1.0,3.0,0.10546,left_arc,1.0,1.0,1.0,1.0,0.0,12.262790697674419,0.0,0.0,0.0,0.0
1.0,3.0,1.872,2.293,0.421,-3.831,-4.053,-0.22199999999999998,-3.9979999999999998,-1.954,2.023287423971196,14.666666666666666,14.333333333333334,0.3333333333333333,15.0,14.0,1.0,14.0,12.0,2.0,14.0,12.0,13.0,13.0,13.0,13.0,1.0,1.0,-3.8699999999999997,-4.11,3.8699999999999997,4.11,0.5983333333333333,0.597,20.5,20.5,12.744,12.795,0.0009475989964305032,-0.8120802349218179,-1.3393287844756394,-1.0801735189604564,1.3393287844756394,-0.5272485495538215,0.0,0.12209000000000002,left,high,-0.7607897654192344,0.7607897654192344,0.19079955261202552,left,moderate,left_curve,6.089007360458226,-0.4346267511031331,6.104500000000001,7.990947900744326,-0.32616301431610123,14.079955261202553,-0.7607897654192344,moving,balanced,left_arc,1.0,3.0,0.12209000000000002,left_arc,1.0,1.0,1.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0
1.0,3.0,2.454,2.895,0.441,-3.619,-2.753,0.8660000000000001,-3.042666666666667,0.8066666666666666,0.9588562631246318,14.666666666666666,14.333333333333334,0.3333333333333333,15.0,14.0,1.0,13.333333333333334,12.666666666666666,0.6666666666666666,13.0,13.0,13.0,13.0,13.0,13.0,0.3333333333333333,0.0,-3.4760000000000004,-2.756,3.4760000000000004,2.756,0.4126666666666667,0.261,20.5,20.5,12.888666666666666,12.942,0.0025798108192896622,-1.5221280574051141,-1.9266081294055217,-1.7279117518211633,1.9266081294055217,-0.4044800720004076,0.0,0.12789,left,high,-1.0680962726077696,1.0680962726077696,0.2546706673139708,left,moderate,left_curve,6.387111470194528,-0.3073065071885353,6.3945,14.079955261202553,-0.7607897654192344,20.467066731397082,-1.0680962726077696,moving,balanced,left_arc,1.0,3.0,0.12789,left_arc,1.0,1.0,1.0,1.0,0.0,14.5,0.0,0.0,0.0,0.0
1.0,4.0,3.1,3.516,0.416,-2.729,-2.886,-0.15700000000000003,-2.794308,0.3252015,0.38736135120711257,14.5,15.0,-0.5,14.0,14.0,0.0,12.75,12.75,0.0,13.0,13.0,12.75,13.0,12.75,13.0,0.0,0.0,-2.761048,-2.781,2.761048,2.781,0.30420075,0.318,20.25,21.0,12.9008085,13.394,0.0005877749821426674,-2.1261831989572153,-2.5165916014495187,-2.354529741753779,2.5165916014495187,-0.39040840249230335,0.0,0.122,left,high,-1.365810372994976,1.365810372994976,0.315597959954129,left,moderate,left_curve,6.092729264015814,-0.2977141003872064,6.1,20.467066731397082,-1.0680962726077696,26.559795995412898,-1.365810372994976,moving,balanced,left_arc,1.0,3.0,0.122,left_arc,1.0,1.0,1.0,1.0,0.0,14.663461538461538,0.0,0.0,0.0,0.0
1.0,3.0,3.676,4.073,0.397,-3.309,-3.748,-0.43900000000000006,-3.5096666666666665,-0.9540000000000001,0.9623256552054853,14.333333333333334,14.333333333333334,0.0,15.0,15.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,-3.2223333333333333,-3.472,3.2223333333333333,3.472,0.41500000000000004,0.458,20.666666666666668,20.0,13.285666666666666,12.932,0.002039354203005697,-2.6799063412029946,-3.1252830378346412,-2.9103722408889214,3.1252830378346412,-0.4453766966316466,0.0,0.11446,left,high,-1.7242982300614829,1.7242982300614829,0.35,left,moderate,left_curve,5.711744822737444,-0.358487857066507,5.723,26.559795995412898,-1.365810372994976,32.27154081815034,-1.7242982300614829,moving,balanced,left_arc,1.0,3.0,0.11446,left_arc,1.0,1.0,1.0,1.0,0.0,14.415617128463477,0.0,0.0,0.0,0.0
1.0,3.0,4.305,4.719,0.414,-3.971,-3.469,0.5020000000000002,-3.8533333333333335,-0.5053333333333333,0.8719529803836902,14.666666666666666,14.0,0.6666666666666666,15.0,14.0,1.0,14.333333333333334,12.333333333333334,2.0,14.0,12.0,13.333333333333334,13.0,13.333333333333334,13.0,1.0,1.0,-3.9463333333333335,-4.12,3.9463333333333335,4.12,0.526,0.542,20.666666666666668,20.5,13.44,13.39,0.0019596091944540754,-3.3995005477163738,-3.888205161496364,-3.6503043046962866,3.888205161496364,-0.4887046137799902,0.0,0.12006,left,high,-2.1218878384703026,2.1218878384703026,0.35,left,moderate,left_curve,5.989721912384397,-0.39758960840881963,6.003,32.27154081815034,-1.7242982300614829,38.26126273053474,-2.1218878384703026,moving,balanced,left_arc,1.0,3.0,0.12006,left_arc,1.0,1.0,1.0,1.0,0.0,14.499999999999998,0.0,0.0,0.0,0.0
1.0,3.0,4.923,5.292,0.369,-2.562,-1.775,0.7869999999999999,-2.126,1.9783333333333335,1.9808436754743335,15.0,14.666666666666666,0.3333333333333333,16.0,16.0,0.0,13.333333333333334,13.333333333333334,0.0,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,0.0,0.0,-2.6906666666666665,-2.041,2.6906666666666665,2.041,0.24766666666666667,0.139,20.166666666666668,19.0,13.288000000000002,12.632,0.0034313559606714635,-4.065388255718756,-4.332455413588883,-4.20279169778939,4.332455413588883,-0.2670671578701267,0.0,0.10991999999999998,left,high,-2.305376288330836,2.305376288330836,0.35,left,moderate,left_curve,5.492921397493474,-0.1834884498605333,5.495999999999999,38.26126273053474,-2.1218878384703026,43.754184128028214,-2.305376288330836,moving,balanced,left_arc,0.6692908466205727,3.0,0.10991999999999998,left_arc,1.0,1.0,1.0,1.0,0.0,14.89430894308943,0.0,0.0,0.0,0.0
1.0,3.0,5.524,5.938,0.414,-0.952,0.054,1.006,-0.38433333333333336,2.5476666666666667,2.5544184595846207,15.333333333333334,14.333333333333334,1.0,15.0,14.0,1.0,13.666666666666666,13.666666666666666,0.0,14.0,14.0,13.666666666666666,14.0,13.666666666666666,14.0,0.0,0.0,-0.9939999999999999,-0.255,0.9939999999999999,0.255,-0.0013333333333333311,-0.109,20.166666666666668,20.5,13.437,13.686,0.0032743153900069125,-4.446917263841615,-4.548964644583734,-4.500802519943121,4.548964644583734,-0.1020473807421185,0.0,0.12006,left,high,-2.3160622407309144,2.3160622407309144,0.35,left,moderate,drift_right,6.002968666176946,-0.010685952400078512,6.003,43.754184128028214,-2.305376288330836,49.75715279420516,-2.3160622407309144,moving,balanced,straight,0.0,3.0,0.12006,straight,1.0,1.0,1.0,1.0,0.0,14.499999999999998,0.0,0.0,0.0,0.0
