idx,x,y
0,0.0,0.0
1,0.01249730857131865,0.00025938094233264505
2,0.01249730857131865,0.00025938094233264505
3,0.026976836343109194,0.001029624738767537
4,0.026976836343109194,0.001029624738767537
5,0.04096761207859359,0.0015377529896855985
6,5.3028761383779806,0.13096306294800136
7,11.0419378327739,0.23474585495817005
8,16.290123930201837,0.32717792062883355
9,20.579591149429774,0.39478690796751426
10,27.20896093902352,0.48619912171260277
11,32.081842213438016,0.5638543563109987
12,36.866271412617984,0.6377613115598065
13,39.727929644563055,0.6819898491910342
14,42.89953858737256,0.7571760440062221
15,48.55371244968715,0.9008908126228456
16,53.43901089678061,1.029840736338262
17,58.05719609430904,1.159322323173211
18,61.305760586951024,1.2559077110212205
19,66.98574971638809,1.4556468896437955
20,71.68789897556633,1.6459843384273705
21,76.46913080465045,1.8358453311376646
22,82.53722573062636,2.1456839493654383
23,88.42173456936553,2.48003664757584
24,94.09994133147258,2.725271671097543
25,100.39541514000796,2.9640383480964143
26,105.86379662867398,3.188833575836457
27,111.96260210095488,3.452447045288483
28,117.43046774674455,3.6894581834088913
29,123.10846270462415,3.9395491834346537
30,128.9969066388431,4.19540858537293
31,134.63368175159042,4.438164282139183
32,140.03259168503382,4.672658483701246
33,146.22061734752435,4.966534988986375
34,152.31678476538252,5.285381446461697
35,158.620935665421,5.655390134932884
36,164.7192813263034,5.9294347488131915
37,170.81956750426752,6.156213929823506
38,176.90563937220816,6.374912851314817
39,183.21720393257286,6.583186230190832
40,189.73869691267868,6.81183347034603
41,196.46974093967444,7.070178794756269
42,202.5690016292185,7.323040992370804
43,209.08704676239375,7.634870900959302
44,216.02289077843648,8.019487638926135
45,222.1214215628039,8.289381177423811
46,229.00092433539103,9.124450996041464
47,235.5035575448456,9.670263778319955
48,242.028704502226,9.60238569209794
49,248.53971421296808,9.167756198595331
50,254.84394246917898,8.79906785650667
51,261.1533383368578,8.533081419037915
52,267.46830854325054,8.513683162106023
53,273.9726598531338,8.784817884375999
54,280.6872255779224,9.321756547068965
55,286.9803538044468,9.84688712561277
56,293.70559993112937,10.227361218739699
57,300.440509414155,10.348564582768208
58,306.545008462072,10.351973978564976
59,313.28085081088034,10.305888709760678
60,319.5955566770452,10.244939355186245
61,325.6996062878364,10.170786816460081
62,332.20836699038836,10.043766672722834
63,338.31262799587967,9.989749760201102
64,344.8380996093941,9.970502131313491
65,350.94255460865304,9.993941671038009
66,357.46734159565807,10.09040422444364
67,363.9743398710422,10.288074263012767
68,370.0863493982661,10.580479015239113
69,377.0026518330052,11.015979452922714
70,383.5201540710795,11.338957512079054
71,389.82954065023625,11.605164188849121
72,396.559817632423,11.88277496502164
73,402.65857238215426,12.147559316203477
74,409.1758646911445,12.474746127026172
75,415.9020140592335,12.838903617894635
76,422.00288406720125,13.049392087602893
77,428.51020114734337,13.23627284769
78,434.83714326114347,13.4330048700521
79,441.13476616125325,13.606053441304809
80,447.65773784229253,13.787686858823546
81,453.96793819403973,14.033850464601564
82,460.9059244474737,14.377665817897022
83,467.8380624100182,14.824124683022095
84,474.355536438123,15.147671500313205
85,481.4885601791242,15.46322230495995
86,488.21574238459726,15.807773570182743
87,494.93952761054726,16.213246424140046
88,502.08958983764046,16.52830062375546
89,509.02943593413994,16.83227168636038
90,515.4673190626614,17.193332378624376
91,522.8293688366626,17.476668530799742
92,529.3885582557915,17.668705412642225
93,533.296995458704,17.779243328713992
94,540.2397204726096,18.00822287210194
95,546.3723357104126,18.24016973038389
96,551.6484474458236,18.44276527687537
97,558.8002261068348,18.806059900982845
98,565.7417032257697,19.070176650362274
99,572.6842257737594,19.30521477631995
100,579.8350416707068,19.602672349706825
101,587.3852529073272,19.98726340837978
102,594.553941009688,20.26328313787603
103,601.7070557465374,20.499076609938022
104,609.0695034829484,20.771876130862324
105,616.2019885012896,21.099377982976456
106,623.3479750002803,21.496273380082975
107,630.4995597177666,21.774634707525166
108,637.4418365558062,22.01682173033987
109,644.381929666273,22.315099902605812
110,651.5125383407354,22.681187230549682
111,658.8931513528377,22.935699638080706
112,665.820154768651,23.139473231340908
113,672.9730271489236,23.38250761478154
114,680.1248139944676,23.65562648250285
115,687.0476360819296,23.970958601620868
116,693.9999278548106,24.35697428100603
117,701.1336020844834,24.657460528448862
118,708.7190887517739,24.919170330248466
119,712.7242441555499,25.056233970958452
120,719.7046683403926,25.35929700015126
121,725.8339868475704,25.666255690478508
122,731.4366880547337,25.95233117570856
123,738.8145407966697,25.99894574755895
124,744.9682582933227,25.939979898233908
125,748.9799856256386,25.893205854691857
126,756.3471739785654,25.82544139129091
127,762.3201066724932,25.79708590138598
128,767.9130918296456,25.784200565796016
129,775.524631709239,25.90510098498738
130,782.6629162324806,26.06160678439817
131,790.2373331490448,26.294614024770382
132,797.3021974822865,26.56404296324895
133,804.4352487331296,26.87897129294544
134,811.0043652112082,27.239456656637568
135,814.7769330751114,27.451102498185566
136,822.1411865287221,27.66979708198564
137,828.0962576809125,27.80025712318408
138,833.7048181585643,27.927337288911577
139,841.4528194885909,28.19140478010777
140,845.2290452639777,28.32248164040184
141,852.6068978182884,28.64731496204754
142,859.5275831806538,29.00650031133337
143,865.8394721846146,29.2727022115484
144,871.611654142584,29.45309191217529
145,876.1101264629305,29.570338588364013
146,883.2650626432433,29.742202649909
147,889.2359912114865,29.899495475354847
148,896.4750391843086,30.10625245148993
149,903.2270168719978,30.308297755683395
150,907.0037323221256,30.424412607296848
151,914.1565792126771,30.668196036447593
152,920.3067512311864,30.885221709458552
153,925.7483340400735,31.078098701408692
