exp_id,t_ms,run,spd,targetSpeed10,actualSpeed10,targetAngle10,actualAngle10,speedErr10,speedOut10,angleErr10,angleOut10,L,R,el,er,ed,pwm,yawRate100,ax,ay,az,gx,gy,gz
11,1560,1,2,400,-1090,120,-3,1490,120,123,500,43,57,-128,-90,-38,56,-3156,0,0,0,0,0,0
11,1590,1,2,400,-1265,120,-4,1665,120,124,500,43,57,-153,-100,-53,56,529,0,0,0,0,0,0
11,1620,1,2,400,2360,-120,-5,-1960,-120,-114,-500,-57,-43,192,280,-88,-56,10592,0,0,0,0,0,0
11,1650,1,2,400,1770,-120,-3,-1370,-120,-116,-500,-57,-43,134,220,-86,-56,5480,0,0,0,0,0,0
11,1680,1,2,400,-645,108,-2,1045,108,110,500,43,57,-87,-42,-45,56,-6849,0,0,0,0,0,0
11,1716D 11,1740,1,2,400,2305,-120,-5,-1905,-120,-114,-500,-57,-43,215,246,-31,-56,1701,0,0,0,0,0,0
11,1770,1,2,400,1690,-120,-4,-1290,-120,-115,-500,-57,-43,149,189,-40,-56,-2707,0,0,0,0,0,0
11,1800,1,2,400,-740,117,-3,1140,117,121,500,43,57,-104,-44,-60,56,211,0,0,0,0,0,0
11,1830,1,2,400,-1150,120,-3,1550,120,123,500,43,57,-141,-89,-52,56,-971,0,0,0,0,0,0
11,1860,1,2,400,1370,-93,-3,-970,-93,-89,-500,-57,-43,109,165,-56,-56,7691,0,0,0,0,D 0-D 94D 15D 1400,2395,-120,-1,-1995,-120,-118,-500,-57,-43,192,287,-95,-56,12263,0,0,0,0,0,0
11,2010,1,2,400,1495,-105,0,-1095,-105,-104,-500,-57,-43,128,171,-43,-56,3240,0,0,0,0,0,0
11,2040,1,2,400,-960,120,0,1360,120,120,500,43,57,-110,-82,-28,56,-4121,0,0,0,0,0,0
11,2070,1,2,400,-1355,120,-1,1755,120,121,500,43,57,-152,-119,-33,56,-1477,0,0,0,0,0,0
11,2100,1,2,400,2220,-120,-2,-1820,-120,-117,-500,-57,-43,189,255,-66,-56,5774,0,0,0,0,0,0
1,D 1,D 11D 17EXP_DUMP_END id=11
