HB tick=1418643 exp_id=189 t_ms=1926 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=8.498 se=6.000 so=0.757 ae=-8.498 ao=-2.490 pwm=12 pc=1 hd=-1 y=6.780 yr=-1.900 L=0 R=2 OL=11 OR=13 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3939 fail=0 vofa=firewater rx=949 txdrop=23908
HB tick=1418799 exp_id=189 t_ms=2082 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=6.780 se=6.500 so=0.818 ae=-6.780 ao=-1.185 pwm=12 pc=1 hd=-1 y=6.532 yr=-1.792 L=0 R=2 OL=11 OR=13 el=13 er=14 ed=-1 dl=13 dr=14 cl=0 cr=0 ok=3940 fail=0 vofa=firewater rx=949 txdrop=23908
HB tick=1418988 exp_id=189 t_ms=2271 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=6.532 se=6.500 so=0.832 ae=-6.532 ao=-1.158 pwm=12 pc=1 hd=-1 y=6.397 yr=-1.414 L=0 R=2 OL=11 OR=13 el=14 er=13 ed=1 dl=14 dr=13 cl=0 cr=0 ok=3941 fail=0 vofa=firewater rx=949 txdrop=23908
HB tick=1419237 exp_id=189 t_ms=2520 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=6.397 se=6.000 so=0.801 ae=-6.397 ao=-1.247 pwm=12 pc=1 hd=-1 y=3.516 yr=-4.969 L=0 R=2 OL=11 OR=13 el=13 er=15 ed=-2 dl=13 dr=15 cl=0 cr=0 ok=3942 fail=0 vofa=firewater rx=949 txdrop=23908
STAT tick=1419382 exp_id=189 t_ms=2665 run=1 spd=1 ts=20.000000 as=14.500000 ta=0.000000 aa=3.516413 se=5.500000 so=0.761200 ae=-3.516413 ao=0.637671 pwm=12 pc=1 hd=0 y=3.516131 p=-0.925014 r=5.086916 yr=-4.968518 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=7245 icm_fail=0 L=1 R=1 OL=12 OR=12 el=14 er=15 ed=-1 dl=14 dr=15 cl=0 cr=0 skp=0.100000 ski=0.012000 skd=0.000000 akp=0.260000 aki=0.002400 akd=0.320000 ok=3943 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1419457 exp_id=189 t_ms=2740 run=1 spd=1 ts=20.000 as=14.500 ta=0.000 aa=3.516 se=5.500 so=0.766 ae=-3.516 ao=0.637 pwm=12 pc=1 hd=1 y=2.816 yr=-4.343 L=2 R=0 OL=13 OR=11 el=14 er=15 ed=-1 dl=14 dr=15 cl=0 cr=0 ok=3943 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1419614 exp_id=189 t_ms=2897 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=2.817 se=6.500 so=0.878 ae=-2.817 ao=0.618 pwm=12 pc=1 hd=0 y=2.681 yr=-3.124 L=1 R=1 OL=12 OR=12 el=13 er=14 ed=-1 dl=13 dr=14 cl=0 cr=0 ok=3944 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1419847 exp_id=189 t_ms=3130 run=1 spd=1 ts=20.000 as=13.000 ta=0.000 aa=2.681 se=7.000 so=0.945 ae=-2.681 ao=0.262 pwm=12 pc=1 hd=1 y=2.221 yr=-2.721 L=2 R=0 OL=13 OR=11 el=13 er=13 ed=0 dl=13 dr=13 cl=0 cr=0 ok=3945 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1420008 exp_id=189 t_ms=3291 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=2.222 se=6.000 so=0.857 ae=-2.222 ao=0.252 pwm=12 pc=1 hd=0 y=1.798 yr=-2.690 L=1 R=1 OL=12 OR=12 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3946 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1420197 exp_id=189 t_ms=3480 run=1 spd=1 ts=20.000 as=14.500 ta=0.000 aa=1.798 se=5.500 so=0.819 ae=-1.798 ao=0.351 pwm=12 pc=1 hd=0 y=1.749 yr=-1.839 L=1 R=1 OL=12 OR=12 el=14 er=15 ed=-1 dl=14 dr=15 cl=0 cr=0 ok=3947 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1420451 exp_id=189 t_ms=3734 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=1.749 se=6.000 so=0.888 ae=-1.749 ao=0.090 pwm=12 pc=1 hd=0 y=0.621 yr=-2.750 L=1 R=1 OL=12 OR=12 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3948 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1420607 exp_id=189 t_ms=3890 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=0.621 se=6.000 so=0.899 ae=-0.621 ao=0.674 pwm=12 pc=1 hd=1 y=0.520 yr=-2.013 L=2 R=0 OL=13 OR=11 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3949 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1420857 exp_id=189 t_ms=4140 run=1 spd=1 ts=20.000 as=15.000 ta=0.000 aa=0.520 se=5.000 so=0.816 ae=-0.520 ao=0.465 pwm=12 pc=1 hd=1 y=0.542 yr=-1.278 L=2 R=0 OL=13 OR=11 el=15 er=15 ed=0 dl=15 dr=15 cl=0 cr=0 ok=3950 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1421057 exp_id=189 t_ms=4340 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=0.542 se=6.000 so=0.929 ae=-0.542 ao=0.223 pwm=12 pc=1 hd=1 y=0.593 yr=-0.742 L=2 R=0 OL=13 OR=11 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3951 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1421279 exp_id=189 t_ms=4562 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=0.593 se=6.500 so=0.996 ae=-0.593 ao=0.039 pwm=12 pc=1 hd=0 y=0.179 yr=-1.135 L=1 R=1 OL=12 OR=12 el=14 er=13 ed=1 dl=14 dr=13 cl=0 cr=0 ok=3952 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1421496 exp_id=189 t_ms=4779 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=0.179 se=6.000 so=0.962 ae=-0.179 ao=0.272 pwm=12 pc=1 hd=0 y=0.125 yr=-0.824 L=1 R=1 OL=12 OR=12 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3953 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1421697 exp_id=189 t_ms=4980 run=1 spd=1 ts=20.000 as=15.000 ta=0.000 aa=0.125 se=5.000 so=0.875 ae=-0.125 ao=0.186 pwm=12 pc=1 hd=0 y=0.139 yr=-0.512 L=1 R=1 OL=12 OR=12 el=15 er=15 ed=0 dl=15 dr=15 cl=0 cr=0 ok=3954 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1421902 exp_id=189 t_ms=5185 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=0.139 se=6.500 so=1.040 ae=-0.139 ao=0.083 pwm=12 pc=1 hd=1 y=0.100 yr=-0.399 L=2 R=0 OL=13 OR=11 el=13 er=14 ed=-1 dl=13 dr=14 cl=0 cr=0 ok=3955 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1422107 exp_id=189 t_ms=5390 run=1 spd=1 ts=20.000 as=13.500 ta=0.000 aa=0.100 se=6.500 so=1.056 ae=-0.100 ao=0.057 pwm=12 pc=1 hd=0 y=-0.339 yr=-1.012 L=1 R=1 OL=12 OR=12 el=14 er=13 ed=1 dl=14 dr=13 cl=0 cr=0 ok=3956 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1422333 exp_id=189 t_ms=5616 run=1 spd=1 ts=20.000 as=15.000 ta=0.000 aa=-0.339 se=5.000 so=0.921 ae=0.339 ao=0.367 pwm=12 pc=1 hd=0 y=-0.493 yr=-0.895 L=1 R=1 OL=12 OR=12 el=15 er=15 ed=0 dl=15 dr=15 cl=0 cr=0 ok=3957 fail=0 vofa=firewater rx=955 txdrop=23908
HB tick=1422550 exp_id=189 t_ms=5833 run=1 spd=1 ts=20.000 as=14.000 ta=0.000 aa=-0.492 se=6.000 so=1.036 ae=0.492 ao=0.370 pwm=12 pc=1 hd=0 y=-0.481 yr=-0.563 L=1 R=1 OL=12 OR=12 el=14 er=14 ed=0 dl=14 dr=14 cl=0 cr=0 ok=3958 fail=0 vofa=firewater rx=955 txdrop=23908
