OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
0,0,0,0,0,0,0.00,S,0,0,52014,-0.2,-0.0
0,0,0,0,0,0,0.00,S,0,1,0,0.0,0.0
104,104,0,0,0,0,0.00,S,104,1,220,0.0,0.0
104,104,0,0,0,0,0.00,S,104,1,220,0.0,0.0
102,106,-2,142,143,-2,-0.01,S,104,1,440,0.1,0.5
102,106,-2,142,143,-2,-0.01,S,104,1,440,0.1,0.5
100,100,0,232,235,0,-0.01,S,100,1,660,0.0,0.1
100,100,0,232,235,0,-0.01,S,100,1,660,0.0,0.1
86,90,-1,235,233,-2,-0.01,S,88,1,881,0.1,0.5
86,90,-1,235,233,-2,-0.01,S,88,1,881,0.1,0.5
90,90,1,117,118,0,-0.02,S,90,1,1003,0.1,-0.2
101,101,1,5,5,0,-0.03,S,101,1,1008,0.1,-0.2
82,78,2,125,123,2,-0.03,S,20,1,1137,-0.0,-0.7
83,77,3,126,117,3,-0.03,S,41,1,1259,-0.0,-0.9
83,77,3,126,117,3,-0.03,S,41,1,1263,-0.0,-0.9
81,79,2,91,94,1,-0.03,S,12,1,1383,0.0,-0.5
79,81,0,169,175,-1,-0.04,S,31,1,1595,0.1,0.1
79,81,0,169,175,-1,-0.04,S,31,1,1596,0.1,0.1
81,79,1,178,178,1,-0.04,S,44,1,1817,0.1,-0.3
81,79,1,178,178,1,-0.04,S,44,1,1817,0.1,-0.3
80,80,0,101,102,0,-0.05,S,61,1,1948,0.0,-0.1
80,80,0,101,102,0,-0.05,S,61,1,1949,0.0,-0.1
80,80,1,86,88,0,-0.05,S,24,1,2081,-0.0,-0.2
82,78,1,162,160,2,-0.04,S,41,1,2292,-0.1,-0.4
82,78,1,162,160,2,-0.04,S,41,1,2293,-0.1,-0.4
82,78,1,179,177,2,-0.03,S,51,1,2514,-0.2,-0.4
82,78,1,179,177,2,-0.03,S,51,1,2514,-0.2,-0.4
81,79,0,178,179,1,-0.01,S,58,1,2735,-0.1,-0.0
81,79,0,178,179,1,-0.01,S,58,1,2736,-0.1,-0.0
81,79,1,172,168,1,-0.01,S,63,1,2957,-0.0,-0.3
81,79,1,172,168,1,-0.01,S,63,1,2957,-0.0,-0.3
78,82,-2,101,103,-2,-0.01,S,73,1,3088,-0.0,0.5
78,82,-2,101,103,-2,-0.01,S,73,1,3088,-0.0,0.5
81,79,0,100,105,1,-0.00,S,58,1,3220,-0.1,-0.1
81,79,0,100,105,1,-0.00,S,58,1,3221,-0.1,-0.1
81,79,0,162,161,1,0.01,S,64,1,3433,-0.1,-0.1
81,79,0,162,161,1,0.01,S,64,1,3433,-0.1,-0.1
81,79,1,157,153,1,0.02,S,69,1,3654,-0.1,-0.2
81,79,1,157,153,1,0.02,S,69,1,3655,-0.1,-0.2
82,78,1,169,170,2,0.04,S,71,1,3876,-0.1,-0.3
82,78,1,169,170,2,0.04,S,71,1,3876,-0.1,-0.3
83,77,2,104,103,3,0.05,S,79,1,4007,-0.1,-0.7
96,90,2,0,1,3,0.06,S,93,1,4008,-0.1,-0.7
82,78,1,110,108,2,0.06,S,53,1,4140,-0.2,-0.5
83,77,2,106,105,3,0.08,S,66,1,4261,-0.2,-0.6
83,77,2,106,105,3,0.08,S,66,1,4266,-0.2,-0.6
81,79,1,100,101,1,0.10,S,12,1,4395,0.0,-0.5
80,80,0,102,102,0,0.09,S,37,1,4517,0.0,-0.1
80,80,0,0,1,0,0.09,S,64,1,4521,0.0,-0.1
82,78,1,85,84,2,0.10,S,55,1,4641,-0.1,-0.4
83,77,2,143,144,3,0.11,S,63,1,4853,-0.2,-0.7
83,77,2,143,144,3,0.11,S,63,1,4853,-0.2,-0.7
81,79,0,149,147,1,0.12,S,69,1,5074,-0.1,-0.0
81,79,0,149,147,1,0.12,S,69,1,5075,-0.1,-0.0
81,79,0,167,164,1,0.12,S,71,1,5296,-0.0,-0.1
81,79,0,167,164,1,0.12,S,71,1,5296,-0.0,-0.1
82,78,1,101,101,2,0.13,S,78,1,5427,-0.1,-0.4
82,78,1,101,101,2,0.13,S,78,1,5427,-0.1,-0.4
80,80,0,103,105,0,0.14,S,55,1,5559,-0.1,0.1
80,80,0,103,105,0,0.14,S,55,1,5560,-0.1,0.1
80,80,-1,171,171,0,0.14,S,61,1,5772,-0.1,0.2
80,80,-1,171,171,0,0.14,S,61,1,5772,-0.1,0.2
82,78,2,162,160,2,0.15,S,65,1,5993,-0.0,-0.5
82,78,2,162,160,2,0.15,S,65,1,5994,-0.0,-0.5
83,77,2,148,154,3,0.16,S,70,1,6215,-0.2,-0.5
83,77,2,148,154,3,0.16,S,70,1,6215,-0.2,-0.5
82,78,1,85,86,2,0.18,S,79,1,6346,-0.2,-0.2
82,78,1,85,86,2,0.18,S,79,1,6347,-0.2,-0.2
81,79,0,95,93,1,0.20,S,54,1,6479,-0.3,0.1
82,78,0,102,97,2,0.23,S,66,1,6600,-0.3,-0.0
82,78,0,102,97,2,0.23,S,66,1,6605,-0.3,-0.0
82,78,0,100,100,2,0.25,S,12,1,6734,-0.2,-0.1
83,77,1,101,104,3,0.27,S,36,1,6856,-0.2,-0.4
83,77,1,1,1,3,0.28,S,62,1,6860,-0.2,-0.4
84,76,3,87,86,4,0.29,S,43,1,6980,-0.3,-0.9
84,76,3,156,153,4,0.31,S,53,1,7192,-0.2,-0.8
84,76,3,156,153,4,0.31,S,53,1,7192,-0.2,-0.8
80,80,0,162,161,0,0.31,S,60,1,7414,0.0,0.0
80,80,0,162,161,0,0.31,S,60,1,7414,0.0,0.0
85,75,4,149,153,5,0.32,S,65,1,7634,-0.1,-1.4
85,75,4,149,153,5,0.32,S,65,1,7635,-0.1,-1.4
85,75,3,90,87,5,0.34,S,75,1,7766,-0.2,-1.1
85,75,3,90,87,5,0.34,S,75,1,7766,-0.2,-1.1
81,79,0,96,93,1,0.35,S,57,1,7898,-0.2,0.1
81,79,0,96,93,1,0.35,S,57,1,7899,-0.2,0.1
80,80,0,173,172,0,0.35,S,61,1,8111,0.0,0.1
80,80,0,173,172,0,0.35,S,61,1,8111,0.0,0.1
80,80,0,173,171,0,0.35,S,65,1,8332,-0.0,0.0
80,80,0,173,171,0,0.35,S,65,1,8333,-0.0,0.0
81,79,1,167,168,1,0.35,S,67,1,8554,-0.0,-0.3
81,79,1,167,168,1,0.35,S,67,1,8554,-0.0,-0.3
81,79,1,97,98,1,0.35,S,75,1,8685,-0.0,-0.2
81,79,1,97,98,1,0.35,S,75,1,8685,-0.0,-0.2
80,80,0,100,99,0,0.35,S,40,1,8818,0.1,-0.1
80,80,0,100,99,0,0.35,S,40,1,8818,0.1,-0.1
82,78,1,165,165,2,0.35,S,50,1,9030,0.0,-0.4
82,78,1,165,165,2,0.35,S,50,1,9031,0.0,-0.4
81,79,0,160,161,1,0.36,S,57,1,9252,-0.1,-0.0
81,79,0,160,161,1,0.36,S,57,1,9252,-0.1,-0.0
78,82,-2,171,167,-2,0.35,S,62,1,9473,0.0,0.6
78,82,-2,171,167,-2,0.35,S,62,1,9474,0.0,0.6
77,83,-3,104,102,-3,0.35,S,71,1,9605,0.1,0.9
77,83,-3,104,102,-3,0.35,S,71,1,9605,0.1,0.9
