============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:31:09
============================================================

=== STATISTICS ===
  total_samples        : 341
  neg_core             : 0
  neg_core_pct         : 0.0%
  neg_ol_or            : 0
  core_min             : 0
  core_max             : 104
  core_mean            : 51.7
  yaw_min              : -1.3
  yaw_max              : 1.7
  yaw_final            : -0.0
  yaw_std              : 0.32
  max_abs_hd           : 32
  min_OL               : 0
  min_OR               : 0


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 52014     0     0     0     0     -0.2     -0.0     0     0
     0     0     0     0     0      0.0      0.0     0     0
   220   104     0   104   104      0.0      0.0     0     0
   220   104     0   104   104      0.0      0.0     0     0
   440   104    -2   102   106      0.1      0.5   142   143
   440   104    -2   102   106      0.1      0.5   142   143
   660   100     0   100   100      0.0      0.1   232   235
   660   100     0   100   100      0.0      0.1   232   235
   881    88    -2    86    90      0.1      0.5   235   233
   881    88    -2    86    90      0.1      0.5   235   233
  1003    90     0    90    90      0.1     -0.2   117   118
  1008   101     0   101   101      0.1     -0.2     5     5
  1137    20     2    82    78     -0.0     -0.7   125   123
  1259    41     3    83    77     -0.0     -0.9   126   117
  1263    41     3    83    77     -0.0     -0.9   126   117
  1383    12     1    81    79      0.0     -0.5    91    94
  1595    31    -1    79    81      0.1      0.1   169   175
  1596    31    -1    79    81      0.1      0.1   169   175
  1817    44     1    81    79      0.1     -0.3   178   178
  1817    44     1    81    79      0.1     -0.3   178   178

  ... (301 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 30443    49     1    81    79     -0.3      0.4   182   175
 30444    49     1    81    79     -0.3      0.4   182   175
 30664    50     2    82    78     -0.3      0.0   179   182
 30665    50     2    82    78     -0.3      0.0   179   182
 30796    57     2    82    78     -0.3      0.1   106   104
 30796    57     2    82    78     -0.3      0.1   106   104
 30928    37     1    81    79     -0.2      0.5    98    96
 30929    37     1    81    79     -0.2      0.5    98    96
 31051    49    -2    78    82     -0.1      1.3    97    98
 31055    49    -2    78    82     -0.1      1.3    97    98
 31184     4     4    84    76     -0.2     -0.6    85    91
 31306    26     7    87    73     -0.2     -1.6    88    89
 31310    49     7    87    73     -0.2     -1.6     1     1
 31430    30     9    89    71     -0.5     -1.7    81    81
 31642    38     2    82    78     -0.4      0.5   163   155
 31642    38     2    82    78     -0.4      0.5   163   155
 31864    42    -1    79    81     -0.1      0.7   182   178
 31864    42    -1    79    81     -0.1      0.7   182   178
 31995    51    -2    78    82     -0.0      1.0   106   103
 31995    51    -2    78    82     -0.0      1.0   106   103
