tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
163731,0.294,1,0.0,0.0,0.0,0,0,0,0.008,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
164034,0.597,1,0.0,0.25,-0.25,689,732,-43,1.82,-2.5,left_bias,0.037875,0.037875,0.037855893389988585,0.0012028967727192041,-0.0946875
164331,0.894,1,0.25,0.25,0.0,1739,1722,17,4.936,0.0,line_missing,0.07425,0.112125,0.11183053210373162,0.007591584209993822,-0.0946875
164634,1.197,1,0.25,0.0,0.25,2832,2789,43,6.992,0.0,line_missing,0.037875,0.15,0.14942386171815403,0.012202136617394912,-0.0946875
164930,1.493,1,0.25,0.25,0.0,3873,3896,-23,4.385,2.5,right_bias,0.074,0.22399999999999998,0.2232072491440633,0.01786002844723519,0.0903125
165233,1.796,1,0.0,0.25,-0.25,4893,4988,-95,-0.933,0.0,line_missing,0.037875,0.26187499999999997,0.2610772276717577,0.017243302161135163,0.0903125
165530,2.093,1,0.25,0.25,0.0,5925,6021,-96,-2.628,0.0,line_missing,0.07425,0.33612499999999995,0.33524913760776703,0.013838852654310896,0.0903125
165833,2.396,1,0.0,0.25,-0.25,6913,7003,-90,-1.87,0.0,line_missing,0.037875,0.37399999999999994,0.37310396685797176,0.012602920844766833,0.0903125
166130,2.693,1,0.25,0.0,0.25,7983,8023,-40,0.029,0.0,line_missing,0.037125,0.41112499999999996,0.41022896210257026,0.01262171149502381,0.0903125
166433,2.996,1,0.25,0.25,0.0,9053,9098,-45,1.064,0.0,line_missing,0.07575,0.48687499999999995,0.48596590105077186,0.014028331115385961,0.0903125
166730,3.292,1,0.25,0.25,0.0,10134,10174,-40,0.836,0.0,line_missing,0.07425,0.561125,0.5602079974308469,0.015111670901255848,0.0903125
167033,3.596,1,0.25,0.0,0.25,11220,11260,-40,0.96,0.0,line_missing,0.037875,0.599,0.5980776811283175,0.01574624292516852,0.0903125
167329,3.892,1,0.25,0.0,0.25,12303,12380,-77,-0.998,0.0,line_missing,0.037,0.636,0.6350720683671104,0.015101795234320295,0.0903125
167632,4.195,1,0.25,0.25,0.0,13360,13515,-155,-5.394,0.0,line_missing,0.07575,0.71175,0.7104866332885038,0.00798098785615523,0.0903125
167928,4.491,1,0.25,0.25,0.0,14425,14615,-190,-8.743,0.0,line_missing,0.074,0.78575,0.7836267598352213,-0.00326720705370258,0.0903125
168232,4.795,1,0.25,0.0,0.25,15481,15669,-188,-8.618,0.0,line_missing,0.038,0.82375,0.821197715300178,-0.008961353649131962,0.0903125
168528,5.091,1,0.25,0.0,0.25,16486,16645,-159,-7.576,0.0,line_missing,0.037,0.86075,0.8578747368507429,-0.013839477282190475,0.0903125
