tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
27662,0,0.0,0,0.0,1.5,0.0,0.12,0.0,0.0,0.006643,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=27662 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=0.006643 p=-1.171145 r=5.718048 yr=-0.000054 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=100 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=100 fail=0 rx=6 txdrop=0
33483,0,0.0,0,18.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=33483 exp_id=0 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0 er=0 ed=0 L=0 R=0 pwm_max=60 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=120 txdrop=0
33682,0,0.0,0,18.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=33682 exp_id=0 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=0CMD #EXP=RUN,8,5000!"
34275,8,295.0,1,18.0,0.5,0.004,0.0,0.5,0.5,0.189,0.0,0.0,0.0,46.0,33.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=34275 exp_id=8 t_ms=295 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=2.108 rt=1.492 lp=0.500 lpr=0.500 y=0.189 el=0 er=0 ed=0 L=46 R=33 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=150 txdrop=0
34588,8,608.0,1,18.0,0.5,0.004,0.0,-1.5,-1.5,7.399,1.0,0.0,1.0,14.0,56.0,1,1.5,right_bias,0,0,1,0,0,0,0,0,TRK tick=34588 exp_id=8 t_ms=608 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.080 rt=2.620 lp=-1.500 lpr=-1.500 y=7.399 el=1 er=0 ed=1 L=14 R=56 s1=0 s2=0 s3=1 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
34892,8,912.0,1,18.0,0.5,0.004,0.0,3.5,3.5,1.171,0.0,1.0,-1.0,60.0,16.0,1,-3.5,left_bias,0,0,0,0,0,0,0,1,TRK tick=34892 exp_id=8 t_ms=912 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=2.620 rt=1.080 lp=3.500 lpr=3.500 y=1.171 el=0 er=1 ed=-1 L=60 R=16 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=1 rx=150 txdrop=0
35181,8,1201.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=35181 exp_id=8 t_ms=1201 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
35378,8,1398.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=35378 exp_id=8 t_ms=1398 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
35575,8,1595.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=35575 exp_id=8 t_ms=1595 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
35772,8,1792.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=35772 exp_id=8 t_ms=1792 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
35969,8,1989.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=35969 exp_id=8 t_ms=1989 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
36166,8,2186.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=36166 exp_id=8 t_ms=2186 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
36363,8,2383.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=36363 exp_id=8 t_ms=2383 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
36560,8,2580.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=36560 exp_id=8 t_ms=2580 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
36757,8,2777.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=36757 exp_id=8 t_ms=2777 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
36954,8,2974.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=36954 exp_id=8 t_ms=2974 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
37151,8,3171.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=37151 exp_id=8 t_ms=3171 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
37348,8,3368.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=37348 exp_id=8 t_ms=3368 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
37545,8,3565.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=37545 exp_id=8 t_ms=3565 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
37742,8,3762.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=37742 exp_id=8 t_ms=3762 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
37939,8,3959.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=37939 exp_id=8 t_ms=3959 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
38136,8,4156.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=38136 exp_id=8 t_ms=4156 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
38333,8,4353.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=38333 exp_id=8 t_ms=4353 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
38530,8,4550.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=38530 exp_id=8 t_ms=4550 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
38727,8,4747.0,0,18.0,0.5,0.004,0.0,3.5,3.5,-42.621,78.0,34.0,44.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=38727 exp_id=8 t_ms=4747 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=3.500 lpr=3.500 y=-42.621 el=78 er=34 ed=44 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
