tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,lc,rc,cd,cde,cdi,cdo,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
11726,0,0.0,0,0.0,0.0,0.0,0.0,1.5,0.0,0.12,0.0,0.0,-0.005411,0.000269,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=11726 run=0 ts=0.000000 as=0.000000 ta=0.000000 aa=0.000000 se=0.000000 so=0.000000 ae=0.000000 ao=0.000000 pwm=0 pc=0 hd=0 y=-0.005411 p=-0.822492 r=4.884190 yr=0.000269 ax=0 ay=0 az=0 gx=0 gy=0 gz=0 who=0x85 addr=0x4A icm_ok=44 icm_fail=0 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 skp=0.600000 ski=0.012000 skd=0.000000 akp=1.500000 aki=0.000000 akd=0.120000 ok=44 fail=0 rx=6 txdrop=0
17520,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,STAT tick=17520 exp_id=0 t_ms=0 run=0 ts=18.000000 skp=10.000000 ski=0.250000 skd=0.000000 kp=0.500000 ki=0.004000 kd=0.000000 st=0.000000 lt=0.000000 rt=0.000000 la=0.000000 ra=0.000000 lse=0.000000 rse=0.000000 lso=0.000000 rso=0.000000 lc=0 rc=0 cd=0 cde=0.000000 cdi=0.000000 cdo=0.000000 lp=0.000000 lpr=0.000000 le=0.000000 li=0.000000 lout=0.000000 diff=0.000000 y=0.000000 yr=0.000000 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 pwm_max=72 miss=0 lost=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=120 txdrop=0
17719,0,0.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,"TRK tick=17719 exp_id=0 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0CMD #EXP=RUN,65,15000!"
18318,65,312.0,1,18.0,1.8,1.238,1.238,0.5,0.004,0.0,0.225,0.5,0.002,0.0,0.2,0.12,0.08,0,0,0,0,0.2,0.12,1.038,1.118,25.997,26.021,6,4,2,-2.0,0.0,-0.003,25.0,26.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=18318 exp_id=65 t_ms=312 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.238 rt=1.238 la=0.200 ra=0.120 lse=1.038 rse=1.118 lso=25.997 rso=26.021 lc=6 rc=4 cd=2 cde=-2.000 cdo=-0.003 lp=0.225 lpr=0.500 y=0.002 yr=0.000 el=0.200 er=0.120 ed=0.080 dl=0 dr=0 cl=0 cr=0 L=25 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=152 txdrop=0
18625,65,619.0,1,18.0,1.8,1.8,1.8,0.5,0.004,0.0,0.225,0.5,-0.075,1.517,0.5,0.25,0.25,0,0,0,0,0.5,0.25,1.3,1.55,26.0,26.0,731,705,26,0.0,0.0,0.0,26.0,26.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=18625 exp_id=65 t_ms=619 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 la=0.500 ra=0.250 lse=1.300 rse=1.550 lso=26.000 rso=26.000 lc=731 rc=705 cd=26 cde=0.000 cdo=0.000 lp=0.225 lpr=0.500 y=-0.075 yr=1.517 el=0.500 er=0.250 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=152 txdrop=0
18923,65,917.0,1,18.0,1.8,1.801,1.799,0.5,0.004,0.0,0.225,0.5,-1.039,-11.023,0.25,0.5,-0.25,0,1,0,0,0.25,0.5,1.551,1.299,25.883,23.261,1738,1726,12,0.0,0.0,0.0,25.0,23.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=18923 exp_id=65 t_ms=917 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.801 rt=1.799 la=0.250 ra=0.500 lse=1.551 rse=1.299 lso=25.883 rso=23.261 lc=1738 rc=1726 cd=12 cde=0.000 cdo=0.000 lp=0.225 lpr=0.500 y=-1.039 yr=-11.023 el=0.250 er=0.500 ed=-0.250 dl=0 dr=1 cl=0 cr=0 L=25 R=23 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=152 txdrop=0
19239,65,1233.0,1,18.0,1.8,1.805,1.795,0.5,0.004,0.0,0.225,0.5,-1.311,-1.984,0.5,0.25,0.25,1,0,0,0,0.5,0.25,1.305,1.545,23.193,25.51,2802,2782,20,0.0,0.0,0.0,23.0,25.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=19239 exp_id=65 t_ms=1233 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.805 rt=1.795 la=0.500 ra=0.250 lse=1.305 rse=1.545 lso=23.193 rso=25.510 lc=2802 rc=2782 cd=20 cde=0.000 cdo=0.000 lp=0.225 lpr=0.500 y=-1.311 yr=-1.984 el=0.500 er=0.250 ed=0.250 dl=1 dr=0 cl=0 cr=0 L=23 R=25 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=152 txdrop=0
19545,65,1539.0,1,18.0,1.8,1.812,1.788,0.5,0.004,0.0,0.225,0.5,-3.497,-30.378,0.5,0.25,0.25,0,0,0,0,0.5,0.25,1.312,1.538,24.295,26.394,3756,3788,-32,0.0,0.0,0.0,24.0,26.0,0.0,0.0,0.0,1,-0.5,left_bias,0,0,0,0,1,0,0,0,TRK tick=19545 exp_id=65 t_ms=1539 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.812 rt=1.788 la=0.500 ra=0.250 lse=1.312 rse=1.538 lso=24.295 rso=26.394 lc=3756 rc=3788 cd=-32 cde=0.000 cdo=0.000 lp=0.225 lpr=0.500 y=-3.497 yr=-30.378 el=0.500 er=0.250 ed=0.250 dl=0 dr=0 cl=0 cr=0 L=24 R=26 s1=0 s2=0 s3=0 s4=0 s5=1 s6=0 s7=0 s8=0 rx=152 txdrop=0
19843,65,1837.0,1,18.0,1.8,1.868,1.732,0.5,0.004,0.0,0.9,1.5,-9.5,-62.235,0.25,0.25,0.0,1,0,0,0,0.25,0.25,1.618,1.482,26.813,24.848,4669,4801,-132,0.0,0.0,0.0,26.0,24.0,0.0,0.0,0.0,1,-1.5,left_bias,0,0,0,0,0,1,0,0,TRK tick=19843 exp_id=65 t_ms=1837 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.868 rt=1.732 la=0.250 ra=0.250 lse=1.618 rse=1.482 lso=26.813 rso=24.848 lc=4669 rc=4801 cd=-132 cde=0.000 cdo=0.000 lp=0.900 lpr=1.500 y=-9.500 yr=-62.235 el=0.250 er=0.250 ed=0.000 dl=1 dr=0 cl=0 cr=0 L=26 R=24 s1=0 s2=0 s3=0 s4=0 s5=0 s6=1 s7=0 s8=0 rx=152 txdrop=0
20157,65,2151.0,0,18.0,0.0,0.0,0.0,0.5,0.004,0.0,2.07,3.5,-13.998,-37.723,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5626,5816,-190,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=20157 exp_id=65 t_ms=2151 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5626 rc=5816 cd=-190 cde=0.000 cdo=0.000 lp=2.070 lpr=3.500 y=-13.998 yr=-37.723 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=152 txdrop=0
