tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
20960,0.306,1,0.0,0.0,0.0,0,0,0,0.0,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
21263,0.609,1,0.0,0.25,-0.25,606,667,-61,0.306,0.0,line_missing,0.037875,0.037875,0.03787445984400355,0.00020227833537703606,0.0
21547,0.893,1,0.0,0.5,-0.5,1265,2262,-997,-4.692,0.0,line_missing,0.071,0.108875,0.1086365259132775,-0.005605475585693168,0.0
21855,1.201,1,-0.75,20.5,-21.25,1276,4452,-3176,-56.564,0.0,line_missing,3.0415,3.150375,1.7845187862751306,-2.5437427648993443,0.0
22158,1.504,1,0.0,0.25,-0.25,1276,6290,-5014,-7.424,0.0,line_missing,0.037875,3.18825,1.8220762849076928,-2.548636630596836,0.0
22461,1.807,1,0.0,0.25,-0.25,1230,8266,-7036,7.752,0.0,line_missing,0.037875,3.226125,1.8596051524637076,-2.543527841605,0.0
22763,2.109,1,-0.25,0.5,-0.75,1222,10114,-8892,-42.288,0.0,line_missing,0.03775,3.263875,1.887531546753507,-2.5689282156567863,0.0
23047,2.393,1,-0.25,0.5,-0.75,1166,12000,-10834,6.492,0.0,line_missing,0.0355,3.299375,1.9228039084045434,-2.56491442647965,0.0
23355,2.701,1,0.0,0.25,-0.25,1094,14012,-12918,-25.253,-0.5,left_bias,0.0385,3.337875,1.9576245715559553,-2.581339146194029,-0.01925
23659,3.005,1,0.0,0.5,-0.5,1045,15977,-14932,-68.813,0.0,line_missing,0.076,3.413875,1.9850919613203175,-2.6522019890634243,-0.01925
23962,3.308,1,0.0,0.5,-0.5,1043,17761,-16718,-30.833,0.0,line_missing,0.07575,3.489625,2.0501358228713467,-2.691026705089824,-0.01925
24246,3.592,1,-0.25,0.5,-0.75,946,19650,-18704,-79.613,0.0,line_missing,0.0355,3.525125,2.056536329995141,-2.7259449454314884,-0.01925
24554,3.9,1,0.0,18.75,-18.75,887,21638,-20751,-124.073,0.0,line_missing,2.8875,6.412625,0.4388181565142193,-5.117731758922513,-0.01925
24846,4.192,1,0.0,0.25,-0.25,829,23500,-22671,-84.113,0.0,line_missing,0.0365,6.449125,0.442561846292231,-5.15403926209811,-0.01925
25141,4.487,1,0.0,0.25,-0.25,756,25406,-24650,-132.355,0.0,line_missing,0.036875,6.486000000000001,0.4177183402334852,-5.1812893232303185,-0.01925
25426,4.772,1,0.0,0.25,-0.25,755,27069,-26314,178.865,0.0,line_missing,0.035625,6.521625,0.38210032991091203,-5.180583656410161,-0.01925
