tick,t_s,run,el,er,ed,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
68097,0.287,1,0.0,0.0,0.0,0.0,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
68399,0.589,1,0.0,0.0,0.0,4.586,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
68713,0.903,1,0.0,0.0,0.0,10.371,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
69015,1.205,1,0.0,0.0,0.0,14.554,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
69319,1.509,1,0.0,0.0,0.0,17.692,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
69620,1.81,1,0.0,0.0,0.0,19.36,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
69916,2.106,1,1.0,0.0,1.0,18.182,0.0,line_missing,0.148,0.148,0.14061037887774674,0.046181396166167496,0.0
70218,2.408,1,0.0,0.0,0.0,10.031,0.0,line_missing,0.0,0.148,0.14061037887774674,0.046181396166167496,0.0
70520,2.71,1,0.0,0.0,0.0,-6.769,0.0,line_missing,0.0,0.148,0.14061037887774674,0.046181396166167496,0.0
70815,3.005,1,1.0,1.0,0.0,-19.129,0.0,line_missing,0.295,0.44299999999999995,0.41932141440033543,-0.050488964741022144,0.0
71118,3.308,1,0.0,0.0,0.0,-22.507,0.0,line_missing,0.0,0.44299999999999995,0.41932141440033543,-0.050488964741022144,0.0
71420,3.61,1,0.0,0.0,0.0,-23.635,0.0,line_missing,0.0,0.44299999999999995,0.41932141440033543,-0.050488964741022144,0.0
71715,3.905,1,0.0,1.0,-1.0,-24.935,0.0,line_missing,0.1475,0.5904999999999999,0.553072445117574,-0.11267346266515343,0.0
72017,4.207,1,1.0,0.0,1.0,-17.084,0.0,line_missing,0.151,0.7414999999999999,0.6974095835684807,-0.15703324697260684,0.0
72319,4.509,1,0.0,0.0,0.0,-11.931,0.0,line_missing,0.0,0.7414999999999999,0.6974095835684807,-0.15703324697260684,0.0
72615,4.805,1,0.0,0.0,0.0,-19.617,0.0,line_missing,0.0,0.7414999999999999,0.6974095835684807,-0.15703324697260684,0.0
