tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
18318,0.312,1,0.2,0.12,0.08,6,4,2,0.002,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
18625,0.619,1,0.5,0.25,0.25,731,705,26,-0.075,-0.5,left_bias,0.115125,0.115125,0.11512490136822531,-0.00015069822956565254,-0.0575625
18923,0.917,1,0.25,0.5,-0.25,1738,1726,12,-1.039,-0.5,left_bias,0.11174999999999999,0.226875,0.2268565278863513,-0.0021770584181815753,-0.1134375
19239,1.233,1,0.5,0.25,0.25,2802,2782,20,-1.311,-0.5,left_bias,0.1185,0.345375,0.3453255087626174,-0.004888251907937492,-0.1726875
19545,1.539,1,0.5,0.25,0.25,3756,3788,-32,-3.497,-0.5,left_bias,0.11474999999999999,0.460125,0.4598618435222159,-0.011887574720695415,-0.2300625
19843,1.837,1,0.25,0.25,0.0,4669,4801,-132,-9.5,-1.5,left_bias,0.0745,0.534625,0.5333401208367397,-0.0241836213573159,-0.34181249999999996
