tick,exp_id,t_ms,run,ts,st,lt,rt,kp,ki,kd,lp,lpr,y,yr,el,er,ed,dl,dr,cl,cr,la,ra,lse,rse,lso,rso,lc,rc,cd,cde,cdi,cdo,L,R,pwm_max,miss,lost,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
303235,96,2408.0,1,14.0,1.4,0.875,1.8,0.35,0.0,0.0,-1.5,-1.5,-16.348,-152.113,1.012,2.338,-1.326,15,34,0,0,1.012,2.338,-0.137,-0.538,14.0,28.8,4345,4850,-505,0.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=303235 exp_id=96 t_ms=2408 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=0.875 rt=1.800 la=1.012 ra=2.338 lse=-0.137 rse=-0.538 lso=14.000 rso=28.800 lc=4345 rc=4850 cd=-505 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-16.348 yr=-152.113 el=1.012 er=2.338 ed=-1.326 dl=15 dr=34 cl=0 cr=0 L=13 R=28 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
303532,96,2705.0,1,14.0,1.4,0.875,1.8,0.35,0.0,0.0,-1.5,-1.5,-56.584,-163.074,0.953,2.135,-1.182,14,31,0,0,0.953,2.135,-0.078,-0.335,14.0,28.8,4732,5721,-989,0.0,0.0,0.0,13.0,28.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=303532 exp_id=96 t_ms=2705 run=1 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=1.400 lt=0.875 rt=1.800 la=0.953 ra=2.135 lse=-0.078 rse=-0.335 lso=14.000 rso=28.800 lc=4732 rc=5721 cd=-989 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-56.584 yr=-163.074 el=0.953 er=2.135 ed=-1.182 dl=14 dr=31 cl=0 cr=0 L=13 R=28 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
303834,96,3007.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=303834 exp_id=96 t_ms=3007 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
304032,96,3205.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=304032 exp_id=96 t_ms=3205 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
304230,96,3403.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=304230 exp_id=96 t_ms=3403 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
304428,96,3601.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=304428 exp_id=96 t_ms=3601 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
304626,96,3799.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=304626 exp_id=96 t_ms=3799 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
304824,96,3997.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=304824 exp_id=96 t_ms=3997 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
305022,96,4195.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=305022 exp_id=96 t_ms=4195 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
305219,96,4392.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=305219 exp_id=96 t_ms=4392 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
305417,96,4590.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=305417 exp_id=96 t_ms=4590 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
305615,96,4788.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=305615 exp_id=96 t_ms=4788 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
305813,96,0.0,0,14.0,0.0,0.0,0.0,0.35,0.0,0.0,-1.5,-1.5,-78.167,-165.045,0.0,0.0,0.0,15,36,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5138,6612,-1474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=305813 exp_id=96 t_ms=0 run=0 ts=14.000 kp=0.350 ki=0.000 kd=0.000 st=0.000 lt=0.000 rt=0.000 la=0.000 ra=0.000 lse=0.000 rse=0.000 lso=0.000 rso=0.000 lc=5138 rc=6612 cd=-1474 cde=0.000 cdo=0.000 lp=-1.500 lpr=-1.500 y=-78.167 yr=-165.045 el=0.000 er=0.000 ed=0.000 dl=15 dr=36 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=150 txdrop=0
