tick,t_s,run,el,er,ed,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
22782,0.3,1,0.0,0.0,0.0,0.0,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
23078,0.596,1,0.25,0.25,0.0,5.934,0.0,line_missing,0.074,0.074,0.07360348163123247,0.007650326251920585,0.0
23381,0.899,1,0.25,0.25,0.0,16.007,0.0,line_missing,0.07575,0.14975,0.1464165036393575,0.028538751899735693,0.0
23682,1.2,1,0.25,0.0,0.25,19.865,0.0,line_missing,0.037625,0.18737499999999999,0.18180266103387965,0.0413239186898133,0.0
23978,1.496,1,0.25,0.0,0.25,20.152,0.0,line_missing,0.037,0.224375,0.2165375939140078,0.05407085705998651,0.0
24281,1.799,1,0.0,0.0,0.0,16.004,0.0,line_missing,0.0,0.224375,0.2165375939140078,0.05407085705998651,0.0
24577,2.095,1,0.25,0.0,0.25,12.023,0.0,line_missing,0.037,0.26137499999999997,0.25272596416448023,0.0617781171837089,0.0
24880,2.398,1,0.25,0.25,0.0,7.32,0.0,line_missing,0.07575,0.33712499999999995,0.3278586038040851,0.07142948811147225,0.0
25182,2.7,1,0.25,0.25,0.0,3.131,0.0,line_missing,0.0755,0.41262499999999996,0.40324590229041124,0.07555322754717485,0.0
25477,2.995,1,0.25,0.0,0.25,0.134,0.0,line_missing,0.036875,0.44949999999999996,0.4401208014426719,0.07563946855022008,0.0
25780,3.298,1,0.25,0.25,0.0,-3.644,0.0,line_missing,0.07575,0.52525,0.5157176511901235,0.07082503106893119,0.0
26081,3.599,1,0.25,0.0,0.25,-6.585,0.0,line_missing,0.037625,0.562875,0.5530944323691278,0.06651030585209257,0.0
26377,3.895,1,0.25,0.25,0.0,-10.268,0.0,line_missing,0.074,0.636875,0.6259093036081467,0.05331960737001403,0.0
26680,4.198,1,0.25,0.25,0.0,-13.197,0.0,line_missing,0.07575,0.712625,0.6996588110987828,0.03602589045060655,0.0
26976,4.494,1,0.0,0.0,0.0,-15.145,0.0,line_missing,0.0,0.712625,0.6996588110987828,0.03602589045060655,0.0
27279,4.797,1,0.25,0.0,0.25,-17.098,0.0,line_missing,0.037875,0.7505,0.7358598602590793,0.024890376780649686,0.0
