tick,t_s,run,el,er,ed,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
59181,0.197,1,0.0,0.0,0.0,0.0,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
59379,0.395,1,0.5,0.5,0.0,0.0,-0.5,left_bias,0.099,0.099,0.099,0.0,-0.0495
59578,0.594,1,0.0,0.125,-0.125,0.0,-0.5,left_bias,0.0124375,0.11143750000000001,0.11143750000000001,0.0,-0.055718750000000004
59776,0.792,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033066000000000005,0.1445035,0.1445035,0.0,-0.055718750000000004
59975,0.991,1,0.167,0.167,0.0,0.0,2.0,right_bias,0.033233000000000006,0.17773650000000002,0.17773650000000002,0.0,0.010747250000000007
60173,1.189,1,0.2,0.2,0.0,0.0,3.5,right_bias,0.0396,0.21733650000000002,0.21733650000000002,0.0,0.14934725000000001
60372,1.388,1,0.2,0.2,0.0,0.0,0.0,line_missing,0.0398,0.2571365,0.2571365,0.0,0.14934725000000001
60570,1.586,1,0.0,0.125,-0.125,0.0,0.0,line_missing,0.012375,0.2695115,0.2695115,0.0,0.14934725000000001
60768,1.784,1,0.2,0.2,0.0,0.0,0.0,line_missing,0.0396,0.30911150000000004,0.30911150000000004,0.0,0.14934725000000001
60967,1.983,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033233000000000006,0.34234450000000005,0.34234450000000005,0.0,0.14934725000000001
61165,2.181,1,0.2,0.2,0.0,0.0,0.0,line_missing,0.0396,0.3819445000000001,0.3819445000000001,0.0,0.14934725000000001
61363,2.379,1,0.143,0.143,0.0,0.0,0.0,line_missing,0.028314,0.4102585000000001,0.4102585000000001,0.0,0.14934725000000001
61561,2.577,1,0.143,0.143,0.0,0.0,0.0,line_missing,0.028314,0.4385725000000001,0.4385725000000001,0.0,0.14934725000000001
61760,2.776,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033233000000000006,0.4718055000000001,0.4718055000000001,0.0,0.14934725000000001
61958,2.974,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033066000000000005,0.5048715000000001,0.5048715000000001,0.0,0.14934725000000001
62156,3.172,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033066000000000005,0.5379375000000002,0.5379375000000002,0.0,0.14934725000000001
62355,3.371,1,0.143,0.143,0.0,0.0,0.0,line_missing,0.028457,0.5663945000000001,0.5663945000000001,0.0,0.14934725000000001
62553,3.569,1,0.167,0.167,0.0,0.0,0.0,line_missing,0.033066000000000005,0.5994605000000002,0.5994605000000002,0.0,0.14934725000000001
62751,3.767,1,0.125,0.125,0.0,0.0,0.0,line_missing,0.02475,0.6242105000000002,0.6242105000000002,0.0,0.14934725000000001
62950,3.966,1,0.125,0.125,0.0,0.0,0.0,line_missing,0.024875,0.6490855000000002,0.6490855000000002,0.0,0.14934725000000001
63148,4.164,1,0.167,0.167,0.0,0.0,-1.5,left_bias,0.033066000000000005,0.6821515000000002,0.6821515000000002,0.0,0.09974825000000001
63347,4.363,1,0.143,0.143,0.0,0.0,0.0,line_missing,0.028457,0.7106085000000002,0.7106085000000002,0.0,0.09974825000000001
63545,4.561,1,0.125,0.0,0.125,0.0,0.0,line_missing,0.012375,0.7229835000000002,0.7229835000000002,0.0,0.09974825000000001
63743,4.759,1,0.0,0.125,-0.125,0.0,0.0,line_missing,0.012375,0.7353585000000002,0.7353585000000002,0.0,0.09974825000000001
