tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
268768,0.294,1,0.0,0.0,0.0,0,0,0,0.0,0.0,line_missing,0.0,0.0,0.0,0.0,0.0
269065,0.591,1,0.25,0.25,0.0,607,607,0,0.174,0.0,line_missing,0.07425,0.07425,0.07424965761134945,0.00022548746611436297,0.0
269383,0.909,1,0.25,0.0,0.25,1571,1578,-7,-0.494,0.0,line_missing,0.03975,0.11399999999999999,0.11399818016037098,-0.00011722986628506492,0.0
269687,1.213,1,0.25,0.25,0.0,2457,2509,-52,-2.46,0.0,line_missing,0.076,0.19,0.18992814085515222,-0.003379294992700705,0.0
270001,1.527,1,8.5,9.25,-0.75,3403,3500,-97,-5.383,0.0,line_missing,2.78675,2.97675,2.964388136614184,-0.264812449800564,0.0
270305,1.831,1,0.25,0.25,0.0,4233,4383,-150,-8.578,0.0,line_missing,0.076,3.05275,3.039537979760319,-0.2761482812703475,0.0
270608,2.134,1,0.25,0.25,0.0,5130,5287,-157,-10.208,0.0,line_missing,0.07575,3.1285000000000003,3.1140889233659372,-0.2895728597557928,0.0
270905,2.431,1,0.25,0.0,0.25,6027,6181,-154,-10.253,0.0,line_missing,0.037125,3.1656250000000004,3.1506210883185566,-0.29618092671025037,0.0
271208,2.734,1,0.0,0.25,-0.25,6963,7131,-168,-10.607,0.0,line_missing,0.037875,3.2035000000000005,3.1878489131909022,-0.30315263240354823,0.0
271504,3.03,1,0.0,0.25,-0.25,7913,8026,-113,-8.516,0.0,line_missing,0.037,3.2405000000000004,3.224440971490045,-0.3086317992592078,0.0
271807,3.333,1,0.25,0.0,0.25,8905,8897,8,-1.819,0.0,line_missing,0.037875,3.2783750000000005,3.262296885868777,-0.3098340353217629,0.0
272104,3.629,1,0.25,0.0,0.25,9864,9828,36,1.569,0.0,line_missing,0.037125,3.3155000000000006,3.299407966807421,-0.3088175233614772,0.0
272407,3.933,1,0.25,0.25,0.0,10873,10873,0,0.022,0.0,line_missing,0.07575,3.3912500000000008,3.375157961223327,-0.30878843745020745,0.0
272703,4.229,1,0.0,0.25,-0.25,11863,11885,-22,-1.695,0.0,line_missing,0.037,3.4282500000000007,3.412141771695043,-0.3098828610392146,0.0
273007,4.533,1,0.25,0.25,0.0,12911,12910,1,-1.114,0.0,line_missing,0.076,3.5042500000000008,3.4881274070455923,-0.3113604334988107,0.0
273303,4.829,1,0.25,0.25,0.0,13913,13901,12,-0.258,0.0,line_missing,0.074,3.5782500000000006,3.5621266568143644,-0.3116936506335163,0.0
273606,5.132,1,0.25,0.0,0.25,14885,14875,10,-0.453,0.0,line_missing,0.037875,3.6161250000000007,3.6000004730329347,-0.3119931001984657,0.0
273903,5.429,1,0.25,0.25,0.0,15828,15856,-28,-2.433,0.0,line_missing,0.07425,3.690375000000001,3.674183540053861,-0.31514509438766797,0.0
274206,5.732,1,0.25,0.25,0.0,16770,16843,-73,-5.343,0.0,line_missing,0.07575,3.766125000000001,3.7496044134568076,-0.3221987710982007,0.0
274503,6.029,1,0.0,0.25,-0.25,17729,17818,-89,-6.61,0.0,line_missing,0.037125,3.803250000000001,3.7864826320787555,-0.32647224933867675,0.0
274806,6.332,1,0.0,0.25,-0.25,18768,18836,-68,-6.019,0.0,line_missing,0.037875,3.8411250000000012,3.824148833935491,-0.3304437556886206,0.0
275102,6.628,1,0.25,0.25,0.0,19847,19858,-11,-3.074,0.0,line_missing,0.074,3.915125000000001,3.898042355905457,-0.33441205644261274,0.0
