tick,t_s,run,el,er,ed,lc,rc,cd,yaw_deg,sensor_score,sensor_state,forward_ds,path_s,traj_x,traj_y,sensor_y_accum
18206,0.295,1,0.0,0.0,0.0,0,0,0,0.007,-0.5,left_bias,0.0,0.0,0.0,0.0,0.0
18503,0.592,1,0.167,0.167,0.0,593,610,-17,-3.158,-0.5,left_bias,0.049599,0.049599,0.04952367971374582,-0.0027323888102392556,-0.0247995
18819,0.908,1,0.25,0.5,-0.25,1521,1655,-134,-11.297,-2.5,left_bias,0.1185,0.168099,0.1657277323685909,-0.02594592250483203,-0.3210495
19124,1.213,1,0.25,0.0,0.25,2278,2156,122,-4.386,-1.5,left_bias,0.038125,0.206224,0.20374108210352035,-0.02886154712572191,-0.378237
19440,1.529,1,0.25,0.25,0.0,3304,2979,325,12.907,2.5,right_bias,0.079,0.285224,0.28074506113330805,-0.01121538001838613,-0.18073699999999998
19745,1.834,1,0.0,0.25,-0.25,3629,3448,181,14.16,3.5,right_bias,0.038125,0.323349,0.31771168525846066,-0.0018888412290127901,-0.047299499999999994
20043,2.132,1,0.0,0.0,0.0,3719,3630,89,7.091,2.5,right_bias,0.0,0.323349,0.31771168525846066,-0.0018888412290127901,-0.047299499999999994
20359,2.448,1,0.0,0.0,0.0,3807,3819,-12,1.838,2.5,right_bias,0.0,0.323349,0.31771168525846066,-0.0018888412290127901,-0.047299499999999994
20665,2.754,1,0.0,0.0,0.0,3891,4055,-164,-6.382,1.5,right_bias,0.0,0.323349,0.31771168525846066,-0.0018888412290127901,-0.047299499999999994
20980,3.069,1,0.0,0.25,-0.25,4509,4947,-438,-26.268,-2.5,left_bias,0.039375,0.362724,0.35302057659328767,-0.019315051881514906,-0.145737
21285,3.374,1,0.0,0.0,0.0,4858,5194,-336,-25.454,-3.5,left_bias,0.0,0.362724,0.35302057659328767,-0.019315051881514906,-0.145737
21583,3.672,1,0.25,0.0,0.25,5105,5255,-150,-17.751,-2.5,left_bias,0.03725,0.399974,0.3884971219216007,-0.03067186620456123,-0.23886200000000002
21899,3.988,1,0.0,0.0,0.0,5261,5287,-26,-5.284,-2.5,left_bias,0.0,0.399974,0.3884971219216007,-0.03067186620456123,-0.23886200000000002
22204,4.293,1,0.0,0.0,0.0,5413,5302,111,2.101,-1.5,left_bias,0.0,0.399974,0.3884971219216007,-0.03067186620456123,-0.23886200000000002
22490,4.579,1,0.5,0.0,0.5,6210,5888,322,7.107,1.5,right_bias,0.0715,0.471474,0.45944777524590297,-0.021825692294068798,-0.13161200000000003
