tick,exp_id,t_ms,run,ts,kp,ki,kd,lp,lpr,y,el,er,ed,dl,dr,cl,cr,L,R,sensor_count,sensor_score,sensor_state,s1,s2,s3,s4,s5,s6,s7,s8,raw_line
70218,27,2408.0,1,18.0,0.5,0.004,0.0,0.225,0.5,10.031,0.0,0.0,0.0,0,0,0,0,38.0,38.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=70218 exp_id=27 t_ms=2408 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=0.225 lpr=0.500 y=10.031 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=38 R=38 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
70520,27,2710.0,1,18.0,0.5,0.004,0.0,-0.9,-1.5,-6.769,0.0,0.0,0.0,0,0,0,0,39.0,39.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=70520 exp_id=27 t_ms=2710 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=-0.900 lpr=-1.500 y=-6.769 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=39 R=39 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
70815,27,3005.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-19.129,1.0,1.0,0.0,1,1,0,0,26.0,26.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=70815 exp_id=27 t_ms=3005 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-19.129 el=1.000 er=1.000 ed=0.000 dl=1 dr=1 cl=0 cr=0 L=26 R=26 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
71118,27,3308.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-22.507,0.0,0.0,0.0,0,0,0,0,38.0,38.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=71118 exp_id=27 t_ms=3308 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-22.507 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=38 R=38 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
71420,27,3610.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-23.635,0.0,0.0,0.0,0,0,0,0,39.0,39.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=71420 exp_id=27 t_ms=3610 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-23.635 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=39 R=39 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
71715,27,3905.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-24.935,0.0,1.0,-1.0,0,1,0,0,36.0,25.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=71715 exp_id=27 t_ms=3905 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-24.935 el=0.000 er=1.000 ed=-1.000 dl=0 dr=1 cl=0 cr=0 L=36 R=25 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
72017,27,4207.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-17.084,1.0,0.0,1.0,1,0,0,0,28.0,38.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=72017 exp_id=27 t_ms=4207 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-17.084 el=1.000 er=0.000 ed=1.000 dl=1 dr=0 cl=0 cr=0 L=28 R=38 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
72319,27,4509.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-11.931,0.0,0.0,0.0,0,0,0,0,39.0,38.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=72319 exp_id=27 t_ms=4509 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-11.931 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=39 R=38 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
72615,27,4805.0,1,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,40.0,40.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=72615 exp_id=27 t_ms=4805 run=1 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=1.800 lt=1.800 rt=1.800 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=40 R=40 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
72812,27,0.0,0,18.0,0.5,0.004,0.0,2.5,2.5,-19.617,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0.0,line_missing,0,0,0,0,0,0,0,0,TRK tick=72812 exp_id=27 t_ms=0 run=0 ts=18.000 kp=0.500 ki=0.004 kd=0.000 st=0.000 lt=0.000 rt=0.000 lp=2.500 lpr=2.500 y=-19.617 el=0.000 er=0.000 ed=0.000 dl=0 dr=0 cl=0 cr=0 L=0 R=0 s1=0 s2=0 s3=0 s4=0 s5=0 s6=0 s7=0 s8=0 rx=151 txdrop=0
