============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:50:31
============================================================

=== STATISTICS ===
  total_samples        : 337
  neg_core             : 0
  neg_core_pct         : 0.0%
  neg_ol_or            : 0
  core_min             : 11
  core_max             : 118
  core_mean            : 55.0
  yaw_min              : -1.2
  yaw_max              : 1.4
  yaw_final            : 0.4
  yaw_std              : 0.41
  max_abs_hd           : 13
  min_OL               : 70
  min_OR               : 67


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
     0   104     0   104   104      0.0      0.0     0     0
   221   107     7   114   100     -0.4     -1.6   107   127
   221   107     7   114   100     -0.4     -1.6   107   127
   344   113    12   125   101     -0.5     -2.7   107   110
   348   118    12   130   106     -0.5     -2.7     1     0
   477    61     6    86    74     -0.7     -0.4   134   130
   598    71     1    81    79     -0.7      1.0   124   109
   603    71     1    81    79     -0.7      1.0   124   109
   731    12     3    83    77     -0.4     -0.0   101   110
   854    38     4    84    76     -0.4     -0.4   100    98
   858    65     4    84    76     -0.4     -0.4     1     1
   978    57     2    82    78     -0.3      0.2    85    86
  1190    65     0    80    80     -0.2      0.6   152   150
  1190    65     0    80    80     -0.2      0.6   152   150
  1412    72     3    83    77     -0.3     -0.2   135   139
  1412    72     3    83    77     -0.3     -0.2   135   139
  1632    77     7    87    73     -0.6     -0.7   132   137
  1633    77     7    87    73     -0.6     -0.7   132   137
  1764    84     8    92    76     -0.7     -1.1    89    88
  1764    84     8    92    76     -0.7     -1.1    89    88

  ... (297 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 30084    35     8    88    72     -0.4     -0.8    87    84
 30206    49     6    86    74     -0.4     -0.4    89    85
 30211    49     6    86    74     -0.4     -0.4    89    85
 30341    13     2    82    78     -0.1      0.5    81    78
 30552    28     1    81    79      0.0      0.5   150   148
 30553    28     1    81    79      0.0      0.5   150   148
 30765    37     0    80    80      0.1      0.5   158   157
 30765    37     0    80    80      0.1      0.5   158   157
 30978    45     3    83    77      0.0     -0.1   143   145
 30978    45     3    83    77      0.0     -0.1   143   145
 31199    51     3    83    77      0.0     -0.2   134   134
 31200    51     3    83    77      0.0     -0.2   134   134
 31331    60     1    81    79      0.1      0.5    85    84
 31331    60     1    81    79      0.1      0.5    85    84
 31463    34     1    81    79      0.2      0.2    84    83
 31464    34     1    81    79      0.2      0.2    84    83
 31676    41     4    84    76      0.2     -0.9   159   156
 31677    41     4    84    76      0.2     -0.9   159   156
 31898    46     2    82    78      0.4     -0.7   162   159
 31898    46     2    82    78      0.4     -0.7   162   159
