t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
211,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
212,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
334,S,1,60,66,0.0,0.0,100,0,0,100,100,-0.000,0,0.00
339,S,1,60,66,0.0,0.0,100,0,0,100,100,-0.000,0,0.00
467,S,1,106,108,-0.0,-1.8,2,6,6,86,74,-0.000,0,0.00
589,S,1,118,111,-0.0,-2.1,29,7,7,87,73,0.000,0,0.00
594,S,1,2,2,-0.0,-2.1,50,7,7,87,73,0.000,0,0.00
722,S,1,104,105,-0.3,-0.6,14,4,2,84,76,0.000,0,0.00
845,S,1,100,104,-0.3,0.1,38,1,0,81,79,0.000,0,0.00
849,S,1,100,104,-0.3,0.1,38,1,0,81,79,0.000,0,0.00
969,S,1,89,89,-0.2,0.1,1,1,0,81,79,0.000,0,0.00
1181,S,1,181,180,-0.2,-0.6,28,3,2,83,77,0.010,0,0.00
1181,S,1,181,180,-0.2,-0.6,28,3,2,83,77,0.010,0,0.00
1403,S,1,184,187,-0.3,-0.2,46,2,1,82,78,0.010,0,0.00
1403,S,1,184,187,-0.3,-0.2,46,2,1,82,78,0.010,0,0.00
1624,S,1,185,183,-0.2,1.1,60,-2,-3,78,82,0.010,0,0.00
1624,S,1,185,183,-0.2,1.1,60,-2,-3,78,82,0.010,0,0.00
1755,S,1,111,109,-0.1,0.2,70,0,-1,80,80,0.010,0,0.00
1755,S,1,111,109,-0.1,0.2,70,0,-1,80,80,0.010,0,0.00
1887,S,1,95,96,-0.3,-0.2,3,2,1,82,78,0.020,0,0.00
1888,S,1,95,96,-0.3,-0.2,3,2,1,82,78,0.020,0,0.00
2009,S,1,98,101,-0.3,-0.3,30,3,1,83,77,0.020,0,0.00
2014,S,1,2,2,-0.3,-0.3,52,3,1,83,77,0.020,0,0.00
2145,S,1,99,97,-0.3,-0.5,20,3,1,83,77,0.020,0,0.00
2325,S,1,149,143,-0.2,0.4,41,0,-1,80,80,0.020,0,0.00
2325,S,1,149,143,-0.2,0.4,41,0,-1,80,80,0.020,0,0.00
2424,S,1,68,67,-0.1,0.6,18,-1,-2,79,81,0.020,0,0.00
2636,S,1,169,176,-0.2,0.7,38,-1,-2,79,81,0.030,0,0.00
2636,S,1,169,176,-0.2,0.7,38,-1,-2,79,81,0.030,0,0.00
2758,S,1,100,101,-0.2,-0.1,54,2,0,82,78,0.030,0,0.00
2763,S,1,3,3,-0.2,-0.1,68,2,0,82,78,0.030,0,0.00
2883,S,1,91,89,-0.3,0.6,24,0,-2,80,80,0.030,0,0.00
3005,S,1,100,97,-0.3,1.2,44,-2,-4,78,82,0.030,0,0.00
3009,S,1,100,97,-0.3,1.2,44,-2,-4,78,82,0.030,0,0.00
3114,S,1,73,74,-0.2,0.3,12,0,-1,80,80,0.030,0,0.00
3326,S,1,160,162,-0.4,-0.4,34,4,1,84,76,0.040,0,0.00
3326,S,1,160,162,-0.4,-0.4,34,4,1,84,76,0.040,0,0.00
3448,S,1,96,95,-0.5,-0.7,51,5,2,85,75,0.050,0,0.00
3453,S,1,3,3,-0.5,-0.7,65,5,2,85,75,0.050,0,0.00
