HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,dp=0,OL=1,OR=1
HB:t=164,m=S,run=1,el=33,er=29,yaw=0.0,yr=0.0,pc=2,hd=0,dp=0,OL=2,OR=2
HB:t=164,m=S,run=1,el=21,er=26,yaw=0.0,yr=0.0,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=216,m=S,run=1,el=4,er=5,yaw=0.0,yr=0.0,pc=3,hd=0,dp=0,OL=3,OR=3
HB:t=216,m=S,run=1,el=15,er=21,yaw=0.0,yr=0.0,pc=4,hd=0,dp=0,OL=4,OR=4
HB:t=355,m=S,run=1,el=54,er=71,yaw=0.0,yr=0.0,pc=5,hd=0,dp=0,OL=5,OR=5
HB:t=356,m=S,run=1,el=19,er=24,yaw=0.0,yr=3.3,pc=6,hd=-1,dp=-1,OL=5,OR=7
HB:t=432,m=S,run=1,el=6,er=7,yaw=0.0,yr=5.8,pc=6,hd=-2,dp=-2,OL=4,OR=8
HB:t=432,m=S,run=1,el=36,er=47,yaw=0.0,yr=7.3,pc=8,hd=-2,dp=-2,OL=6,OR=10
HB:t=571,m=S,run=1,el=65,er=95,yaw=0.0,yr=8.0,pc=8,hd=-2,dp=-2,OL=6,OR=10
HB:t=571,m=S,run=1,el=22,er=32,yaw=0.0,yr=9.9,pc=9,hd=-3,dp=-3,OL=6,OR=12
HB:t=648,m=S,run=1,el=6,er=11,yaw=0.0,yr=11.3,pc=10,hd=-3,dp=-3,OL=7,OR=13
HB:t=648,m=S,run=1,el=40,er=66,yaw=0.0,yr=12.5,pc=11,hd=-4,dp=-4,OL=7,OR=15
HB:t=787,m=S,run=1,el=80,er=151,yaw=0.0,yr=13.1,pc=10,hd=-4,dp=-4,OL=6,OR=14
HB:t=787,m=S,run=1,el=26,er=49,yaw=0.0,yr=18.0,pc=10,hd=-5,dp=-5,OL=5,OR=15
HB:t=864,m=S,run=1,el=9,er=15,yaw=0.0,yr=21.6,pc=11,hd=-6,dp=-6,OL=5,OR=17
HB:t=864,m=S,run=1,el=54,er=108,yaw=0.0,yr=25.5,pc=11,hd=-8,dp=-8,OL=3,OR=19
HB:t=1003,m=S,run=1,el=90,er=217,yaw=0.0,yr=27.4,pc=9,hd=-8,dp=-8,OL=1,OR=17
HB:t=1003,m=S,run=1,el=28,er=70,yaw=0.0,yr=34.3,pc=9,hd=-8,dp=-10,OL=1,OR=17
HB:t=1080,m=S,run=1,el=9,er=22,yaw=0.0,yr=39.6,pc=9,hd=-8,dp=-12,OL=1,OR=17
HB:t=1080,m=S,run=1,el=55,er=128,yaw=0.0,yr=47.9,pc=9,hd=-8,dp=-14,OL=1,OR=17
HB:t=1219,m=S,run=1,el=94,er=222,yaw=0.0,yr=52.0,pc=7,hd=-6,dp=-16,OL=1,OR=13
HB:t=1219,m=S,run=1,el=27,er=62,yaw=0.0,yr=64.6,pc=8,hd=-7,dp=-19,OL=1,OR=15
HB:t=1296,m=S,run=1,el=8,er=19,yaw=0.0,yr=74.1,pc=10,hd=-9,dp=-20,OL=1,OR=19
HB:t=1296,m=S,run=1,el=57,er=141,yaw=0.0,yr=72.9,pc=10,hd=-9,dp=-20,OL=1,OR=19
HB:t=1435,m=S,run=1,el=95,er=241,yaw=0.0,yr=72.3,pc=8,hd=-7,dp=-20,OL=1,OR=15
HB:t=1436,m=S,run=1,el=29,er=73,yaw=0.0,yr=70.3,pc=8,hd=-7,dp=-20,OL=1,OR=15
HB:t=1512,m=S,run=1,el=53,er=136,yaw=0.0,yr=74.2,pc=9,hd=-8,dp=-20,OL=1,OR=17
HB:t=1650,m=S,run=1,el=86,er=225,yaw=0.0,yr=76.9,pc=7,hd=-6,dp=-20,OL=1,OR=13
HB:t=1651,m=S,run=1,el=27,er=63,yaw=0.0,yr=78.9,pc=8,hd=-7,dp=-20,OL=1,OR=15
HB:t=1727,m=S,run=1,el=44,er=113,yaw=0.0,yr=79.6,pc=9,hd=-8,dp=-20,OL=1,OR=17
HB:t=1866,m=S,run=1,el=84,er=219,yaw=0.0,yr=79.3,pc=8,hd=-7,dp=-20,OL=1,OR=15
HB:t=1866,m=S,run=1,el=25,er=68,yaw=0.0,yr=73.9,pc=8,hd=-7,dp=-20,OL=1,OR=15
