t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
220,S,1,0,0,-0.0,0.0,102,0,0,102,102,0.000,0,0.00
221,S,1,0,0,-0.0,0.0,102,0,0,102,102,0.000,0,0.00
433,S,1,132,134,0.1,-0.2,100,0,1,100,100,-0.000,0,0.00
433,S,1,132,134,0.1,-0.2,100,0,1,100,100,-0.000,0,0.00
655,S,1,215,219,-0.2,-1.5,96,6,5,102,90,0.000,0,0.00
655,S,1,215,219,-0.2,-1.5,96,6,5,102,90,0.000,0,0.00
876,S,1,222,221,-0.3,-0.3,93,3,1,96,90,0.000,0,0.00
877,S,1,222,221,-0.3,-0.3,93,3,1,96,90,0.000,0,0.00
1007,S,1,135,132,-0.2,0.8,94,-1,-3,93,95,0.000,0,0.00
1008,S,1,135,132,-0.2,0.8,94,-1,-3,93,95,0.000,0,0.00
1140,S,1,122,120,0.1,0.7,36,-3,-2,77,83,0.000,0,0.00
1352,S,1,191,193,0.1,0.5,51,-2,-1,78,82,0.000,0,0.00
1352,S,1,191,193,0.1,0.5,51,-2,-1,78,82,0.000,0,0.00
1483,S,1,113,113,0.0,-0.4,64,1,1,81,79,0.000,0,0.00
1483,S,1,113,113,0.0,-0.4,64,1,1,81,79,0.000,0,0.00
1617,S,1,96,94,0.0,-0.1,1,0,0,80,80,0.000,0,0.00
1617,S,1,96,94,0.0,-0.1,1,0,0,80,80,0.000,0,0.00
1829,S,1,157,157,0.1,-0.2,28,0,1,80,80,0.000,0,0.00
1829,S,1,0,0,0.1,-0.2,50,0,1,80,80,0.000,0,0.00
2041,S,1,158,159,0.0,0.2,58,-1,-1,79,81,0.000,0,0.00
2042,S,1,158,159,0.0,0.2,58,-1,-1,79,81,0.000,0,0.00
2164,S,1,98,98,0.0,0.4,69,-2,-1,78,82,0.000,0,0.00
2168,S,1,98,98,0.0,0.4,69,-2,-1,78,82,0.000,0,0.00
2298,S,1,97,95,0.0,0.6,15,-2,-2,78,82,0.000,0,0.00
2509,S,1,169,171,0.1,0.8,37,-3,-2,77,83,0.000,0,0.00
2509,S,1,169,171,0.1,0.8,37,-3,-2,77,83,0.000,0,0.00
2721,S,1,175,176,0.0,-0.7,52,2,2,82,78,0.000,0,0.00
2722,S,1,175,176,0.0,-0.7,52,2,2,82,78,0.000,0,0.00
2844,S,1,105,103,-0.0,-0.7,64,2,2,82,78,0.000,0,0.00
2849,S,1,4,4,-0.0,-0.7,74,2,2,82,78,0.000,0,0.00
2978,S,1,96,97,-0.1,-0.1,1,1,0,81,79,0.000,0,0.00
3158,S,1,131,134,-0.1,0.6,28,-1,-2,79,81,0.000,0,0.00
3158,S,1,131,134,-0.1,0.6,28,-1,-2,79,81,0.000,0,0.00
3256,S,1,67,66,-0.1,0.5,41,-1,-1,79,81,0.000,0,0.00
3468,S,1,166,167,-0.3,0.1,55,1,0,81,79,0.000,0,0.00
3468,S,1,166,167,-0.3,0.1,55,1,0,81,79,0.000,0,0.00
3681,S,1,174,177,-0.4,0.2,65,2,-1,82,78,0.000,0,0.00
3681,S,1,174,177,-0.4,0.2,65,2,-1,82,78,0.000,0,0.00
3893,S,1,175,172,-0.3,0.9,72,-1,-3,79,81,0.010,0,0.00
3894,S,1,175,172,-0.3,0.9,72,-1,-3,79,81,0.010,0,0.00
4115,S,1,185,186,-0.4,-0.2,77,3,1,83,77,0.010,0,0.00
4115,S,1,185,186,-0.4,-0.2,77,3,1,83,77,0.010,0,0.00
4246,S,1,110,111,-0.4,-0.0,82,2,0,84,80,0.010,0,0.00
4247,S,1,110,111,-0.4,-0.0,82,2,0,84,80,0.010,0,0.00
4379,S,1,99,101,-0.5,-0.7,27,5,2,85,75,0.010,0,0.00
4501,S,1,97,94,-0.5,-0.8,47,6,3,86,74,0.010,0,0.00
4505,S,1,97,94,-0.5,-0.8,47,6,3,86,74,0.010,0,0.00
4634,S,1,87,86,-0.5,-0.6,1,5,2,85,75,0.010,0,0.00
4756,S,1,98,95,-0.4,0.4,28,1,-1,81,79,0.010,0,0.00
4760,S,1,2,3,-0.4,0.4,49,1,-1,81,79,0.010,0,0.00
4880,S,1,92,95,-0.4,-0.0,20,2,0,82,78,0.010,0,0.00
5002,S,1,101,101,-0.4,-0.6,41,4,2,84,76,0.020,0,0.00
5007,S,1,101,101,-0.4,-0.6,41,4,2,84,76,0.020,0,0.00
5136,S,1,98,95,-0.5,0.2,1,2,-1,82,78,0.020,0,0.00
5347,S,1,178,178,-0.4,-0.2,29,3,1,83,77,0.020,0,0.00
5348,S,1,178,178,-0.4,-0.2,29,3,1,83,77,0.020,0,0.00
5560,S,1,182,183,-0.4,-0.4,49,4,1,84,76,0.020,0,0.00
5561,S,1,182,183,-0.4,-0.4,49,4,1,84,76,0.020,0,0.00
5683,S,1,96,97,-0.5,-1.6,65,8,5,88,72,0.020,0,0.00
5688,S,1,96,97,-0.5,-1.6,65,8,5,88,72,0.020,0,0.00
