HB:t=1,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=107,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=127,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=147,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=167,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=187,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=305,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=325,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=345,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=365,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=385,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=505,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=525,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=545,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=565,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=585,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=6,hd=0,OL=6,OR=6
HB:t=705,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=725,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=745,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=765,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=785,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=7,hd=0,OL=7,OR=7
HB:t=905,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=925,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=945,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=965,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=985,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=8,hd=0,OL=8,OR=8
HB:t=1105,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1125,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1145,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1165,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1185,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1305,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1325,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1345,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1365,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1385,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1505,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1525,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1545,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1565,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1585,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=11,hd=0,OL=11,OR=11
HB:t=1705,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=1725,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=1745,m=S,run=1,el=1,er=0,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=1765,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=1785,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=12,hd=0,OL=12,OR=12
HB:t=1905,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=1925,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=1945,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=1965,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=1985,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2105,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2125,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2145,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2165,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2185,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2305,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2325,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2345,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2365,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2385,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2505,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2525,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2545,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2565,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2585,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2705,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2725,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2745,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2765,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2785,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2905,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2925,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2945,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2965,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=2985,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3105,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3125,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3145,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3165,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3185,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
HB:t=3305,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=13,hd=0,OL=13,OR=13
