t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
220,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
220,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
343,S,1,59,64,0.0,0.0,101,0,0,101,101,0.000,0,0.00
347,S,1,59,64,0.0,0.0,101,0,0,101,101,0.000,0,0.00
476,S,1,109,102,0.5,1.7,4,-8,-6,72,88,-0.000,0,0.00
687,S,1,186,190,0.6,-1.9,29,3,6,83,77,-0.010,0,0.00
688,S,1,0,1,0.6,-1.9,50,3,6,83,77,-0.010,0,0.00
909,S,1,169,177,-0.3,-1.4,58,6,5,86,74,-0.010,0,0.00
909,S,1,169,177,-0.3,-1.4,58,6,5,86,74,-0.010,0,0.00
1131,S,1,178,183,-0.6,-0.5,67,5,2,85,75,-0.000,0,0.00
1131,S,1,178,183,-0.6,-0.5,67,5,2,85,75,-0.000,0,0.00
1352,S,1,185,184,-0.7,0.2,73,4,-1,84,76,0.010,0,0.00
1352,S,1,185,184,-0.7,0.2,73,4,-1,84,76,0.010,0,0.00
1483,S,1,106,105,-0.7,0.7,79,2,-2,82,78,0.020,0,0.00
1484,S,1,106,105,-0.7,0.7,79,2,-2,82,78,0.020,0,0.00
1615,S,1,99,98,-0.3,1.1,2,-2,-4,78,82,0.020,0,0.00
1827,S,1,177,173,-0.3,0.4,27,0,-1,80,80,0.020,0,0.00
1827,S,1,177,173,-0.3,0.4,27,0,-1,80,80,0.020,0,0.00
2048,S,1,177,178,-0.3,0.1,44,1,0,81,79,0.020,0,0.00
2049,S,1,177,178,-0.3,0.1,44,1,0,81,79,0.020,0,0.00
2270,S,1,170,167,-0.2,0.6,57,-1,-2,79,81,0.020,0,0.00
2270,S,1,170,167,-0.2,0.6,57,-1,-2,79,81,0.020,0,0.00
2491,S,1,177,176,-0.2,-0.1,66,1,0,81,79,0.030,0,0.00
2491,S,1,177,176,-0.2,-0.1,66,1,0,81,79,0.030,0,0.00
2622,S,1,106,110,-0.2,-0.5,73,3,2,83,77,0.030,0,0.00
2623,S,1,106,110,-0.2,-0.5,73,3,2,83,77,0.030,0,0.00
2755,S,1,96,96,-0.3,-0.2,1,2,1,82,78,0.030,0,0.00
2967,S,1,173,170,-0.2,0.3,26,0,-1,80,80,0.030,0,0.00
2967,S,1,173,170,-0.2,0.3,26,0,-1,80,80,0.030,0,0.00
3188,S,1,174,173,-0.1,0.2,43,0,-1,80,80,0.030,0,0.00
3188,S,1,174,173,-0.1,0.2,43,0,-1,80,80,0.030,0,0.00
3409,S,1,170,173,-0.3,-1.0,56,5,3,85,75,0.040,0,0.00
