HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=180,m=S,run=1,el=33,er=36,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=181,m=S,run=1,el=41,er=41,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=343,m=S,run=1,el=100,er=101,yaw=-0.1,yr=-0.3,pc=3,hd=0,OL=3,OR=3
HB:t=346,m=S,run=1,el=14,er=14,yaw=-0.1,yr=-0.3,pc=4,hd=0,OL=4,OR=4
HB:t=397,m=S,run=1,el=28,er=29,yaw=-0.2,yr=-0.7,pc=5,hd=0,OL=5,OR=5
HB:t=527,m=S,run=1,el=86,er=90,yaw=-0.3,yr=-0.8,pc=6,hd=0,OL=6,OR=6
HB:t=527,m=S,run=1,el=18,er=17,yaw=-0.3,yr=-0.8,pc=7,hd=0,OL=7,OR=7
HB:t=586,m=S,run=1,el=8,er=8,yaw=-0.4,yr=-1.2,pc=8,hd=0,OL=8,OR=8
HB:t=586,m=S,run=1,el=36,er=39,yaw=-0.4,yr=-1.2,pc=9,hd=0,OL=9,OR=9
HB:t=727,m=S,run=1,el=101,er=104,yaw=-0.5,yr=-1.1,pc=9,hd=0,OL=9,OR=9
HB:t=727,m=S,run=1,el=20,er=20,yaw=-0.5,yr=-1.1,pc=10,hd=0,OL=10,OR=10
HB:t=786,m=S,run=1,el=10,er=10,yaw=-0.6,yr=-1.7,pc=11,hd=0,OL=11,OR=11
HB:t=786,m=S,run=1,el=45,er=46,yaw=-0.6,yr=-1.7,pc=11,hd=0,OL=11,OR=11
HB:t=966,m=S,run=1,el=132,er=133,yaw=-1.0,yr=-1.9,pc=9,hd=1,OL=10,OR=8
HB:t=966,m=S,run=1,el=70,er=67,yaw=-1.0,yr=-1.9,pc=9,hd=1,OL=10,OR=8
HB:t=1002,m=S,run=1,el=11,er=11,yaw=-1.1,yr=-2.5,pc=10,hd=1,OL=11,OR=9
HB:t=1120,m=S,run=1,el=117,er=117,yaw=-1.1,yr=-2.1,pc=9,hd=1,OL=10,OR=8
HB:t=1129,m=S,run=1,el=1,er=2,yaw=-1.1,yr=-2.1,pc=11,hd=1,OL=12,OR=10
HB:t=1174,m=S,run=1,el=49,er=46,yaw=-1.0,yr=-1.6,pc=11,hd=1,OL=12,OR=10
HB:t=1214,m=S,run=1,el=13,er=12,yaw=-0.7,yr=1.1,pc=10,hd=1,OL=11,OR=9
HB:t=1214,m=S,run=1,el=27,er=26,yaw=-0.7,yr=1.1,pc=10,hd=0,OL=10,OR=10
HB:t=1337,m=S,run=1,el=126,er=122,yaw=-0.6,yr=1.1,pc=9,hd=0,OL=9,OR=9
HB:t=1341,m=S,run=1,el=19,er=19,yaw=-0.6,yr=1.1,pc=9,hd=0,OL=9,OR=9
HB:t=1391,m=S,run=1,el=47,er=46,yaw=-0.5,yr=1.6,pc=10,hd=0,OL=10,OR=10
HB:t=1431,m=S,run=1,el=12,er=11,yaw=-0.3,yr=2.3,pc=11,hd=0,OL=11,OR=11
HB:t=1431,m=S,run=1,el=37,er=36,yaw=-0.3,yr=2.3,pc=11,hd=0,OL=11,OR=11
HB:t=1554,m=S,run=1,el=136,er=131,yaw=-0.2,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1558,m=S,run=1,el=21,er=21,yaw=-0.2,yr=2.2,pc=9,hd=0,OL=9,OR=9
HB:t=1608,m=S,run=1,el=46,er=44,yaw=-0.1,yr=2.5,pc=10,hd=0,OL=10,OR=10
HB:t=1649,m=S,run=1,el=13,er=12,yaw=0.3,yr=4.6,pc=10,hd=0,OL=10,OR=10
HB:t=1649,m=S,run=1,el=32,er=32,yaw=0.3,yr=4.6,pc=10,hd=0,OL=10,OR=10
HB:t=1772,m=S,run=1,el=127,er=126,yaw=0.4,yr=4.1,pc=9,hd=-1,OL=8,OR=10
HB:t=1775,m=S,run=1,el=20,er=20,yaw=0.4,yr=4.1,pc=9,hd=0,OL=9,OR=9
HB:t=1826,m=S,run=1,el=39,er=39,yaw=0.4,yr=3.9,pc=10,hd=0,OL=10,OR=10
HB:t=1865,m=S,run=1,el=27,er=26,yaw=0.6,yr=4.6,pc=10,hd=0,OL=10,OR=10
