============================================================
  Diagnostic Capture Summary
  Generated: 2026-04-12 19:22:26
============================================================

=== STATISTICS ===
  total_samples        : 331
  neg_core             : 25
  neg_core_pct         : 7.6%
  neg_ol_or            : 25
  core_min             : -19
  core_max             : 120
  core_mean            : 48.2
  yaw_min              : -1.2
  yaw_max              : 0.9
  yaw_final            : -0.1
  yaw_std              : 0.47
  max_abs_hd           : 8
  min_OL               : -87
  min_OR               : -87


--- FIRST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
  6975     0     0     0     0      0.0      0.0     0     0
     0     0     0     0     0      0.0      0.0     0     0
   221   108     0   108   108     -0.0      0.0     0     0
   221   108     0   108   108     -0.0      0.0     0     0
   343   114     0   114   114     -0.0      0.0    62    61
   348   120     0   120   120     -0.0      0.0     2     2
   477    39    -3    77    83      0.2      0.5   129   128
   689    45    -4    76    84      0.1      1.0   210   210
   690    45    -4    76    84      0.1      1.0   210   210
   902    52    -2    78    82      0.1      0.4   163   165
   902    52    -2    78    82      0.1      0.4   163   165
  1114    58    -3    77    83      0.2      0.8   156   155
  1114    58    -3    77    83      0.2      0.8   156   155
  1335    60    -1    79    81      0.2      0.1   176   176
  1336    60    -1    79    81      0.2      0.1   176   176
  1557    60     1    81    79      0.1     -0.6   181   179
  1557    60     1    81    79      0.1     -0.6   181   179
  1688    70    -1    79    81      0.1      0.1   107   106
  1688    70    -1    79    81      0.1      0.1   107   106
  1820   -17    -2   -82   -78      0.3     -0.0   105   104

  ... (291 samples omitted) ...


--- LAST 20 ---
t_ms  pc   hd   OL   OR   yaw      yr     el    er
-------------------------------------------------------------------------------------
 30256    74     8    88    72     -0.5     -1.4    87    88
 30256    74     8    88    72     -0.5     -1.4    87    88
 30388    -7     7   -73   -87     -0.8     -0.6    87    87
 30389    -7     7   -73   -87     -0.8     -0.6    87    87
 30511    30     6    86    74     -0.8     -0.3    -6    -8
 30515    56     6    86    74     -0.8     -0.3    -2    -1
 30644    59     3    83    77     -0.7      0.7    30    25
 30856    60     3    83    77     -0.6      0.7   129   127
 30857    60     3    83    77     -0.6      0.7   129   127
 31069    58     2    82    78     -0.5      0.8   156   152
 31069    58     2    82    78     -0.5      0.8   156   152
 31281    55     2    82    78     -0.4      0.6   165   164
 31281    55     2    82    78     -0.4      0.6   165   164
 31503    52     1    81    79     -0.3      0.6   176   175
 31503    52     1    81    79     -0.3      0.6   176   175
 31724    51     0    80    80     -0.2      0.9   163   160
 31724    51     0    80    80     -0.2      0.9   163   160
 31855    59     1    81    79     -0.1      0.5    91    90
 31856    59     1    81    79     -0.1      0.5    91    90
 31987    -6     3   -77   -83     -0.1     -0.1    81    81
