t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
222,0.2220,0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
443,0.4430,0.00,-0.10,-0.0000,0,105,105,105,135,143,135,143,72.848,0.109,1.709,72.849,0.000,0.3296
664,0.6640,0.10,0.80,-0.0200,-3,100,97,103,233,230,368,373,194.171,0.262,1.175,194.171,0.106,0.5490
665,0.6650,0.10,0.80,-0.0200,-3,100,97,103,233,230,601,603,315.494,0.415,0.641,315.494,0.318,121.3230
796,0.7960,0.20,1.80,-0.0400,-7,97,90,104,134,132,735,735,385.196,0.628,0.277,385.196,0.500,0.5321
929,0.9290,0.30,0.30,-0.0600,-3,9,77,83,117,119,852,854,447.036,0.970,0.736,447.037,0.770,0.4650
1051,1.0510,0.30,-0.10,-0.0900,-2,35,78,82,114,115,966,969,507.042,1.298,0.986,507.043,1.084,0.4919
1056,1.0560,0.30,-0.10,-0.0900,-2,63,78,82,2,1,968,970,507.828,1.302,0.780,507.829,1.088,0.1572
1185,1.1850,0.20,0.40,-0.1000,-2,36,78,82,103,102,1071,1072,561.545,1.486,0.612,561.546,1.323,0.4164
1397,1.3970,0.20,-0.00,-0.1300,-1,50,79,81,163,159,1234,1231,645.920,1.724,-0.156,645.921,1.617,0.3980
1398,1.3980,0.20,-0.00,-0.1300,-1,50,79,81,163,159,1397,1390,730.295,1.959,-0.924,730.295,1.912,84.3753
1610,1.6100,0.30,-0.60,-0.1600,0,59,80,80,158,160,1555,1550,813.623,2.419,-0.449,813.623,2.275,0.3931
1823,1.8230,0.30,-0.90,-0.1900,1,65,81,79,165,165,1720,1715,900.094,2.878,-0.387,900.095,2.728,0.4060
2044,2.0440,0.30,-1.10,-0.2100,2,70,82,78,158,158,1878,1873,982.897,3.316,-0.327,982.898,3.162,0.3747
2264,2.2640,0.30,0.10,-0.2400,-2,75,78,82,141,141,2019,2014,1056.791,3.707,-0.274,1056.791,3.549,0.3359
2265,2.2650,0.30,0.10,-0.2400,-2,75,78,82,141,141,2160,2155,1130.685,4.097,-0.221,1130.685,3.935,73.8948
2396,2.3960,0.30,-0.40,-0.2800,-1,83,82,84,85,87,2245,2242,1175.755,4.351,0.226,1175.756,4.171,0.3441
2528,2.5280,0.20,-1.30,-0.3000,2,21,82,78,99,99,2344,2341,1227.638,4.539,0.263,1227.639,4.398,0.3931
2529,2.5290,0.20,-1.30,-0.3000,2,21,82,78,99,99,2443,2440,1279.521,4.722,0.300,1279.522,4.579,51.8836
2741,2.7410,0.30,0.50,-0.3300,-4,37,76,84,179,174,2622,2614,1372.019,5.121,-0.668,1372.019,4.982,0.4363
2962,2.9620,0.40,0.60,-0.3800,-5,49,75,85,169,167,2791,2781,1460.061,5.697,-1.019,1460.062,5.520,0.3984
2963,2.9630,0.40,0.60,-0.4200,-5,73,75,85,0,0,2791,2781,1460.061,5.697,-1.019,1460.062,5.520,0.0000
3184,3.1840,0.50,-0.50,-0.4700,-2,74,78,82,165,165,2956,2946,1546.531,6.448,-0.957,1546.532,6.199,0.3913
3315,3.3150,0.50,-0.10,-0.5100,-3,81,78,84,98,99,3054,3045,1598.150,6.910,-0.713,1598.152,6.650,0.3941
3316,3.3160,0.50,-0.10,-0.5100,-3,81,78,84,98,99,3152,3144,1649.770,7.372,-0.468,1649.772,7.100,51.6218
3448,3.4480,0.40,-0.30,-0.5500,-2,21,78,82,97,98,3249,3242,1700.866,7.744,-0.224,1700.868,7.502,0.3871
3659,3.6590,0.40,-0.60,-0.6000,-1,38,79,81,160,161,3409,3403,1784.979,8.353,0.043,1784.980,8.089,0.3986
3660,3.6600,0.40,-0.60,-0.6000,-1,38,79,81,160,161,3569,3564,1869.091,8.960,0.311,1869.093,8.676,84.1145
3881,3.8810,0.40,-0.50,-0.6400,-2,51,78,82,156,153,3725,3717,1950.058,9.487,-0.252,1950.060,9.241,0.3664
4102,4.1020,0.30,-1.60,-0.6700,2,59,82,78,166,166,3891,3883,2037.054,9.953,-0.189,2037.055,9.773,0.3937
4323,4.3230,0.40,-0.70,-0.7100,-1,64,79,81,168,165,4059,4048,2124.310,10.512,-0.748,2124.311,10.306,0.3948
4324,4.3240,0.40,-0.70,-0.7100,-1,64,79,81,168,165,4227,4213,2211.566,11.076,-1.306,2211.567,10.915,87.2580
4455,4.4550,0.40,0.40,-0.7500,-4,74,76,84,96,95,4323,4308,2261.614,11.417,-1.477,2261.615,11.264,0.3821
4587,4.5870,0.50,-0.30,-0.7900,-3,18,77,83,97,98,4420,4406,2312.710,11.869,-1.233,2312.711,11.666,0.3871
4588,4.5880,0.50,-0.30,-0.7900,-3,18,77,83,97,98,4517,4504,2363.805,12.326,-0.989,2363.807,12.112,51.0977
4710,4.7100,0.50,-0.20,-0.8500,-3,41,77,83,104,106,4621,4610,2418.832,12.829,-0.536,2418.833,12.592,0.4511
4714,4.7140,0.50,-0.20,-0.8700,-3,66,77,83,2,3,4623,4613,2420.142,12.840,-0.328,2420.144,12.603,0.3276
4843,4.8430,0.40,0.20,-0.8800,-3,35,77,83,89,93,4712,4706,2467.832,13.214,0.535,2467.834,12.978,0.3697
4965,4.9650,0.30,-0.30,-0.9100,-2,55,78,82,84,85,4796,4791,2512.116,13.461,0.774,2512.118,13.248,0.3630
4969,4.9690,0.30,-0.30,-0.9100,-2,55,78,82,84,85,4880,4876,2556.401,13.703,1.013,2556.402,13.480,11.0712
5089,5.0890,0.20,0.50,-0.9400,-4,31,76,84,75,75,4955,4951,2595.706,13.845,1.041,2595.707,13.652,0.3275
5301,5.3010,0.20,0.50,-0.9500,-4,45,76,84,158,160,5113,5111,2679.034,14.170,1.516,2679.035,13.943,0.3931
5523,5.5230,-0.10,-0.10,-0.9400,0,54,80,80,172,174,5285,5285,2769.700,14.076,1.995,2769.701,14.022,0.4084
5523,5.5230,-0.10,-0.10,-0.9300,0,75,80,80,1,1,5286,5286,2770.224,14.075,1.995,2770.225,14.021,0.0524
