t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,15,80,80,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
118,0.1180,0.00,0.00,0.0000,0,23,80,80,28,38,28,38,17.279,0.031,2.069,17.279,0.000,0.1464
127,0.1270,0.00,0.00,0.0000,0,29,80,80,0,1,28,39,17.541,0.031,2.276,17.541,0.000,0.0291
225,0.2250,-0.30,-4.00,0.0200,41,36,121,39,43,64,71,103,45.553,-0.001,6.621,45.553,-0.147,0.2858
414,0.4140,-0.50,-6.00,0.0400,61,43,141,19,73,57,144,160,79.585,-0.384,3.310,79.585,-0.444,0.1801
414,0.4140,-0.50,13.30,0.0700,-79,55,1,159,74,31,218,191,107.070,-0.841,-5.586,107.073,-0.684,2.7489
617,0.6170,-3.50,27.70,0.1100,-79,68,1,159,38,108,256,299,145.252,-2.607,8.897,145.225,-3.017,0.1883
618,0.6180,-3.50,-21.70,0.1900,80,81,161,1,3,107,259,406,174.025,-3.804,30.414,173.969,-4.775,28.7979
742,0.7420,-5.00,-58.80,0.2700,94,95,189,1,96,67,355,473,216.525,-7.648,24.414,216.480,-8.494,0.3441
751,0.7510,-5.00,-68.10,0.3200,107,108,215,1,8,1,363,474,218.872,-7.857,22.966,218.827,-8.700,0.2618
861,0.8610,-1.40,12.70,0.4500,-111,112,1,223,166,2,529,476,262.782,-10.374,-10.966,262.796,-9.774,0.3998
983,0.9830,1.90,53.80,0.5500,-100,101,1,201,101,114,630,590,319.042,-8.630,-8.276,319.052,-7.908,0.4614
988,0.9880,1.90,82.30,0.5400,-105,106,1,211,6,22,636,612,326.367,-8.366,-4.966,326.378,-7.665,1.4661
1049,1.0490,5.50,24.90,0.4100,-113,114,1,227,9,82,645,694,350.057,-5.842,10.138,350.093,-5.382,0.3906
1266,1.2660,3.60,-44.00,0.2300,105,106,211,1,154,75,799,769,409.932,-2.801,-6.207,409.926,-1.617,0.2763
1266,1.2660,3.60,29.20,0.1500,-98,99,1,197,187,11,986,780,461.744,-1.223,-42.621,461.660,1.638,5.1836
1460,1.4600,11.80,65.80,0.0700,-91,92,1,183,110,95,1096,875,514.401,9.148,-45.724,514.195,12.613,0.2766
1460,1.4600,0.00,0.00,0.0000,0,0,0,0,24,0,1120,875,520.684,9.182,-50.690,520.478,12.613,0.6283
1584,1.5840,10.50,-28.20,-0.4600,90,91,181,1,25,173,1145,1048,571.476,19.535,-20.069,571.446,22.059,0.4180
1592,1.5920,10.50,-51.70,-0.5400,103,104,207,1,4,5,1149,1053,573.792,19.967,-19.862,573.763,22.489,0.2945
1658,1.6580,6.90,-71.50,-0.7400,105,106,211,1,69,46,1218,1099,603.685,23.555,-24.621,603.652,26.105,0.4562
1876,1.8760,13.40,-83.30,-0.9000,103,104,207,1,185,27,1403,1126,658.084,34.562,-57.310,657.643,38.968,0.2546
1876,1.8760,13.40,21.00,-1.2000,-93,94,1,187,223,2,1626,1128,715.904,45.817,-103.034,714.944,52.619,5.8905
2070,2.0700,22.80,73.20,-1.5000,-87,88,1,175,125,85,1751,1213,766.951,66.231,-111.310,765.626,73.924,0.2834
2070,2.0700,22.80,13.60,-2.0200,-92,93,1,185,28,105,1779,1318,798.871,80.141,-95.379,797.724,87.417,3.4819
2198,2.1980,21.60,-16.20,-2.5300,80,90,170,10,8,176,1787,1494,843.068,99.300,-60.621,842.513,105.150,0.3763
