t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
118,0.1180,0.00,0.00,0.0000,0,2,8,8,36,37,36,37,19.111,0.000,0.1620
126,0.1260,0.00,0.00,0.0000,0,2,8,8,3,2,39,39,20.420,0.000,0.1636
225,0.2250,0.20,2.60,-0.0000,-1,3,7,9,62,51,101,90,50.004,0.103,0.2988
347,0.3470,1.00,3.90,-0.0100,-2,4,6,10,82,69,183,159,89.529,0.793,0.3240
352,0.3520,1.00,5.80,-0.0200,-2,4,6,10,13,11,196,170,95.811,0.903,1.2566
437,0.4370,2.20,5.60,-0.0400,-3,6,5,11,50,57,246,227,123.803,1.978,0.3296
631,0.6310,0.20,4.70,-0.0600,-3,7,5,11,71,90,317,317,165.953,2.125,0.2173
631,0.6310,0.20,-6.00,-0.0600,2,8,10,6,53,81,370,398,201.034,2.248,3.5081
758,0.7580,-0.20,-14.00,-0.0800,4,10,14,6,107,76,477,474,248.943,2.081,0.3772
763,0.7630,-0.20,-17.80,-0.0800,6,11,17,5,4,3,481,477,250.775,2.074,0.3665
868,0.8680,2.30,8.80,-0.0900,-5,11,6,16,125,61,606,538,299.431,4.028,0.4638
1056,1.0560,3.70,22.40,-0.1200,-9,10,1,19,112,125,718,663,361.348,8.032,0.3300
1057,1.0570,3.70,-12.00,-0.1400,3,9,12,6,50,121,768,784,406.022,10.921,44.7677
1185,1.1850,2.70,-37.70,-0.1800,8,9,17,1,137,85,905,869,464.077,13.659,0.4541
1194,1.1940,2.70,-44.20,-0.1900,9,10,19,1,10,3,915,872,467.477,13.819,0.3782
1304,1.3040,6.30,17.50,-0.2300,-9,10,1,19,171,28,1086,900,519.260,19.536,0.4736
1517,1.5170,11.10,17.20,-0.3900,-10,11,1,21,21,114,1107,1014,553.942,26.341,0.1659
1711,1.7110,-8.20,-19.90,-0.4900,0,10,10,10,16,212,1123,1226,613.022,17.827,0.3077
1711,1.7110,-8.20,-70.00,-0.4400,8,9,17,1,43,153,1166,1379,663.810,10.508,5.1313
1910,1.9100,-10.70,-107.60,-0.4000,8,9,17,1,136,89,1302,1468,721.691,-0.428,0.2960
1910,1.9100,-10.70,-27.70,-0.3400,9,10,19,1,115,22,1417,1490,756.934,-7.087,3.5867
2109,2.1090,-3.10,32.20,-0.2800,-8,10,2,18,138,81,1555,1571,814.184,-10.188,0.2881
2110,2.1100,-3.10,21.50,-0.2600,-6,9,3,15,70,104,1625,1675,859.670,-12.651,45.5531
2310,2.3100,-11.90,13.40,-0.2400,-4,10,6,14,68,152,1693,1827,916.028,-24.528,0.2880
2310,2.3100,-11.90,-18.60,-0.1700,8,9,17,1,60,133,1753,1960,965.470,-34.947,5.0527
2509,2.5090,-10.30,-42.70,-0.1000,8,9,17,1,157,83,1910,2043,1027.289,-46.181,0.3157
2510,2.5100,-10.30,11.40,-0.0400,0,9,9,9,129,26,2039,2069,1067.214,-53.437,40.5789
2710,2.7100,-8.10,52.00,0.0200,-8,9,1,17,89,159,2128,2228,1131.492,-62.585,0.3246
2710,2.7100,-8.10,-1.70,0.0700,4,9,13,5,28,128,2156,2356,1171.926,-68.340,4.0841
2838,2.8380,-9.40,-42.00,0.1100,8,9,17,1,153,72,2309,2428,1230.040,-77.960,0.4602
