t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
210,0.2100,0.00,0.00,0.0000,0,2,8,8,29,35,29,35,16.751,0.363,1.241,16.755,0.000,0.0798
210,0.2100,0.00,0.20,-0.0000,0,3,8,8,50,49,79,84,42.665,0.831,1.034,42.673,0.000,2.5918
399,0.3990,0.30,0.30,-0.0000,0,4,8,8,65,61,144,145,75.652,0.950,0.207,75.660,0.173,0.1745
399,0.3990,0.30,1.10,-0.0000,-1,5,7,9,55,52,199,197,103.663,0.748,-0.414,103.672,0.319,2.8013
528,0.5280,0.30,1.70,-0.0100,-1,6,7,9,79,76,278,273,144.236,0.015,-1.034,144.250,0.532,0.3146
536,0.5360,0.30,1.90,-0.0100,-1,6,7,9,5,5,283,278,146.853,-0.032,-1.034,146.868,0.546,0.3272
647,0.6470,0.40,0.90,-0.0200,0,8,8,8,81,82,364,360,189.522,-0.649,-0.828,189.540,0.843,0.3844
769,0.7690,0.40,0.40,-0.0200,-1,8,7,9,89,86,453,446,235.322,-1.806,-1.448,235.354,1.163,0.3755
773,0.7730,0.40,0.10,-0.0200,0,9,9,9,13,14,466,460,242.389,-1.960,-1.241,242.422,1.213,1.7671
874,0.8740,0.50,0.50,-0.0300,0,11,11,11,89,89,555,549,288.979,-2.969,-1.241,289.021,1.619,0.4614
993,0.9930,0.50,0.80,-0.0400,-1,10,9,11,120,118,675,667,351.261,-4.769,-1.655,351.327,2.163,0.5236
1001,1.0010,0.50,1.00,-0.0400,0,11,11,11,1,0,676,667,351.523,-4.777,-1.862,351.589,2.165,0.0327
1107,1.1070,0.70,0.70,-0.0500,-1,10,9,11,123,125,799,792,416.428,-6.418,-1.448,416.510,2.959,0.6125
1226,1.2260,0.70,0.40,-0.0600,0,9,9,9,123,126,922,918,481.609,-7.360,-0.828,481.693,3.755,0.5478
1234,1.2340,0.70,0.30,-0.0700,-1,10,9,11,8,8,930,926,485.798,-7.420,-0.828,485.882,3.806,0.5236
1333,1.3330,0.30,-0.50,-0.0700,0,10,10,10,91,93,1021,1019,533.968,-7.768,-0.414,534.052,4.058,0.4866
1501,1.5010,0.10,-0.90,-0.0700,0,9,9,9,109,111,1130,1130,591.563,-7.768,-0.000,591.648,4.159,0.3428
1501,1.5010,0.10,-0.70,-0.0800,0,9,9,9,61,61,1191,1191,623.503,-7.768,-0.000,623.587,4.215,3.1940
1560,1.5600,0.10,-0.60,-0.0800,0,11,11,11,10,10,1201,1201,628.739,-7.768,-0.000,628.823,4.224,0.0887
1561,1.5610,0.10,-0.50,-0.0800,0,11,11,11,48,47,1249,1248,653.610,-7.858,-0.207,653.694,4.267,24.8709
1679,1.6790,0.10,-0.40,-0.0800,0,10,10,10,120,121,1369,1369,716.703,-7.858,-0.000,716.788,4.377,0.5347
1688,1.6880,0.10,-0.40,-0.0800,0,11,11,11,4,5,1373,1374,719.060,-7.850,0.207,719.144,4.381,0.2618
1793,1.7930,-0.20,-0.50,-0.0700,1,9,10,8,114,117,1487,1491,779.529,-6.976,0.828,779.619,4.170,0.5760
1911,1.9110,-0.20,-0.60,-0.0700,0,9,9,9,116,108,1603,1599,838.166,-7.823,-0.828,838.262,3.966,0.4970
1920,1.9200,-0.20,-0.70,-0.0700,1,11,12,10,2,2,1605,1601,839.213,-7.838,-0.828,839.309,3.962,0.1164
2025,2.0250,-0.10,-0.30,-0.0700,0,10,10,10,111,117,1716,1718,898.902,-7.407,0.414,898.999,3.858,0.5685
2144,2.1440,-0.10,-0.20,-0.0600,0,9,9,9,120,119,1836,1837,961.471,-7.181,0.207,961.569,3.749,0.5258
2152,2.1520,-0.10,-0.10,-0.0600,0,9,9,9,15,13,1851,1850,968.802,-7.208,-0.207,968.900,3.736,0.9163
2250,2.2500,0.10,-0.20,-0.0600,0,10,10,10,91,91,1942,1941,1016.449,-7.380,-0.207,1016.547,3.819,0.4862
2438,2.4380,-0.20,-0.30,-0.0600,0,9,9,9,109,113,2051,2054,1074.565,-6.750,0.621,1074.666,3.616,0.3091
2438,2.4380,-0.20,-0.70,-0.0600,1,9,10,8,82,81,2133,2135,1117.237,-6.442,0.414,1117.339,3.467,4.2673
2567,2.5670,-0.20,-1.00,-0.0600,0,9,9,9,112,110,2245,2245,1175.356,-6.442,-0.000,1175.458,3.264,0.4505
2576,2.5760,-0.20,-1.10,-0.0600,1,10,11,9,6,5,2251,2250,1178.236,-6.452,-0.207,1178.338,3.254,0.3200
2686,2.6860,-0.10,-0.40,-0.0600,0,9,9,9,114,114,2365,2364,1237.926,-6.668,-0.207,1238.028,3.150,0.5426
2874,2.8740,-0.10,-0.10,-0.0500,0,9,9,9,117,116,2482,2480,1298.924,-7.108,-0.414,1299.028,3.044,0.3245
2875,2.8750,-0.10,-0.20,-0.0500,0,9,9,9,85,87,2567,2567,1343.953,-7.108,-0.000,1344.057,2.965,45.0295
3004,3.0040,-0.10,-0.20,-0.0500,0,9,9,9,108,107,2675,2674,1400.240,-7.312,-0.207,1400.344,2.867,0.4363
3012,3.0120,-0.10,-0.20,-0.0500,1,9,10,8,13,12,2688,2686,1406.785,-7.359,-0.414,1406.889,2.855,0.8181
3123,3.1230,0.30,0.60,-0.0600,-1,10,9,11,101,98,2789,2784,1458.874,-8.300,-1.034,1458.986,3.128,0.4694
3245,3.2450,0.30,1.00,-0.0600,0,9,9,9,109,113,2898,2897,1516.993,-8.509,-0.207,1517.105,3.432,0.4764
3250,3.2500,0.30,1.30,-0.0700,-1,10,9,11,16,16,2914,2913,1525.371,-8.540,-0.207,1525.482,3.476,1.6755
3351,3.3510,-0.20,-1.90,-0.0600,1,10,11,9,86,93,3000,3006,1572.222,-7.524,1.241,1572.344,3.313,0.4640
3469,3.4690,-0.30,-3.60,-0.0600,2,9,11,7,112,112,3112,3118,1630.851,-6.254,1.241,1630.986,3.006,0.4970
3478,3.4780,-0.30,-4.80,-0.0600,2,10,12,8,4,3,3116,3121,1632.684,-6.221,1.034,1632.819,2.996,0.2036
3583,3.5830,-0.10,3.40,-0.0600,-2,10,8,12,119,94,3235,3215,1688.301,-10.245,-4.138,1688.582,2.899,0.5311
3702,3.7020,0.20,7.60,-0.0600,-4,9,5,13,114,130,3349,3345,1752.174,-11.167,-0.828,1752.461,3.122,0.5368
3710,3.7100,0.20,10.70,-0.0600,-5,11,6,16,2,2,3351,3347,1753.221,-11.182,-0.828,1753.508,3.125,0.1309
3807,3.8070,-1.30,-8.90,-0.0400,5,10,15,5,85,135,3436,3482,1810.024,-1.659,9.517,1811.089,1.819,0.5938
3930,3.9300,-1.90,-19.00,-0.0300,4,9,13,5,134,110,3570,3592,1873.702,3.410,4.552,1874.933,-0.299,0.5193
3934,3.9340,-1.90,-31.00,-0.0300,5,10,15,5,4,2,3574,3594,1875.268,3.523,4.138,1876.503,-0.351,0.3927
4035,4.0350,-1.00,-5.70,-0.0200,4,10,14,6,116,80,3690,3674,1926.495,0.560,-3.310,1927.808,-1.247,0.5080
