t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
77,0.0770,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
199,0.1990,-0.00,0.00,-0.0000,0,2,8,8,63,68,63,68,34.296,0.000,0.2811
414,0.4140,0.40,-3.60,-0.0000,1,3,9,7,63,59,126,127,66.234,0.223,0.1486
415,0.4150,0.40,-1.00,-0.0100,0,3,8,8,79,72,205,199,105.765,0.499,39.5317
533,0.5330,0.50,0.30,-0.0200,0,4,8,8,85,82,290,281,149.484,0.880,0.3705
542,0.5420,0.50,1.20,-0.0200,0,5,8,8,4,5,294,286,151.840,0.901,0.2618
647,0.6470,0.60,0.00,-0.0300,0,6,8,8,76,79,370,365,192.417,1.326,0.3865
765,0.7650,0.60,-0.70,-0.0500,0,7,8,8,86,84,456,449,236.920,1.792,0.3772
774,0.7740,0.60,-1.20,-0.0500,0,9,9,9,3,3,459,452,238.491,1.808,0.1745
859,0.8590,0.80,0.80,-0.0700,-1,10,9,11,67,66,526,518,273.307,2.295,0.4096
978,0.9780,0.90,1.90,-0.1000,-1,10,9,11,98,98,624,616,324.613,3.101,0.4312
986,0.9860,0.90,2.60,-0.1000,-2,12,10,14,2,1,626,617,325.399,3.113,0.0982
1092,1.0920,1.00,1.10,-0.1200,-1,10,9,11,116,117,742,734,386.389,4.178,0.5755
1210,1.2100,1.00,0.30,-0.1500,-1,9,8,10,122,126,864,860,451.305,5.311,0.5502
1219,1.2190,1.00,-0.10,-0.1500,0,10,10,10,12,14,876,874,458.111,5.429,0.7563
1325,1.3250,0.60,-1.10,-0.1700,0,10,10,10,102,103,978,977,511.777,5.991,0.5063
1443,1.4430,0.50,-1.40,-0.1800,0,9,9,9,113,111,1091,1088,570.417,6.503,0.4970
1451,1.4510,0.50,-1.60,-0.1900,0,10,10,10,7,6,1098,1094,573.821,6.533,0.4254
1548,1.5480,0.50,-0.90,-0.2000,0,10,10,10,96,95,1194,1189,623.822,6.969,0.5155
1737,1.7370,0.30,-0.50,-0.2000,0,9,9,9,119,121,1313,1310,686.653,7.298,0.3324
1737,1.7370,0.30,-1.10,-0.2100,0,9,9,9,89,91,1402,1401,733.777,7.545,4.7124
1866,1.8660,0.30,-1.60,-0.2100,1,9,10,8,122,126,1524,1527,798.702,7.885,0.5033
1874,1.8740,0.30,-1.70,-0.2200,0,10,10,10,4,3,1528,1530,800.535,7.895,0.2291
1985,1.9850,0.20,-0.30,-0.2200,0,9,9,9,119,119,1647,1649,862.842,8.112,0.5613
2107,2.1070,0.20,0.40,-0.2200,0,9,9,9,117,117,1764,1766,924.103,8.326,0.5021
2112,2.1120,0.20,0.60,-0.2300,0,11,11,11,2,2,1766,1768,925.150,8.330,0.2094
2213,2.2130,-0.00,-1.80,-0.2300,1,10,11,9,98,105,1864,1873,978.296,8.330,0.5262
2331,2.3310,-0.10,-2.90,-0.2200,0,9,9,9,120,116,1984,1989,1040.080,8.222,0.5236
2339,2.3390,-0.10,-3.50,-0.2200,2,10,12,8,12,13,1996,2002,1046.625,8.210,0.8181
2445,2.4450,-0.00,-1.50,-0.2200,0,10,10,10,103,99,2099,2101,1099.509,8.210,0.4989
2564,2.5640,-0.00,-0.20,-0.2100,0,9,9,9,116,116,2215,2217,1160.246,8.210,0.5104
2572,2.5720,-0.00,0.70,-0.2100,-1,10,9,11,5,6,2220,2223,1163.126,8.210,0.3600
2669,2.6690,-0.00,0.40,-0.2100,0,10,10,10,100,101,2320,2324,1215.748,8.210,0.5425
2791,2.7910,-0.10,0.10,-0.2100,-1,9,8,10,118,121,2438,2445,1278.318,8.101,0.5129
2796,2.7960,-0.10,0.20,-0.2100,0,9,9,9,17,17,2455,2462,1287.219,8.086,1.7802
2902,2.9020,-0.20,-0.10,-0.2000,0,9,9,9,101,101,2556,2563,1340.102,7.901,0.4989
3090,3.0900,-0.20,-0.30,-0.1900,0,9,9,9,111,110,2667,2673,1397.959,7.699,0.3078
3090,3.0900,-0.20,-1.30,-0.1900,0,9,9,9,79,79,2746,2752,1439.323,7.555,4.1364
3293,3.2930,-0.20,-2.10,-0.1800,0,9,9,9,107,104,2853,2856,1494.563,7.362,0.2721
3293,3.2930,-0.20,-2.10,-0.1800,1,9,10,8,83,85,2936,2941,1538.545,7.208,4.3982
3419,3.4190,-0.30,-2.10,-0.1700,0,9,9,9,108,105,3044,3046,1594.307,6.916,0.4426
3428,3.4280,-0.30,-2.10,-0.1700,1,11,12,10,0,0,3044,3046,1594.307,6.916,0.0000
3533,3.5330,-0.20,-0.40,-0.1600,0,10,10,10,115,114,3159,3160,1654.259,6.707,0.5710
3650,3.6500,-0.10,0.50,-0.1600,0,9,9,9,123,122,3282,3282,1718.400,6.595,0.5482
3659,3.6590,-0.10,0.90,-0.1600,0,9,9,9,13,13,3295,3295,1725.206,6.583,0.7563
3764,3.7640,-0.20,0.70,-0.1500,-1,9,8,10,106,108,3401,3403,1781.231,6.388,0.5336
3883,3.8830,-0.20,0.40,-0.1500,0,9,9,9,111,120,3512,3523,1841.706,6.177,0.5082
3891,3.8910,-0.20,0.20,-0.1500,0,10,10,10,7,6,3519,3529,1845.110,6.165,0.4254
3949,3.9490,-0.50,-1.40,-0.1400,0,11,11,11,52,51,3571,3580,1872.074,5.929,0.4649
4177,4.1770,0.00,-2.70,-0.1200,1,10,11,9,133,124,3704,3704,1939.356,5.929,0.2951
4177,4.1770,0.00,-0.40,-0.1200,0,9,9,9,131,121,3835,3825,2005.330,5.929,6.5973
4296,4.2960,0.10,0.80,-0.1200,0,8,8,8,117,118,3952,3943,2066.853,6.037,0.5170
4304,4.3040,0.10,1.70,-0.1200,0,10,10,10,3,3,3955,3946,2068.423,6.039,0.1963
4410,4.4100,-0.10,-1.50,-0.1100,0,10,10,10,99,106,4054,4052,2122.092,5.946,0.5063
4528,4.5280,-0.20,-3.10,-0.1100,1,9,10,8,112,114,4166,4166,2181.259,5.739,0.5014
4537,4.5370,-0.20,-4.40,-0.1100,1,11,12,10,1,1,4167,4167,2181.782,5.737,0.0582
4642,4.6420,-0.10,0.80,-0.1000,-1,10,9,11,123,111,4290,4278,2243.043,5.630,0.5834
4760,4.7600,0.00,3.50,-0.1000,-1,9,8,10,123,130,4413,4408,2309.278,5.630,0.5613
4769,4.7690,0.00,4.80,-0.1000,-1,9,8,10,13,14,4426,4422,2316.347,5.630,0.7854
4866,4.8660,-0.50,-1.10,-0.0900,1,9,10,8,88,102,4514,4524,2366.087,5.196,0.5128
4988,4.9880,-0.60,-4.50,-0.0700,2,9,11,7,117,107,4631,4631,2424.727,4.582,0.4807
4992,4.9920,-0.60,-5.60,-0.0600,2,11,13,9,1,1,4632,4632,2425.250,4.577,0.1309
5078,5.0780,-0.50,0.40,-0.0500,0,10,10,10,88,81,4720,4713,2469.493,4.191,0.5145
5271,5.2710,0.20,3.50,-0.0400,-1,9,8,10,117,116,4837,4829,2530.492,4.404,0.3161
5272,5.2720,0.20,1.10,-0.0400,0,9,9,9,87,90,4924,4919,2576.830,4.565,46.3385
5470,5.4700,-0.30,-0.00,-0.0400,0,8,8,8,105,106,5029,5025,2632.069,4.276,0.2790
5471,5.4710,-0.30,-0.40,-0.0400,0,9,9,9,78,78,5107,5103,2672.909,4.062,40.8407
5670,5.6700,-0.30,-0.50,-0.0300,0,8,8,8,103,104,5210,5207,2727.101,3.779,0.2723
5670,5.6700,-0.30,-0.40,-0.0200,0,9,9,9,75,76,5285,5283,2766.632,3.572,3.9532
5870,5.8700,-0.50,-0.40,-0.0100,1,8,9,7,101,104,5386,5387,2820.299,3.103,0.2683
5871,5.8710,-0.50,0.00,-0.0000,0,9,9,9,78,72,5464,5459,2859.567,2.761,39.2699
6070,6.0700,-0.60,0.20,0.0100,0,8,8,8,97,106,5561,5565,2912.709,2.204,0.2671
6071,6.0710,-0.60,-0.10,0.0200,0,9,9,9,73,74,5634,5639,2951.192,1.801,38.4845
6270,6.2700,-0.60,-0.30,0.0400,1,8,9,7,95,94,5729,5733,3000.669,1.283,0.2486
6271,6.2710,-0.60,0.90,0.0500,0,9,9,9,71,69,5800,5802,3037.319,0.899,36.6519
6470,6.4700,-0.70,1.50,0.0600,0,9,9,9,88,89,5888,5891,3083.654,0.333,0.2329
6470,6.4700,-0.70,-0.30,0.0800,0,9,9,9,70,73,5958,5964,3121.089,-0.124,3.7437
6670,6.6700,-1.20,-1.20,0.0900,1,9,10,8,96,99,6054,6063,3172.128,-1.194,0.2553
6670,6.6700,-1.20,-1.20,0.1200,1,9,10,8,78,76,6132,6139,3212.437,-2.038,4.0317
6799,6.7990,-1.20,-1.20,0.1400,1,8,9,7,108,104,6240,6243,3267.926,-3.200,0.4302
6804,6.8040,-1.20,-0.30,0.1500,1,9,10,8,15,14,6255,6257,3275.516,-3.359,1.5184
6898,6.8980,-0.80,0.80,0.1700,1,9,10,8,87,85,6342,6342,3320.542,-3.988,0.4790
7016,7.0160,-0.70,1.10,0.1800,0,9,9,9,108,101,6450,6443,3375.253,-4.656,0.4637
7024,7.0240,-0.70,1.40,0.1900,0,10,10,10,3,3,6453,6446,3376.824,-4.676,0.1963
7130,7.1300,0.00,1.40,0.1900,-1,9,8,10,109,107,6562,6553,3433.373,-4.676,0.5335
7248,7.2480,0.00,1.40,0.1700,0,9,9,9,112,115,6674,6668,3492.801,-4.676,0.5036
7256,7.2560,0.00,1.30,0.1700,0,11,11,11,2,2,6676,6670,3493.848,-4.676,0.1309
7362,7.3620,0.20,1.60,0.1700,-1,10,9,11,113,108,6789,6778,3551.706,-4.474,0.5458
7480,7.4800,0.20,1.80,0.1500,0,9,9,9,116,118,6905,6896,3612.966,-4.260,0.5192
7489,7.4890,0.20,1.80,0.1500,-1,9,8,10,13,13,6918,6909,3619.773,-4.236,0.7563
7585,7.5850,0.10,1.30,0.1500,-1,9,8,10,92,91,7010,7000,3667.682,-4.152,0.4991
7774,7.7740,-0.40,1.00,0.1400,0,9,9,9,105,111,7115,7111,3724.230,-4.547,0.2992
7774,7.7740,-0.40,0.10,0.1500,0,9,9,9,80,81,7195,7192,3766.378,-4.841,4.2150
7903,7.9030,-0.40,-0.60,0.1500,0,9,9,9,111,105,7306,7297,3822.926,-5.236,0.4384
7911,7.9110,-0.40,-0.70,0.1500,0,10,10,10,7,6,7313,7303,3826.329,-5.260,0.4254
8022,8.0220,0.20,2.10,0.1500,-1,9,8,10,110,103,7423,7406,3882.092,-5.065,0.5024
8211,8.2110,0.50,3.50,0.1300,-1,9,8,10,108,109,7531,7515,3938.900,-4.570,0.3006
8212,8.2120,0.50,1.30,0.1200,-1,9,8,10,80,81,7611,7596,3981.048,-4.202,42.1497
8339,8.3390,0.50,-0.30,0.1000,0,9,9,9,104,102,7715,7698,4034.977,-3.731,0.4247
8348,8.3480,0.50,-0.60,0.0900,0,9,9,9,11,11,7726,7709,4040.736,-3.681,0.6400
8453,8.4530,0.60,-0.30,0.0800,0,9,9,9,102,100,7828,7809,4093.617,-3.127,0.5037
8572,8.5720,0.60,-0.00,0.0600,-1,9,8,10,106,103,7934,7912,4148.330,-2.554,0.4598
8579,8.5790,0.60,0.10,0.0500,0,9,9,9,12,12,7946,7924,4154.613,-2.488,0.8976
8666,8.6660,0.80,-0.70,0.0300,0,10,10,10,76,76,8022,8000,4194.402,-1.933,0.4574
8864,8.8640,0.70,-1.20,0.0000,0,9,9,9,111,109,8133,8109,4251.994,-1.229,0.2909
8865,8.8650,0.70,-0.80,-0.0100,0,9,9,9,95,96,8228,8205,4301.994,-0.618,50.0037
9053,9.0530,0.70,-0.60,-0.0300,0,8,8,8,109,109,8337,8314,4359.062,0.079,0.3036
9054,9.0540,0.70,-0.20,-0.0500,0,8,8,8,78,78,8415,8392,4399.900,0.578,40.8407
9184,9.1840,0.70,0.10,-0.0700,0,9,9,9,101,104,8516,8496,4453.565,1.234,0.4128
