t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_imu_mm,y_imu_mm,x_enc_mm,y_enc_mm,theta_enc_deg,v_mps
0,0.0000,0.00,0.00,0.0100,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
1,0.0010,0.00,0.00,0.0100,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
213,0.2130,-0.10,-3.00,0.0300,10,109,119,99,93,93,93,93,48.695,0.042,48.695,0.000,0.000,0.2297
435,0.4350,-1.50,-3.10,0.1000,19,109,128,90,161,179,254,272,137.698,1.285,137.659,-2.892,-3.724,0.4010
656,0.6560,1.30,13.30,-0.0800,-39,97,58,136,237,160,491,432,241.632,1.467,241.309,4.795,12.207,0.4703
657,0.6570,0.00,0.00,0.0000,0,0,0,0,237,0,728,432,303.674,0.763,291.041,41.896,61.241,0.0000
877,0.8770,2.60,-3.30,-0.2000,-5,89,84,94,180,218,908,650,407.844,-1.601,347.316,129.588,53.379,0.4736
878,0.8780,2.60,-3.30,-0.2000,-5,89,84,94,180,218,1088,868,511.933,-6.328,415.058,208.759,45.517,0.0000
1098,1.0980,-0.80,-6.90,-0.0800,27,85,112,58,161,198,1249,1066,605.907,-7.804,485.242,271.268,37.862,0.4272
1099,1.0990,0.00,0.00,0.0000,0,0,0,0,161,0,1410,1066,648.056,-7.510,509.708,305.590,71.172,0.0000
1319,1.3190,-0.50,4.40,0.0000,-11,84,73,95,186,142,1596,1208,733.925,-7.135,530.883,388.809,80.276,0.3903
1320,1.3200,-0.50,4.40,0.0000,-11,84,73,95,186,142,1782,1350,819.792,-6.386,538.625,474.329,89.379,0.0000
1540,1.5400,1.80,4.30,-0.0800,-24,82,58,106,174,164,1956,1514,908.275,-7.390,537.986,562.815,91.448,0.4022
1540,1.5400,0.00,0.00,0.0000,0,0,0,0,174,0,2130,1514,953.822,-8.105,522.818,605.769,127.448,0.0000
1761,1.7610,1.30,-1.60,-0.2700,-3,82,79,85,142,168,2272,1682,1034.975,-9.026,476.549,672.445,122.069,0.3672
1973,1.9730,-0.00,-2.40,-0.2600,8,83,91,75,144,154,2416,1836,1112.986,-9.911,436.327,739.294,120.000,0.3680
1974,1.9740,-0.00,-2.40,-0.2600,8,83,91,75,144,154,2560,1990,1191.002,-9.911,398.545,807.551,117.931,0.0000
2195,2.1950,-0.70,-2.30,-0.1500,11,82,93,71,166,164,2726,2154,1277.394,-9.383,357.802,883.735,118.345,0.3909
2196,2.1960,-0.70,-2.30,-0.0500,11,96,107,85,1,0,2727,2154,1277.656,-9.380,357.678,883.965,118.552,0.0000
2417,2.4170,-0.70,-0.80,0.0600,7,89,96,82,189,192,2916,2346,1377.394,-8.161,310.479,971.837,117.931,0.4513
2637,2.6370,-0.40,1.40,0.1300,-2,84,82,86,187,182,3103,2528,1473.994,-7.234,264.461,1056.776,118.966,0.4391
2638,2.6380,-0.40,1.40,0.1300,-2,84,82,86,187,182,3290,2710,1570.595,-6.560,216.916,1140.870,120.000,0.0000
2768,2.7680,-0.30,2.50,0.1700,-6,88,82,94,109,108,3399,2818,1627.405,-6.213,188.422,1190.018,120.207,0.4370
2769,2.7690,-0.30,2.50,0.1700,-6,88,82,94,109,108,3508,2926,1684.214,-5.915,159.750,1239.063,120.414,0.0000
2900,2.9000,-0.20,0.20,0.2200,1,14,81,79,108,108,3616,3034,1740.762,-5.668,131.123,1287.830,120.414,0.4317
3112,3.1120,-0.10,1.00,0.2400,-2,33,78,82,177,174,3793,3208,1832.654,-5.428,84.175,1366.823,121.034,0.4335
3333,3.3330,0.00,0.60,0.2400,-1,47,79,81,163,161,3956,3369,1917.477,-5.354,40.182,1439.346,121.448,0.3838
3334,3.3340,0.00,0.60,0.2400,-1,47,79,81,163,161,4119,3530,2002.300,-5.354,-4.333,1511.549,121.862,0.0000
3555,3.5550,-0.10,-0.30,0.2600,2,56,82,78,163,163,4282,3693,2087.646,-5.279,-49.386,1584.036,121.862,0.3862
3776,3.7760,-0.20,0.30,0.3000,1,64,81,79,148,150,4430,3843,2165.662,-5.075,-90.329,1650.445,121.448,0.3530
3996,3.9960,-0.30,-0.30,0.3500,3,70,83,77,150,152,4580,3995,2244.725,-4.730,-131.335,1718.043,121.034,0.3594
3997,3.9970,-0.30,-0.30,0.3500,3,70,83,77,150,152,4730,4147,2323.787,-4.316,-171.851,1785.936,120.621,0.0000
4128,4.1280,-0.30,0.30,0.4000,2,78,82,78,97,93,4827,4240,2373.528,-4.056,-197.496,1828.558,121.448,0.3797
4260,4.2600,-0.20,0.10,0.4500,1,18,81,79,101,100,4928,4340,2426.150,-3.826,-225.031,1873.400,121.655,0.3986
4261,4.2610,-0.20,0.10,0.4500,1,18,81,79,101,100,5029,4440,2478.771,-3.642,-252.728,1918.143,121.862,0.0000
4382,4.3820,-0.20,-0.50,0.4800,3,41,83,77,107,107,5136,4547,2534.796,-3.447,-282.303,1965.726,121.862,0.4630
4387,4.3870,-0.20,-0.50,0.4900,3,66,83,77,3,2,5139,4549,2536.105,-3.442,-282.996,1966.837,122.069,0.2618
4516,4.5160,-0.20,-0.50,0.5000,3,32,83,77,95,99,5234,4648,2586.893,-3.265,-309.650,2010.070,121.241,0.3937
4728,4.7280,-0.10,-0.20,0.5200,2,46,82,78,161,155,5395,4803,2669.622,-3.048,-353.321,2080.333,122.483,0.3902
4941,4.9410,-0.10,-0.10,0.5400,2,56,82,78,160,161,5555,4964,2753.659,-2.902,-398.324,2151.304,122.276,0.3945
5154,5.1540,-0.30,-1.20,0.6000,7,63,87,73,152,158,5707,5122,2834.817,-2.618,-440.917,2220.388,121.034,0.3810
5375,5.3750,-0.40,-0.20,0.6700,4,68,84,76,159,155,5866,5277,2917.020,-2.116,-483.805,2290.518,121.862,0.3720
5507,5.5070,-0.40,0.80,0.7300,1,77,81,79,98,95,5964,5372,2967.546,-1.763,-510.709,2333.287,122.483,0.3828
5639,5.6390,-0.10,0.80,0.7800,-1,61,79,81,99,101,6063,5473,3019.905,-1.535,-538.669,2377.556,122.069,0.3967
5851,5.8510,-0.20,-0.40,0.8200,4,65,84,76,166,168,6229,5641,3107.346,-1.306,-584.827,2451.822,121.655,0.4125
6072,6.0720,-0.20,0.30,0.8600,1,69,81,79,164,159,6393,5800,3191.907,-1.011,-629.854,2523.398,122.690,0.3826
6073,6.0730,-0.20,0.30,0.8600,1,69,81,79,164,159,6557,5959,3276.468,-0.716,-676.165,2594.151,123.724,0.0000
6294,6.2940,0.00,-0.00,0.8600,1,71,81,79,163,161,6720,6120,3361.290,-0.568,-723.513,2664.529,124.138,0.3838
6515,6.5150,-0.20,-0.60,0.9000,4,73,84,76,158,161,6878,6281,3444.804,-0.422,-770.004,2733.906,123.517,0.3779
6646,6.6460,-0.20,-0.70,0.9400,5,81,86,76,92,92,6970,6373,3492.975,-0.254,-796.604,2774.067,123.517,0.3677
6647,6.6470,-0.20,-0.70,0.9400,5,81,86,76,92,92,7062,6465,3541.146,-0.086,-823.203,2814.228,123.517,0.0000
6778,6.7780,-0.40,-0.80,0.9800,6,60,86,74,96,96,7158,6561,3591.411,0.178,-850.959,2856.135,123.517,0.3837
6990,6.9900,-0.00,0.80,0.9900,-1,65,79,81,168,161,7326,6722,3677.542,0.478,-899.424,2927.338,124.966,0.4063
