t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
193,0.1930,-0.80,0.00,0.0000,0,2,8,8,36,42,36,42,20.416,0.442,1.241,20.418,-0.285,0.1058
193,0.1930,-0.80,-5.50,0.0100,3,3,11,5,44,58,80,100,47.049,2.369,4.138,47.119,-0.658,2.6704
321,0.3210,-1.00,-9.60,0.0100,4,3,12,4,89,57,169,157,85.236,0.714,-2.483,85.336,-1.325,0.2986
326,0.3260,-1.00,-10.40,0.0100,5,4,13,3,15,7,184,164,90.981,0.298,-4.138,91.095,-1.426,1.1519
441,0.4410,2.60,11.40,0.0100,-4,5,4,12,105,49,289,213,129.789,-10.628,-15.724,131.370,0.403,0.3506
559,0.5590,3.70,22.70,-0.0000,-4,6,4,12,80,94,369,307,174.205,-20.742,-12.828,176.829,3.343,0.3860
567,0.5670,3.70,31.10,-0.0000,-4,8,4,12,0,0,369,307,174.205,-20.742,-12.828,176.829,3.343,0.0000
665,0.6650,2.50,0.50,-0.0100,0,9,9,9,45,97,414,404,211.357,-22.084,-2.069,213.969,4.965,0.3793
787,0.7870,1.80,-15.50,-0.0200,5,10,15,5,70,105,484,509,256.985,-17.954,5.172,259.761,6.404,0.3755
791,0.7910,1.80,-32.00,-0.0200,6,11,17,5,2,2,486,511,258.028,-17.859,5.172,260.808,6.437,0.2618
892,0.8920,-1.40,-7.50,-0.0100,5,11,16,6,111,75,597,586,306.684,-19.793,-2.276,309.488,5.247,0.4821
1010,1.0100,-0.90,6.10,-0.0000,-3,10,7,13,159,87,756,673,368.216,-38.808,-17.172,373.883,4.235,0.5458
1019,1.0190,-0.90,12.90,-0.0000,-5,10,5,15,18,11,774,684,375.411,-41.232,-18.621,381.474,4.116,0.8436
1124,1.1240,2.70,1.40,-0.0000,-2,9,7,11,95,119,869,803,429.852,-54.458,-13.655,437.437,6.755,0.5336
1243,1.2430,5.00,-6.80,-0.0100,3,9,12,6,95,126,964,929,487.248,-61.751,-7.241,495.074,11.798,0.4862
1251,1.2510,5.00,-13.00,-0.0200,5,10,15,5,8,6,972,935,490.881,-62.239,-7.655,498.725,12.117,0.4581
1349,1.3490,3.00,2.50,-0.0300,-2,10,8,12,120,65,1092,1000,536.666,-78.035,-19.034,547.092,14.652,0.4942
1517,1.5170,6.40,10.80,-0.0300,-5,9,4,14,121,111,1213,1111,593.329,-99.904,-21.103,607.451,21.422,0.3615
1518,1.5180,6.40,6.90,-0.0500,-5,9,4,14,56,74,1269,1185,625.810,-110.070,-17.379,641.273,25.216,34.0339
1587,1.5870,4.60,-12.60,-0.0600,6,11,17,5,48,75,1317,1260,657.331,-116.651,-11.793,673.370,27.799,0.4667
1775,1.7750,5.20,-20.90,-0.0700,5,9,14,4,144,98,1461,1358,716.355,-139.675,-21.310,736.465,33.541,0.3370
1775,1.7750,5.20,10.20,-0.0800,-5,9,4,14,110,55,1571,1413,752.710,-163.006,-32.690,779.484,37.456,4.3197
1905,1.9050,6.00,33.60,-0.0900,-5,9,4,14,95,133,1666,1546,806.883,-188.069,-24.828,838.847,43.695,0.4592
1913,1.9130,6.00,39.50,-0.1000,-6,10,4,16,3,6,1669,1552,809.032,-189.035,-24.207,841.191,43.941,0.2945
2024,2.0240,3.30,-3.20,-0.1100,1,10,11,9,65,150,1734,1702,864.944,-195.525,-6.621,897.384,47.181,0.5071
