t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_imu_mm,y_imu_mm,x_enc_mm,y_enc_mm,theta_enc_deg,v_mps
0,0.0000,0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
122,0.1220,-0.00,0.00,0.0000,0,112,112,112,52,56,52,56,28.274,0.000,28.274,0.204,0.828,0.2318
127,0.1270,-0.00,0.00,0.0000,0,118,118,118,2,3,54,59,29.583,0.000,29.582,0.225,1.034,0.2618
231,0.2310,-0.10,-0.30,0.0000,2,68,82,78,81,87,135,146,73.566,-0.038,73.546,1.496,2.276,0.4229
443,0.4430,-0.90,-0.90,0.1400,9,75,89,71,155,165,290,311,157.338,-0.769,157.182,6.333,4.345,0.3952
656,0.6560,-1.10,-0.60,0.3000,9,79,89,71,141,138,431,449,230.369,-2.044,230.043,11.472,3.724,0.3429
869,0.8690,-1.00,-0.20,0.4500,7,81,88,74,143,142,574,591,304.969,-3.411,304.507,16.184,3.517,0.3503
1090,1.0900,-0.90,-0.10,0.5900,6,82,88,76,151,149,725,740,383.498,-4.714,382.916,20.720,3.103,0.3554
1222,1.2220,-0.90,-0.20,0.7300,7,88,95,81,89,87,814,827,429.569,-5.437,428.934,23.048,2.690,0.3491
1354,1.3540,-0.70,-0.40,0.8400,6,37,86,74,103,99,917,926,482.448,-6.176,481.776,25.148,1.862,0.4006
1476,1.4760,-0.70,-0.90,0.9500,8,56,88,72,103,96,1020,1022,534.542,-6.812,533.863,26.183,0.414,0.4270
1480,1.4800,-0.70,-0.90,0.9900,8,78,88,72,1,0,1021,1022,534.804,-6.815,534.125,26.184,0.207,0.0654
1609,1.6090,-0.60,-0.40,1.0200,6,59,86,74,91,98,1112,1120,584.281,-7.377,583.599,26.988,1.655,0.3836
1731,1.7310,-0.60,-0.90,1.1100,8,72,88,72,82,84,1194,1204,627.737,-7.832,627.035,28.400,2.069,0.3562
1735,1.7350,-0.60,-0.90,1.1100,8,72,88,72,82,84,1276,1288,671.193,-8.287,670.459,30.126,2.483,10.8647
1855,1.8550,-0.70,-0.40,1.1800,7,49,87,73,77,77,1353,1365,711.508,-8.744,710.738,31.872,2.483,0.3360
2067,2.0670,-0.60,0.60,1.2700,3,60,83,77,145,141,1498,1506,786.378,-9.594,785.564,34.576,1.655,0.3532
2068,2.0680,-0.60,0.60,1.2700,3,60,83,77,145,141,1643,1647,861.248,-10.378,860.421,36.198,0.828,0.0000
2289,2.2890,-0.40,0.30,1.3300,3,67,83,77,146,145,1789,1792,937.429,-11.043,936.599,37.161,0.621,0.3447
2510,2.5100,-0.40,0.10,1.3900,4,73,84,76,144,142,1933,1934,1012.302,-11.565,1011.471,37.701,0.207,0.3388
2641,2.6410,-0.40,-0.10,1.4500,4,82,86,78,87,84,2020,2018,1057.068,-11.878,1056.239,37.620,-0.414,0.3417
2642,2.6420,-0.40,-0.10,1.4500,4,82,86,78,87,84,2107,2102,1101.835,-12.190,1101.003,37.055,-1.034,0.0000
2773,2.7730,-0.30,-0.30,1.5100,4,42,84,76,92,91,2199,2193,1149.743,-12.483,1148.903,36.103,-1.241,0.3657
2895,2.8950,-0.30,0.80,1.5500,1,59,81,79,97,96,2296,2289,1200.270,-12.748,1199.416,34.917,-1.448,0.4142
2900,2.9000,-0.30,0.80,1.5600,1,79,81,79,1,0,2297,2289,1200.532,-12.749,1199.678,34.910,-1.655,0.0524
3029,3.0290,-0.10,0.50,1.5800,1,56,81,79,93,92,2390,2381,1248.964,-12.918,1248.088,33.424,-1.862,0.3754
3151,3.1510,-0.10,0.60,1.5900,0,70,80,80,83,87,2473,2468,1293.470,-12.996,1292.580,32.299,-1.034,0.3648
3155,3.1550,-0.10,0.60,1.5900,0,70,80,80,83,87,2556,2555,1337.976,-13.073,1337.083,31.817,-0.207,11.1265
3275,3.2750,-0.70,-1.20,1.6200,10,48,90,70,74,80,2630,2635,1378.292,-13.355,1377.399,32.108,1.034,0.3360
3487,3.4870,-1.00,-0.70,1.7600,10,59,90,70,135,138,2765,2773,1449.755,-14.415,1448.851,33.785,1.655,0.3371
3708,3.7080,-0.80,0.50,1.8800,5,68,85,75,138,132,2903,2905,1520.432,-15.525,1519.525,35.062,0.414,0.3198
3709,3.7090,-0.80,0.50,1.8800,5,68,85,75,138,132,3041,3037,1591.111,-16.512,1590.210,34.806,-0.828,0.0000
3929,3.9290,-0.50,1.30,1.9400,0,73,80,80,143,137,3184,3174,1664.411,-17.344,1663.491,32.954,-2.069,0.3332
4061,4.0610,-0.40,1.40,2.0000,0,82,82,82,84,83,3268,3257,1708.130,-17.687,1707.180,31.296,-2.276,0.3312
4193,4.1930,-0.40,0.70,2.0600,2,29,82,78,89,89,3357,3346,1754.729,-18.013,1753.743,29.446,-2.276,0.3530
4314,4.3140,-0.40,1.10,2.1200,1,50,81,79,93,93,3450,3439,1803.422,-18.353,1802.400,27.512,-2.276,0.4024
4319,4.3190,-0.40,1.10,2.1400,1,73,81,79,1,0,3451,3439,1803.684,-18.354,1802.661,27.501,-2.483,0.0524
4448,4.4480,-0.30,0.80,2.1600,1,47,81,79,91,89,3542,3528,1850.807,-18.642,1849.733,25.290,-2.897,0.3653
4570,4.5700,-0.30,0.70,2.2100,2,63,82,78,87,84,3629,3612,1895.574,-18.877,1894.431,22.786,-3.517,0.3669
4574,4.5740,-0.30,0.70,2.2100,2,63,82,78,87,84,3716,3696,1940.341,-19.111,1939.099,19.797,-4.138,11.1919
4694,4.6940,-0.20,0.20,2.2400,3,35,83,77,74,76,3790,3772,1979.611,-19.282,1978.276,17.105,-3.724,0.3272
4906,4.9060,-0.50,-0.60,2.3100,7,50,87,73,130,137,3920,3909,2049.510,-19.709,2048.081,13.447,-2.276,0.3297
4906,4.9060,-0.50,-0.60,2.3800,7,73,87,73,0,0,3920,3909,2049.510,-19.709,2048.081,13.447,-2.276,0.0000
5127,5.1270,-0.60,-0.50,2.4600,7,77,87,73,131,131,4051,4040,2118.098,-20.368,2116.618,10.723,-2.276,0.3104
5348,5.3480,-0.30,1.10,2.5100,1,79,81,79,146,137,4197,4177,2192.185,-20.950,2190.591,6.578,-4.138,0.3352
