t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
123,0.1230,0.00,0.00,0.0000,0,2,8,8,30,32,30,32,16.232,0.000,0.1320
127,0.1270,0.00,0.00,0.0000,0,3,8,8,6,7,36,39,19.635,0.000,0.8508
228,0.2280,-0.20,-0.80,0.0000,0,4,8,8,40,43,76,82,41.364,-0.076,0.2151
347,0.3470,-0.20,-1.20,0.0100,1,5,9,7,62,65,138,147,74.612,-0.192,0.2794
355,0.3550,-0.20,-1.50,0.0100,1,5,9,7,4,3,142,150,76.445,-0.198,0.2291
461,0.4610,-0.70,-1.90,0.0100,1,6,9,7,61,64,203,214,109.168,-0.598,0.3087
580,0.5800,-0.70,-2.10,0.0300,1,7,9,7,69,72,272,286,146.079,-1.049,0.3102
588,0.5880,-0.70,-2.20,0.0300,1,9,10,8,2,2,274,288,147.126,-1.062,0.1309
695,0.6950,-1.10,-1.90,0.0400,1,10,11,9,75,76,349,364,186.650,-1.821,0.3695
813,0.8130,-1.10,-1.70,0.0500,2,10,12,8,95,94,444,458,236.121,-2.771,0.4193
822,0.8220,-1.10,-1.60,0.0500,1,11,12,10,11,11,455,469,241.880,-2.881,0.6400
918,0.9180,-1.00,-0.40,0.0600,0,10,10,10,92,91,547,560,289.782,-3.717,0.4991
1107,1.1070,-0.90,0.20,0.0800,1,9,10,8,116,117,663,677,350.773,-4.676,0.3227
1107,1.1070,-0.90,0.80,0.0900,0,9,9,9,88,81,751,758,395.012,-5.370,4.4244
1235,1.2350,-0.80,1.30,0.1000,1,9,10,8,115,122,866,880,457.052,-6.237,0.4847
1244,1.2440,-0.80,1.40,0.1000,0,10,10,10,7,7,873,887,460.717,-6.288,0.4072
1353,1.3530,-0.80,0.80,0.1100,0,9,9,9,113,111,986,998,519.354,-7.107,0.5380
1471,1.4710,-0.80,0.50,0.1200,1,9,10,8,114,112,1100,1110,578.515,-7.933,0.5014
1480,1.4800,-0.80,0.60,0.1300,0,11,11,11,1,1,1101,1111,579.039,-7.940,0.0582
1581,1.5810,-0.60,0.70,0.1300,0,10,10,10,106,103,1207,1214,633.752,-8.513,0.5417
1699,1.6990,-0.60,0.80,0.1400,0,9,9,9,120,121,1327,1335,696.842,-9.174,0.5347
1707,1.7070,-0.60,0.90,0.1400,0,10,10,10,4,3,1331,1338,698.675,-9.193,0.2291
1805,1.8050,-0.60,0.60,0.1500,0,10,10,10,108,108,1439,1446,755.220,-9.785,0.5770
1926,1.9260,-0.60,0.40,0.1600,1,9,10,8,124,122,1563,1568,819.619,-10.460,0.5323
1931,1.9310,-0.60,0.90,0.1600,0,9,9,9,17,17,1580,1585,828.520,-10.553,1.7802
1992,1.9920,-0.40,1.60,0.1600,0,10,10,10,55,55,1635,1640,857.317,-10.754,0.4721
2223,2.2230,-0.40,1.90,0.1700,0,10,10,10,127,129,1762,1769,924.336,-11.222,0.2901
2223,2.2230,-0.40,1.40,0.1700,0,8,8,8,138,135,1900,1904,995.806,-11.721,7.1471
2342,2.3420,-0.40,1.20,0.1700,0,8,8,8,111,107,2011,2011,1052.877,-12.119,0.4796
2350,2.3500,-0.40,1.10,0.1800,0,11,11,11,0,1,2011,2012,1053.138,-12.121,0.0327
2457,2.4570,-0.30,1.00,0.1800,0,10,10,10,111,113,2122,2125,1111.781,-12.428,0.5481
2575,2.5750,-0.30,1.00,0.1800,0,9,9,9,122,119,2244,2244,1174.874,-12.758,0.5347
2583,2.5830,-0.30,1.00,0.1800,0,10,10,10,8,8,2252,2252,1179.062,-12.780,0.5236
2680,2.6800,-0.20,0.80,0.1800,0,10,10,10,97,98,2349,2350,1230.113,-12.958,0.5263
2868,2.8680,0.00,0.70,0.1900,0,9,9,9,120,118,2469,2468,1292.421,-12.958,0.3314
2869,2.8690,0.00,1.20,0.1800,0,9,9,9,89,86,2558,2554,1338.236,-12.958,45.8149
2998,2.9980,0.10,1.60,0.1800,0,9,9,9,121,122,2679,2676,1401.853,-12.847,0.4932
3006,3.0060,0.10,1.60,0.1800,0,10,10,10,5,5,2684,2681,1404.471,-12.843,0.3272
3117,3.1170,0.20,1.20,0.1800,-1,9,8,10,117,114,2801,2795,1464.946,-12.632,0.5448
3306,3.3060,0.00,0.90,0.1800,0,9,9,9,110,115,2911,2910,1523.851,-12.632,0.3117
3306,3.3060,0.00,-0.20,0.1800,0,9,9,9,86,84,2997,2994,1568.357,-12.632,4.4506
3434,3.4340,-0.00,-1.10,0.1700,0,9,9,9,117,109,3114,3103,1627.524,-12.632,0.4622
3443,3.4430,-0.00,-1.30,0.1700,0,10,10,10,8,9,3122,3112,1631.974,-12.632,0.4945
3548,3.5480,0.60,0.70,0.1700,0,10,10,10,105,99,3227,3211,1685.379,-12.073,0.5086
