t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_imu_mm,y_imu_mm,x_enc_mm,y_enc_mm,theta_enc_deg,v_mps
0,0.0000,0.00,0.00,0.0000,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
221,0.2210,-0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
222,0.2220,-0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
443,0.4430,-0.70,-4.30,0.1000,18,108,126,90,87,111,87,111,51.835,0.317,51.788,-2.245,-4.966,0.2346
664,0.6640,-1.50,-3.20,0.1700,19,109,128,90,164,169,251,280,138.998,1.990,138.568,-10.575,-6.000,0.3945
665,0.6650,-1.50,-3.20,0.1700,19,109,128,90,164,169,415,449,226.148,4.272,225.184,-20.470,-7.034,0.0000
796,0.7960,-1.60,-1.80,0.2400,15,105,120,90,117,108,532,557,285.031,5.866,283.755,-26.733,-5.172,0.4497
928,0.9280,-0.60,1.50,0.3000,-1,54,79,81,120,110,652,667,345.234,7.022,343.812,-31.078,-3.103,0.4562
929,0.9290,-0.60,1.50,0.3000,-1,54,79,81,120,110,772,777,405.444,7.652,403.986,-33.252,-1.034,0.0000
1141,1.1410,-0.20,2.40,0.3300,-6,62,74,86,166,160,938,937,490.789,8.248,489.331,-33.868,0.207,0.4026
1363,1.3630,-0.10,0.30,0.3500,0,70,80,80,133,133,1071,1070,560.427,8.430,558.969,-33.617,0.207,0.3137
1584,1.5840,-0.00,0.90,0.3500,-2,76,78,82,137,135,1208,1205,631.637,8.492,630.176,-33.103,0.621,0.3222
1715,1.7150,0.00,1.10,0.3500,-3,85,82,88,79,78,1287,1283,672.739,8.492,671.276,-32.583,0.828,0.3138
1716,1.7160,0.00,1.10,0.3500,-3,85,82,88,79,78,1366,1361,713.842,8.492,712.373,-31.915,1.034,0.0000
1848,1.8480,-0.00,-0.50,0.3500,2,65,82,78,81,85,1447,1446,757.300,8.492,755.829,-31.444,0.207,0.3292
2060,2.0600,-0.60,-1.60,0.4400,9,73,89,71,125,135,1572,1581,825.367,8.849,823.890,-32.428,-1.862,0.3211
2061,2.0610,-0.60,-1.60,0.4400,9,73,89,71,125,135,1697,1716,893.431,9.562,891.870,-35.867,-3.931,0.0000
2282,2.2820,-0.90,-0.60,0.5800,8,79,88,72,116,119,1813,1835,954.949,10.367,953.225,-40.417,-4.552,0.2784
2503,2.5030,-0.70,0.80,0.6800,2,83,85,81,127,120,1940,1955,1019.607,11.270,1017.745,-44.734,-3.103,0.2926
2504,2.5040,-0.70,0.80,0.6800,2,83,85,81,127,120,2067,2075,1084.267,12.060,1082.354,-47.419,-1.655,0.0000
2635,2.6350,-0.60,1.80,0.7700,-2,90,88,92,80,76,2147,2151,1125.105,12.523,1123.185,-48.303,-0.828,0.3118
2767,2.7670,-0.30,1.60,0.8400,-3,57,77,83,89,86,2236,2237,1170.918,12.883,1168.998,-48.717,-0.207,0.3471
2768,2.7680,-0.30,1.60,0.8800,-3,78,77,83,0,0,2236,2237,1170.918,12.883,1168.998,-48.717,-0.207,0.0000
2980,2.9800,-0.30,0.10,0.9300,2,81,83,79,141,143,2377,2380,1245.268,13.272,1243.347,-49.254,-0.621,0.3507
2981,2.9810,-0.30,0.10,0.9300,2,81,83,79,141,143,2518,2523,1319.618,13.662,1317.690,-50.328,-1.034,0.0000
3201,3.2010,-0.30,0.50,0.9700,1,83,84,82,134,134,2652,2657,1389.780,14.029,1387.841,-51.594,-1.034,0.3189
3202,3.2020,-0.30,0.50,0.9700,1,83,84,82,134,134,2786,2791,1459.941,14.396,1457.992,-52.861,-1.034,0.0000
3423,3.4230,-0.20,0.60,1.0100,0,84,84,84,146,141,2932,2932,1535.077,14.724,1533.125,-53.540,0.000,0.3400
3554,3.5540,-0.20,0.90,1.0300,-1,90,89,91,81,81,3013,3013,1577.488,14.872,1575.537,-53.540,0.000,0.3238
3555,3.5550,-0.20,0.90,1.0300,-1,90,89,91,81,81,3094,3094,1619.899,15.020,1617.948,-53.540,0.000,0.0000
3687,3.6870,-0.30,-0.60,1.0600,5,51,85,75,81,85,3175,3179,1663.357,15.210,1661.406,-53.853,-0.828,0.3292
3809,3.8090,-0.40,-1.90,1.1100,10,67,90,70,78,84,3253,3263,1705.768,15.469,1703.804,-54.925,-2.069,0.3476
3814,3.8140,-0.40,-1.90,1.1100,10,67,90,70,78,84,3331,3347,1748.179,15.765,1746.168,-56.915,-3.310,8.4823
3942,3.9420,-0.70,-1.60,1.1500,11,36,91,69,76,76,3407,3423,1787.970,16.147,1785.896,-59.213,-3.310,0.3109
4065,4.0650,-0.70,-0.50,1.2600,7,57,87,73,83,76,3490,3499,1829.593,16.656,1827.479,-61.092,-1.862,0.3384
4069,4.0690,-0.70,-0.50,1.3000,7,77,87,73,2,2,3492,3501,1830.640,16.668,1828.526,-61.126,-1.862,0.2618
4189,4.1890,-0.20,1.30,1.3200,-2,52,78,82,80,74,3572,3575,1870.956,16.985,1868.834,-61.999,-0.621,0.3360
4310,4.3100,-0.10,2.90,1.3400,-7,67,73,87,83,79,3655,3654,1913.368,17.096,1911.245,-62.152,0.207,0.3505
4315,4.3150,-0.10,2.90,1.3400,-7,67,73,87,83,79,3738,3733,1955.779,17.170,1953.654,-61.693,1.034,8.4823
4444,4.4440,0.30,2.20,1.3500,-7,33,73,87,80,79,3818,3812,1997.405,17.097,1995.272,-60.866,1.241,0.3227
4657,4.6570,0.20,0.10,1.3200,0,49,80,80,132,137,3950,3949,2067.828,16.790,2065.690,-59.976,0.207,0.3306
