t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
212,0.2120,-0.40,-5.70,0.0600,21,107,128,86,100,133,100,133,61.256,-0.030,7.030,61.255,-0.214,0.2889
335,0.3350,-1.60,-11.50,0.1300,45,113,158,68,108,114,208,247,119.576,-1.507,8.445,119.586,-1.232,0.4743
339,0.3390,0.00,0.00,0.0000,0,0,0,0,108,0,316,247,147.845,-2.094,-13.899,147.857,-1.627,7.0686
459,0.4590,-1.90,5.70,0.1800,-6,30,74,86,140,100,456,347,210.820,-4.592,-22.023,210.873,-2.672,0.5252
671,0.6710,0.70,2.70,0.0700,-13,42,67,93,203,194,659,541,315.125,-3.730,-23.589,315.176,-3.764,0.4920
672,0.6720,0.70,2.70,0.0700,-13,42,67,93,203,194,862,735,419.427,-2.619,-25.156,419.477,-2.490,104.3085
803,0.8030,0.70,0.80,-0.0400,-7,59,73,87,100,107,962,842,473.821,-1.882,-23.544,473.872,-1.825,0.4153
935,0.9350,-0.30,-1.50,-0.1200,6,20,86,74,87,95,1049,937,521.652,-2.013,-21.744,521.702,-1.658,0.3624
936,0.9360,-0.30,-1.50,-0.1200,6,20,86,74,87,95,1136,1032,569.482,-2.182,-19.944,569.532,-1.909,47.8307
1148,1.1480,-0.70,-1.00,-0.0100,8,39,88,72,153,159,1289,1191,651.465,-3.042,-18.461,651.517,-2.624,0.3867
1370,1.3700,-0.80,-0.60,0.1100,7,52,87,73,156,154,1445,1345,732.912,-4.178,-18.640,732.965,-3.690,0.3669
1370,1.3700,-0.80,-0.60,0.2400,7,75,87,73,0,1,1445,1346,733.176,-4.181,-18.431,733.228,-3.694,0.0264
1591,1.5910,-0.60,0.50,0.3200,2,76,82,78,170,161,1615,1507,820.136,-5.229,-20.048,820.188,-4.756,0.3935
1723,1.7230,-0.50,1.60,0.3900,-2,83,81,85,103,101,1718,1608,873.735,-5.718,-20.308,873.787,-5.271,0.4061
1855,1.8550,-0.20,1.40,0.4500,-3,16,77,83,105,104,1823,1712,928.652,-5.927,-20.356,928.703,-5.606,0.4160
2067,2.0670,-0.10,-0.20,0.4700,2,33,82,78,179,180,2002,1892,1022.985,-6.062,-19.875,1023.036,-5.853,0.4450
2288,2.2880,-0.40,-0.70,0.5400,5,47,85,75,161,167,2163,2059,1109.176,-6.527,-18.379,1109.227,-6.229,0.3900
2509,2.5090,-0.70,-0.70,0.6400,7,57,87,73,149,153,2312,2212,1188.529,-7.396,-17.319,1188.582,-6.991,0.3591
2510,2.5100,-0.70,-0.70,0.7400,7,78,87,73,1,0,2313,2212,1188.791,-7.400,-17.525,1188.844,-6.994,0.2618
2731,2.7310,-0.70,0.80,0.8400,2,80,82,78,148,142,2461,2354,1264.980,-8.399,-18.550,1265.034,-7.925,0.3448
2862,2.8620,-0.50,2.20,0.9200,-3,85,82,88,99,96,2560,2450,1316.214,-8.879,-19.025,1316.267,-8.462,0.3911
2994,2.9940,-0.40,1.50,0.9900,-1,19,79,81,102,102,2662,2552,1369.816,-9.252,-18.869,1369.869,-8.883,0.4061
2995,2.9950,-0.40,1.50,0.9900,-1,19,79,81,102,102,2764,2654,1423.419,-9.619,-18.714,1423.471,-9.257,53.6038
3207,3.2070,-0.40,1.00,1.0600,0,35,80,80,184,182,2948,2836,1519.586,-10.301,-18.850,1519.639,-9.928,0.4536
3429,3.4290,-0.20,1.20,1.1000,-1,47,79,81,168,166,3116,3002,1607.347,-10.636,-19.011,1607.399,-10.388,0.3953
3650,3.6500,-0.20,-0.10,1.1200,3,57,83,77,160,161,3276,3163,1691.694,-10.898,-18.559,1691.746,-10.682,0.3817
3782,3.7820,-0.20,-1.50,1.1600,7,70,87,73,86,89,3362,3252,1737.681,-11.027,-17.803,1737.732,-10.843,0.3484
3914,3.9140,-0.50,-0.60,1.1900,6,30,86,74,83,84,3445,3336,1781.562,-11.385,-17.468,1781.614,-11.111,0.3324
4126,4.1260,-0.50,0.20,1.2600,3,45,83,77,155,152,3600,3488,1862.224,-12.114,-17.857,1862.277,-11.815,0.3805
4347,4.3470,-0.10,0.40,1.2700,1,55,81,79,165,158,3765,3646,1947.089,-12.382,-19.064,1947.141,-12.259,0.3840
4569,4.5690,-0.10,0.00,1.2900,2,61,82,78,164,163,3929,3809,2033.012,-12.535,-19.023,2033.064,-12.409,0.3870
4790,4.7900,-0.10,-0.20,1.3000,2,66,82,78,165,164,4094,3973,2119.460,-12.683,-18.980,2119.512,-12.560,0.3912
4921,4.9210,-0.00,0.90,1.3100,-1,75,79,81,99,96,4193,4069,2170.696,-12.708,-19.454,2170.748,-12.605,0.3911
5053,5.0530,0.20,-0.20,1.3100,0,22,80,80,93,93,4286,4162,2219.570,-12.541,-19.312,2219.622,-12.519,0.3703
5054,5.0540,0.20,-0.20,1.3100,0,22,80,80,93,93,4379,4255,2268.443,-12.365,-19.171,2268.496,-12.349,48.8740
5176,5.1760,0.20,-1.10,1.2800,3,44,83,77,91,95,4470,4350,2317.321,-12.153,-18.198,2317.373,-12.178,0.4006
5181,5.1810,0.20,-1.10,1.2600,3,68,83,77,2,3,4472,4353,2318.636,-12.148,-17.987,2318.688,-12.174,0.2630
5311,5.3110,-0.30,-1.50,1.2600,8,42,88,72,80,85,4552,4438,2361.996,-12.311,-16.823,2362.049,-12.212,0.3335
5522,5.5220,-0.40,-0.10,1.3200,4,54,84,76,143,143,4695,4581,2437.145,-12.810,-16.605,2437.198,-12.671,0.3562
5735,5.7350,-0.10,1.10,1.3400,-1,62,79,81,154,147,4849,4728,2516.230,-13.051,-17.829,2516.282,-13.016,0.3713
5948,5.9480,-0.10,-0.30,1.3500,3,67,83,77,154,153,5003,4881,2596.897,-13.196,-17.803,2596.949,-13.156,0.3787
6169,6.1690,-0.20,0.20,1.3800,2,69,82,78,163,165,5166,5046,2683.085,-13.439,-17.138,2683.138,-13.382,0.3900
6170,6.1700,-0.20,0.20,1.4100,2,86,88,84,0,1,5166,5047,2683.349,-13.440,-16.929,2683.401,-13.383,0.2637
6390,6.3900,-0.20,0.50,1.4400,1,82,83,81,178,174,5344,5221,2775.837,-13.807,-17.492,2775.890,-13.706,0.4204
6521,6.5210,-0.10,0.70,1.4600,0,85,85,85,104,104,5448,5325,2830.492,-13.901,-17.333,2830.544,-13.849,0.4172
6653,6.6530,-0.30,-1.50,1.4700,8,25,88,72,89,97,5537,5422,2879.373,-14.072,-15.530,2879.426,-14.020,0.3703
6654,6.6540,-0.30,-1.50,1.4700,8,25,88,72,89,97,5626,5519,2928.255,-14.246,-13.727,2928.307,-14.276,48.8817
6866,6.8660,-0.80,-1.00,1.5900,9,40,89,71,160,164,5786,5683,3013.387,-15.311,-12.650,3013.442,-15.093,0.4016
7088,7.0880,-0.60,0.90,1.6800,2,50,82,78,166,157,5952,5840,3098.245,-16.328,-14.272,3098.300,-16.130,0.3823
7309,7.3090,-0.10,1.50,1.7000,-2,58,78,82,167,161,6119,6001,3184.425,-16.598,-15.268,3184.479,-16.656,0.3900
7529,7.5290,-0.20,0.10,1.7400,3,62,83,77,165,168,6284,6169,3271.928,-16.835,-14.392,3271.982,-16.885,0.3977
7530,7.5300,-0.20,0.10,1.7700,3,81,84,78,0,0,6284,6169,3271.928,-16.835,-14.392,3271.982,-16.885,0.0000
7660,7.6600,-0.30,-0.90,1.8100,6,84,90,78,101,99,6385,6268,3324.478,-17.117,-14.655,3324.532,-17.114,0.4042
7661,7.6610,-0.30,-0.90,1.8100,6,84,90,78,101,99,6486,6367,3377.028,-17.405,-14.917,3377.082,-17.390,52.5508
7792,7.7920,-0.20,0.30,1.8400,2,61,82,78,105,104,6591,6471,3431.944,-17.604,-14.966,3431.998,-17.629,0.4192
7914,7.9140,-0.20,1.20,1.8700,-1,70,79,81,102,101,6693,6572,3485.284,-17.793,-15.019,3485.338,-17.815,0.4372
7919,7.9190,-0.20,1.20,1.8700,-1,70,79,81,102,101,6795,6673,3538.624,-17.982,-15.072,3538.678,-18.002,10.6680
8048,8.0480,-0.20,-1.10,1.8900,6,20,86,74,89,94,6884,6767,3586.714,-18.101,-13.894,3586.768,-18.169,0.3728
8170,8.1700,-0.20,-2.40,1.9200,11,42,91,69,90,93,6974,6860,3634.803,-18.234,-13.132,3634.856,-18.337,0.3942
8174,8.1740,-0.20,-2.40,1.9200,11,42,91,69,90,93,7064,6953,3682.891,-18.368,-12.369,3682.944,-18.505,12.0222
8294,8.2940,-0.60,-0.70,1.9500,7,26,87,73,75,72,7139,7025,3721.512,-18.775,-12.880,3721.567,-18.775,0.3219
8506,8.5060,-0.30,0.90,2.0000,1,41,81,79,161,154,7300,7179,3804.274,-19.318,-14.094,3804.328,-19.425,0.3904
8727,8.7270,0.10,1.00,1.9900,-2,50,78,82,172,166,7472,7345,3893.083,-19.276,-15.082,3893.136,-19.580,0.4018
8728,8.7280,0.10,1.00,1.9900,-2,50,78,82,172,166,7644,7511,3981.891,-19.204,-16.071,3981.944,-19.425,88.8083
8948,8.9480,0.10,0.10,1.9700,1,57,81,79,167,168,7811,7679,4069.917,-19.019,-15.608,4069.971,-19.271,0.4001
9169,9.1690,0.10,0.60,1.9600,0,61,80,80,171,171,7982,7850,4159.782,-18.840,-15.347,4159.836,-19.114,0.4066
9300,9.3000,0.10,0.60,1.9400,-1,70,79,81,100,99,8082,7949,4212.071,-18.750,-15.403,4212.125,-19.023,0.3992
9432,9.4320,0.20,0.00,1.9300,1,24,81,79,86,86,8168,8035,4257.266,-18.591,-15.272,4257.320,-18.905,0.3424
9433,9.4330,0.20,0.00,1.9300,1,24,81,79,86,86,8254,8121,4302.461,-18.428,-15.141,4302.515,-18.747,45.1953
9645,9.6450,-0.00,-0.40,1.9400,3,39,83,77,152,156,8406,8277,4383.396,-18.339,-14.076,4383.450,-18.606,0.3818
9866,9.8660,-0.10,0.50,1.9500,1,49,81,79,165,164,8571,8441,4469.845,-18.474,-14.033,4469.898,-18.681,0.3912
9867,9.8670,-0.10,0.50,1.9500,1,49,81,79,165,164,8736,8605,4556.293,-18.621,-13.990,4556.347,-18.832,86.4483
10088,10.0880,0.00,1.30,1.9500,-3,56,77,83,172,165,8908,8770,4644.837,-18.721,-15.186,4644.891,-18.909,0.4007
10308,10.3080,0.00,0.10,1.9400,2,60,82,78,166,169,9074,8939,4732.866,-18.658,-14.308,4732.920,-18.909,0.4001
10309,10.3090,0.00,0.10,1.9400,2,60,82,78,166,169,9240,9108,4820.895,-18.588,-13.430,4820.948,-18.909,88.0287
10439,10.4390,0.00,-0.60,1.9400,4,69,84,76,99,99,9339,9207,4872.922,-18.579,-13.279,4872.976,-18.909,0.4002
