t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
25121,25.1210,-6.00,-4.70,0.0100,4,10,14,6,113,45,23025,23052,12033.143,34.329,0.4354
25239,25.2390,-5.10,19.10,0.0500,-4,9,5,13,152,66,23177,23118,12089.990,29.256,0.4837
25247,25.2470,-5.10,36.90,0.0600,-6,9,3,15,5,4,23182,23122,12092.337,29.046,0.2945
25353,25.3530,-1.50,10.10,0.0900,-3,9,6,12,84,121,23266,23243,12145.987,27.641,0.5063
25471,25.4710,2.40,-4.80,0.0700,1,8,9,7,76,135,23342,23378,12201.178,29.955,0.4681
25480,25.4800,2.40,-16.00,0.0600,5,10,15,5,1,2,23343,23380,12201.963,29.987,0.0873
25585,25.5850,-1.20,2.70,0.0800,0,9,9,9,115,83,23458,23463,12253.788,28.902,0.4937
25704,25.7040,-2.00,13.00,0.1100,-4,8,4,12,115,98,23573,23561,12309.517,26.956,0.4686
25712,25.7120,-2.00,18.10,0.1100,-5,9,4,14,11,12,23584,23573,12315.535,26.746,0.7527
25770,25.7700,-0.00,14.60,0.1200,-5,10,5,15,31,55,23615,23628,12338.050,26.746,0.3882
25998,25.9980,-9.10,8.20,0.0900,-3,9,6,12,75,145,23690,23773,12394.921,17.636,0.2526
25998,25.9980,-9.10,-18.80,0.1400,5,8,13,3,71,149,23761,23922,12451.792,8.527,5.7596
26117,26.1170,-10.00,-32.30,0.2000,5,8,13,3,90,88,23851,24010,12497.684,0.435,0.3916
26125,26.1250,-10.00,-42.40,0.2200,7,10,17,3,5,3,23856,24013,12499.747,0.071,0.2618
26231,26.2310,-10.10,-7.40,0.2900,7,10,17,3,100,51,23956,24064,12538.666,-6.861,0.3729
26350,26.3500,-9.50,11.00,0.3600,1,9,10,8,144,45,24100,24109,12587.467,-15.028,0.4158
26358,26.3580,-9.50,24.70,0.3700,-4,10,6,14,5,3,24105,24112,12589.533,-15.373,0.2618
26465,26.4650,-5.90,6.30,0.4200,1,9,10,8,92,113,24197,24225,12642.917,-20.890,0.5016
26583,26.5830,-0.40,-4.10,0.4400,3,8,11,5,99,107,24296,24332,12696.847,-21.267,0.4570
26591,26.5910,-0.40,-11.80,0.4400,5,10,15,5,0,1,24296,24333,12697.109,-21.269,0.0327
26689,26.6890,-0.10,8.10,0.4500,-2,9,7,11,119,64,24415,24397,12745.018,-21.352,0.4889
26878,26.8780,3.00,18.70,0.4300,-6,8,2,14,115,100,24530,24497,12801.227,-18.406,0.2978
26878,26.8780,3.00,-0.20,0.4100,0,9,9,9,53,84,24583,24581,12837.045,-16.529,3.5867
27007,27.0070,2.50,-14.30,0.3700,3,9,12,6,90,94,24673,24675,12885.170,-14.428,0.3734
27015,27.0150,2.50,-17.80,0.3700,6,10,16,4,6,4,24679,24679,12887.786,-14.314,0.3272
27126,27.1260,1.70,2.40,0.3500,-1,9,8,10,115,66,24794,24745,12935.150,-12.908,0.4269
27248,27.2480,2.20,12.80,0.3400,-5,8,3,13,110,99,24904,24844,12989.826,-10.808,0.4485
27252,27.2520,2.20,21.20,0.3300,-6,9,3,15,13,15,24917,24859,12997.151,-10.526,1.8326
27353,27.3530,2.90,-3.70,0.3100,0,9,9,9,60,111,24977,24970,13041.861,-8.261,0.4432
27472,27.4720,2.10,-19.20,0.2800,6,8,14,2,93,126,25070,25096,13099.157,-6.160,0.4818
27480,27.4800,2.10,-30.90,0.2800,7,10,17,3,2,1,25072,25097,13099.942,-6.132,0.0982
27586,27.5860,-0.70,-0.80,0.2900,1,9,10,8,123,76,25195,25173,13152.036,-6.768,0.4915
27704,27.7040,-0.10,15.30,0.3000,-4,8,4,12,122,91,25317,25264,13207.799,-6.865,0.4726
27713,27.7130,-0.10,23.30,0.3000,-6,9,3,15,13,11,25330,25275,13214.082,-6.876,0.6981
27798,27.7980,3.00,2.40,0.2900,-2,9,7,11,55,92,25385,25367,13252.514,-4.862,0.4528
27917,27.9170,2.40,-11.10,0.2600,2,8,10,6,86,131,25471,25498,13309.275,-2.483,0.4774
27925,27.9250,2.40,-21.20,0.2500,6,9,15,3,6,6,25477,25504,13312.414,-2.352,0.3927
28031,28.0310,-1.20,2.90,0.2700,0,9,9,9,119,70,25596,25574,13361.883,-3.388,0.4668
28149,28.1490,-0.90,15.80,0.2900,-4,8,4,12,115,94,25711,25668,13416.592,-4.247,0.4637
28158,28.1580,-0.90,25.40,0.3000,-6,9,3,15,3,4,25714,25672,13418.425,-4.276,0.2036
28263,28.2630,0.50,-4.40,0.2900,1,9,10,8,70,121,25784,25793,13468.426,-3.840,0.4762
28381,28.3810,-0.30,-20.10,0.2800,5,8,13,3,95,116,25879,25909,13523.665,-4.129,0.4681
28390,28.3900,-0.30,-31.90,0.2800,7,10,17,3,1,2,25880,25911,13524.451,-4.133,0.0873
28486,28.4860,-2.50,-4.90,0.3000,3,9,12,6,108,71,25988,25982,13571.268,-6.177,0.4881
28609,28.6090,-2.00,9.50,0.3300,-1,8,7,9,128,78,26116,26060,13625.166,-8.059,0.4385
28613,28.6130,-2.00,18.00,0.3300,-5,9,4,14,19,14,26135,26074,13633.800,-8.361,2.1598
28714,28.7140,1.60,0.80,0.3200,-1,9,8,10,69,113,26204,26187,13681.429,-7.031,0.4718
28833,28.8330,1.70,-10.90,0.3100,3,8,11,5,94,123,26298,26310,13738.215,-5.345,0.4774
28841,28.8410,1.70,-19.80,0.3000,7,10,17,3,0,1,26298,26311,13738.476,-5.337,0.0327
28947,28.9470,-0.40,4.80,0.3100,-1,9,8,10,127,73,26425,26384,13790.835,-5.703,0.4940
29066,29.0660,0.30,17.90,0.3300,-5,8,3,13,117,101,26542,26485,13847.906,-5.404,0.4796
29074,29.0740,0.30,27.60,0.3200,-6,9,3,15,5,7,26547,26492,13851.048,-5.388,0.3927
29180,29.1800,0.90,-5.10,0.3100,1,9,10,8,63,117,26610,26609,13898.166,-4.648,0.4446
29298,29.2980,0.10,-22.20,0.2800,6,8,14,2,88,113,26698,26722,13950.788,-4.556,0.4459
29307,29.3070,0.10,-35.10,0.2800,6,9,15,3,5,4,26703,26726,13953.144,-4.552,0.2618
29359,29.3590,-2.90,-26.30,0.3000,6,10,16,4,46,31,26749,26757,13973.276,-5.571,0.3877
29444,29.4440,-1.10,-18.10,0.3000,6,10,16,4,11,5,26760,26762,13977.464,-5.652,0.0493
29444,29.4440,-1.10,3.60,0.3300,0,10,10,10,79,42,26839,26804,14009.136,-6.260,3.1678
29633,29.6330,2.70,14.50,0.3400,-4,9,5,13,119,94,26958,26898,14064.838,-3.633,0.2950
29634,29.6340,2.70,8.10,0.3200,-4,8,4,12,76,88,27034,26986,14107.725,-1.611,42.9351
29761,29.7610,2.60,2.50,0.3000,-2,9,7,11,104,122,27138,27108,14166.831,1.073,0.4659
29770,29.7700,2.60,1.90,0.3000,-1,10,9,11,2,3,27140,27111,14168.139,1.133,0.1454
29875,29.8750,-0.20,-3.10,0.3000,1,9,10,8,104,119,27244,27230,14226.519,0.929,0.5560
29993,29.9930,-0.40,-5.60,0.3100,3,8,11,5,110,109,27354,27339,14283.852,0.529,0.4859
30001,30.0010,-0.40,-6.80,0.3100,3,8,11,5,13,12,27367,27351,14290.397,0.483,0.8181
30107,30.1070,-0.30,3.80,0.3200,-1,8,7,9,110,88,27477,27439,14342.233,0.212,0.4890
