t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0100,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
122,0.1220,0.00,0.00,0.0200,0,112,112,112,55,56,55,56,29.060,0.052,0.207,29.060,0.000,0.2382
126,0.1260,0.00,0.00,0.0200,0,112,112,112,55,56,110,112,58.119,0.210,0.414,58.119,0.000,7.2649
232,0.2320,-0.00,-0.20,0.0300,1,44,81,79,86,87,196,199,103.408,0.619,0.621,103.411,0.000,0.4273
444,0.4440,-0.00,1.30,0.0400,-3,55,77,83,193,191,389,390,203.937,1.345,0.207,203.942,0.000,0.4742
656,0.6560,-0.00,0.60,0.0600,-1,63,79,81,162,162,551,552,288.759,1.651,0.207,288.765,0.000,0.4001
868,0.8680,-0.10,-0.20,0.0800,2,68,82,78,159,164,710,716,373.314,2.720,1.241,373.326,-0.074,0.3989
869,0.8690,-0.10,-0.20,0.0800,2,68,82,78,159,164,869,880,457.835,5.315,2.276,457.887,-0.221,84.5612
1090,1.0900,-0.20,0.10,0.1100,1,73,81,79,154,154,1023,1034,538.406,8.517,2.276,538.521,-0.432,0.3649
1090,1.0900,-0.20,0.10,0.1400,1,89,90,88,1,0,1024,1034,538.667,8.527,2.069,538.783,-0.433,0.0262
1311,1.3110,-0.20,-0.10,0.1700,2,87,89,85,165,164,1189,1198,624.749,11.481,1.862,624.914,-0.734,0.3897
1532,1.5320,-0.20,0.10,0.2000,1,82,83,81,191,190,1380,1388,724.447,14.542,1.655,724.659,-1.082,0.4513
1663,1.6630,-0.20,0.20,0.2400,1,86,87,85,116,115,1496,1503,784.901,16.180,1.448,785.134,-1.293,0.4616
1795,1.7950,-0.30,0.40,0.2700,1,13,81,79,109,109,1605,1612,841.955,17.622,1.448,842.206,-1.542,0.4324
1917,1.9170,-0.30,0.30,0.3100,1,37,81,79,111,111,1716,1723,900.056,19.091,1.448,900.325,-1.847,0.4764
1922,1.9220,-0.30,0.30,0.3200,1,64,81,79,3,2,1719,1725,901.364,19.122,1.241,901.634,-1.854,0.2618
2051,2.0510,-0.20,0.50,0.3300,0,38,80,80,99,100,1818,1825,953.448,20.345,1.448,953.731,-2.081,0.4039
2263,2.2630,-0.30,-0.80,0.3700,4,50,84,76,162,163,1980,1988,1038.502,22.649,1.655,1038.815,-2.452,0.4013
2264,2.2640,-0.30,-0.80,0.3700,4,50,84,76,162,163,2142,2151,1123.546,25.260,1.862,1123.899,-2.898,85.0848
2476,2.4760,-0.30,-0.50,0.4100,4,60,84,76,146,147,2288,2298,1200.208,27.891,2.069,1200.605,-3.299,0.3618
2689,2.6890,-0.20,-1.10,0.4400,5,67,85,75,149,148,2437,2446,1277.917,30.558,1.862,1278.359,-3.638,0.3650
2910,2.9100,-0.20,-0.70,0.4700,4,70,84,76,175,167,2612,2613,1367.438,32.174,0.207,1367.894,-3.951,0.4051
3041,3.0410,-0.20,0.10,0.5000,1,78,81,79,105,106,2717,2719,1422.677,32.473,0.414,1423.133,-4.144,0.4217
3042,3.0420,-0.20,0.10,0.5000,1,78,81,79,105,106,2822,2825,1477.914,32.972,0.621,1478.372,-4.337,55.2397
3174,3.1740,-0.10,0.60,0.5200,0,15,80,80,102,103,2924,2928,1531.579,33.650,0.828,1532.041,-4.477,0.4066
3296,3.2960,-0.10,0.40,0.5400,0,39,80,80,107,106,3031,3034,1587.338,34.355,0.621,1587.804,-4.575,0.4571
3301,3.3010,-0.10,0.40,0.5500,0,65,80,80,4,3,3035,3037,1589.170,34.371,0.414,1589.637,-4.578,0.3665
3429,3.4290,0.10,0.50,0.5600,-1,23,79,81,95,94,3130,3131,1638.649,34.639,0.207,1639.117,-4.578,0.3866
3551,3.5510,0.10,0.80,0.5600,-2,46,78,82,94,94,3224,3225,1687.867,34.817,0.207,1688.335,-4.492,0.4034
3555,3.5550,0.10,0.80,0.5600,-2,46,78,82,94,94,3318,3319,1737.085,34.995,0.207,1737.553,-4.406,12.3046
3675,3.6750,0.00,0.30,0.5600,0,27,80,80,75,79,3393,3398,1777.400,35.432,1.034,1777.870,-4.371,0.3360
3887,3.8870,-0.10,-0.10,0.5800,2,44,82,78,148,148,3541,3546,1854.880,36.831,1.034,1855.363,-4.438,0.3655
