t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,104,104,104,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
212,0.2120,0.00,-0.10,-0.0000,0,105,105,105,129,133,129,133,68.660,0.053,0.882,68.660,0.000,0.3239
213,0.2130,0.00,-0.10,-0.0100,0,122,122,122,1,0,130,133,68.922,0.053,0.675,68.922,0.000,0.2618
335,0.3350,0.10,0.60,-0.0100,-2,112,110,114,136,133,266,266,139.415,0.134,0.109,139.415,0.062,0.5778
340,0.3400,0.10,0.60,-0.0100,-2,112,110,114,136,133,402,399,209.908,0.221,-0.457,209.908,0.185,14.0986
469,0.4690,0.50,1.10,-0.0200,-6,-10,-86,-74,145,142,547,541,285.116,0.812,-1.019,285.117,0.578,0.5830
680,0.6800,-0.50,0.30,0.0300,1,33,81,79,-18,-18,529,523,275.682,0.886,-1.027,275.683,0.578,-0.0447
681,0.6810,-0.50,0.30,0.0300,1,33,81,79,-18,-18,511,505,266.249,0.968,-1.034,266.250,0.661,-9.4341
803,0.8030,-0.50,0.90,0.0700,0,61,80,80,15,19,526,524,275.159,0.897,-0.199,275.160,0.583,0.0730
808,0.8080,-0.50,0.90,0.0700,0,61,80,80,15,19,541,543,284.070,0.826,0.637,284.071,0.505,1.7822
928,0.9280,-0.60,-2.00,0.1100,10,75,90,70,46,54,587,597,310.277,0.593,2.314,310.278,0.254,0.2184
1140,1.1400,-1.20,-2.10,0.2300,13,80,93,67,117,126,704,723,373.949,-0.596,4.228,373.953,-0.747,0.3004
1353,1.3530,-1.30,-0.70,0.3600,8,82,90,74,143,137,847,860,447.303,-2.321,3.042,447.310,-2.347,0.3445
1566,1.5660,-0.90,0.60,0.4400,3,82,85,79,166,156,1013,1016,531.670,-3.827,1.038,531.675,-3.967,0.3962
1787,1.7870,-0.50,0.80,0.4900,0,79,80,80,185,180,1198,1196,627.316,-4.786,0.077,627.318,-5.136,0.4328
1788,1.7880,-0.50,0.80,0.4900,0,79,80,80,185,180,1383,1376,722.961,-5.707,-0.884,722.964,-5.971,95.6502
1919,1.9190,-0.40,1.40,0.5300,-2,85,83,87,107,105,1490,1481,778.516,-6.120,-1.254,778.519,-6.407,0.4241
2051,2.0510,-0.10,1.70,0.5600,-4,28,76,84,112,108,1602,1589,836.168,-6.277,-2.038,836.170,-6.658,0.4368
2052,2.0520,-0.10,1.70,0.5600,-4,28,76,84,112,108,1714,1697,893.819,-6.419,-2.821,893.822,-6.759,57.6519
2174,2.1740,-0.00,2.30,0.5600,-7,48,73,87,111,111,1825,1808,951.996,-6.424,-2.775,951.999,-6.810,0.4769
2178,2.1780,-0.00,2.30,0.5600,-7,48,73,87,111,111,1936,1919,1010.173,-6.422,-2.730,1010.176,-6.810,14.5443
2307,2.3070,0.20,0.50,0.5600,-2,17,78,82,89,91,2025,2010,1057.344,-6.247,-2.279,1057.347,-6.727,0.3657
2519,2.5190,0.20,0.10,0.5400,-1,36,79,81,157,155,2182,2165,1139.106,-5.986,-2.629,1139.109,-6.442,0.3857
2520,2.5200,0.20,0.10,0.5400,-1,36,79,81,157,155,2339,2320,1220.867,-5.727,-2.979,1220.870,-6.157,81.7619
2642,2.6420,0.20,-0.40,0.5200,1,55,81,79,92,90,2431,2410,1268.561,-5.577,-3.356,1268.564,-5.990,0.3909
2646,2.6460,0.20,-0.40,0.5100,1,77,81,79,0,0,2431,2410,1268.561,-5.577,-3.356,1268.564,-5.990,0.0000
2767,2.7670,0.40,1.10,0.5000,-5,58,75,85,95,93,2526,2503,1317.827,-5.257,-3.732,1317.830,-5.732,0.4072
2979,2.9790,0.50,0.30,0.4600,-3,64,77,83,174,172,2700,2675,1408.495,-4.504,-4.075,1408.499,-5.020,0.4277
2980,2.9800,0.50,0.30,0.4600,-3,64,77,83,174,172,2874,2847,1499.164,-3.741,-4.418,1499.167,-4.229,90.6719
3102,3.1020,0.50,0.60,0.4100,-4,74,76,84,98,96,2972,2943,1550.001,-3.315,-4.793,1550.004,-3.785,0.4167
3106,3.1060,0.50,0.60,0.4000,-4,90,86,94,0,1,2972,2944,1550.264,-3.313,-4.585,1550.267,-3.783,0.0656
