t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_mm,y_mm,v_mps
0,0.0000,0.00,0.00,0.0000,0,2,8,8,0,0,0,0,0.000,0.000,0.0000
209,0.2090,-0.00,0.00,0.0000,0,2,8,8,30,30,30,30,15.708,0.000,0.0752
209,0.2090,-0.00,0.10,0.0000,0,3,8,8,47,48,77,78,40.579,0.000,2.4871
328,0.3280,-0.10,0.20,0.0000,0,4,8,8,64,66,141,144,74.613,-0.059,0.2860
336,0.3360,-0.10,0.20,0.0000,0,4,8,8,7,8,148,152,78.540,-0.066,0.4909
394,0.3940,-0.30,-0.90,0.0000,0,6,8,8,28,30,176,182,93.724,-0.146,0.2618
543,0.5430,-0.40,-1.90,0.0100,0,7,8,8,70,71,246,253,130.637,-0.403,0.2477
543,0.5430,-0.40,-2.80,0.0100,2,8,10,6,18,20,264,273,140.585,-0.473,0.9948
661,0.6610,-0.80,-3.60,0.0100,1,9,10,8,6,7,270,280,143.988,-0.520,0.0288
661,0.6610,-0.80,-2.30,0.0200,1,10,11,9,75,76,345,356,183.516,-1.072,3.9532
780,0.7800,-0.80,-1.70,0.0300,1,10,11,9,89,91,434,447,230.635,-1.730,0.3960
788,0.7880,-0.80,-1.30,0.0400,1,11,12,10,6,6,440,453,233.776,-1.774,0.3927
895,0.8950,-1.00,-0.70,0.0500,1,10,11,9,101,101,541,554,286.652,-2.697,0.4942
1013,1.0130,-1.00,-0.40,0.0600,1,9,10,8,114,111,655,665,345.548,-3.725,0.4992
1022,1.0220,-1.00,-0.20,0.0700,1,11,12,10,3,3,658,668,347.118,-3.753,0.1745
1127,1.1270,-1.10,-1.20,0.0800,1,10,11,9,109,117,767,785,406.274,-4.888,0.5635
1246,1.2460,-1.20,-1.80,0.0900,2,9,11,7,122,115,889,900,468.307,-6.188,0.5214
1254,1.2540,-1.20,-2.20,0.0900,1,11,12,10,1,1,890,901,468.830,-6.199,0.0654
1351,1.3510,-1.00,1.70,0.1000,0,10,10,10,115,104,1005,1005,526.156,-7.199,0.5911
1540,1.5400,-0.50,3.60,0.1100,-1,9,8,10,121,125,1126,1130,590.556,-7.761,0.3408
1540,1.5400,-0.50,0.50,0.1200,0,9,9,9,82,87,1208,1217,634.798,-8.148,4.4244
1669,1.6690,-0.60,-1.90,0.1300,1,9,10,8,115,107,1323,1324,692.915,-8.756,0.4505
1677,1.6770,-0.60,-2.50,0.1300,1,10,11,9,8,8,1331,1332,697.103,-8.800,0.5236
1743,1.7430,-0.40,-0.80,0.1300,0,11,11,11,61,54,1392,1386,727.209,-9.010,0.4562
1961,1.9610,0.50,0.60,0.1400,0,10,10,10,126,123,1518,1509,792.395,-8.441,0.2990
1961,1.9610,0.50,1.50,0.1300,-1,9,8,10,119,115,1637,1624,853.654,-7.907,6.1261
2154,2.1540,0.90,2.00,0.1300,-1,8,7,9,111,111,1748,1735,911.766,-6.994,0.3011
2154,2.1540,0.90,2.00,0.1200,-1,9,8,10,78,81,1826,1816,953.387,-6.340,4.1626
2283,2.2830,0.90,2.00,0.1100,-1,9,8,10,110,106,1936,1922,1009.929,-5.452,0.4384
2287,2.2870,0.90,0.60,0.1000,-1,11,10,12,3,3,1939,1925,1011.499,-5.427,0.3927
2393,2.3930,0.90,1.40,0.0900,-1,10,9,11,107,102,2046,2027,1066.208,-4.568,0.5162
2581,2.5810,0.80,1.90,0.0800,-1,9,8,10,119,120,2165,2147,1128.772,-3.694,0.3328
2581,2.5810,0.80,1.20,0.0700,-1,9,8,10,85,88,2250,2235,1174.059,-3.062,4.5291
2710,2.7100,0.80,0.70,0.0600,-1,9,8,10,118,116,2368,2351,1235.314,-2.206,0.4749
2719,2.7190,0.80,0.60,0.0600,-1,10,9,11,5,6,2373,2357,1238.194,-2.166,0.3200
2829,2.8290,0.50,-0.30,0.0500,-1,9,8,10,108,109,2481,2466,1295.002,-1.670,0.5165
2951,2.9510,0.50,-0.80,0.0500,1,9,10,8,108,111,2589,2577,1352.334,-1.170,0.4700
2955,2.9550,0.50,-0.90,0.0400,0,10,10,10,17,15,2606,2592,1360.711,-1.097,2.0944
3056,3.0560,0.60,0.30,0.0400,0,10,10,10,98,96,2704,2688,1411.498,-0.565,0.5029
3174,3.1740,0.60,1.00,0.0300,-1,9,8,10,119,119,2823,2807,1473.802,0.087,0.5280
3183,3.1830,0.60,1.50,0.0300,0,11,11,11,2,1,2825,2808,1474.588,0.096,0.0873
3288,3.2880,0.60,0.10,0.0200,0,10,10,10,118,120,2943,2928,1536.893,0.748,0.5934
3407,3.4070,0.60,-0.70,0.0200,0,9,9,9,128,123,3071,3051,1602.601,1.436,0.5522
3415,3.4150,0.60,-1.10,0.0200,0,9,9,9,14,13,3085,3064,1609.669,1.510,0.8836
3512,3.5120,0.70,-0.20,0.0100,0,9,9,9,95,96,3180,3160,1659.669,2.121,0.5155
3700,3.7000,0.80,0.40,-0.0000,-1,9,8,10,112,111,3292,3271,1718.044,2.936,0.3105
3701,3.7010,0.80,-0.90,-0.0100,0,9,9,9,80,82,3372,3353,1760.452,3.528,42.4115
3830,3.8300,0.70,-1.80,-0.0200,1,9,10,8,116,113,3488,3466,1820.399,4.261,0.4647
3838,3.8380,0.70,-2.00,-0.0200,0,10,10,10,7,6,3495,3472,1823.803,4.302,0.4254
3949,3.9490,0.80,-0.10,-0.0300,0,9,9,9,110,109,3605,3581,1881.131,5.103,0.5165
4137,4.1370,1.10,0.90,-0.0400,-1,9,8,10,111,110,3716,3691,1938.978,6.214,0.3078
4137,4.1370,1.10,0.70,-0.0500,-1,9,8,10,79,80,3795,3771,1980.596,7.013,4.1626
4267,4.2670,1.10,0.60,-0.0700,-1,9,8,10,111,107,3906,3878,2037.658,8.108,0.4390
4275,4.2750,1.10,0.60,-0.0700,-1,9,8,10,13,13,3919,3891,2044.464,8.239,0.8508
4386,4.3860,1.00,-1.10,-0.0900,0,9,9,9,105,108,4024,3999,2100.218,9.212,0.5024
4508,4.5080,1.00,-1.90,-0.1000,0,9,9,9,109,109,4133,4108,2157.282,10.208,0.4678
4513,4.5130,1.00,-2.20,-0.1000,0,9,9,9,15,15,4148,4123,2165.135,10.345,1.5708
4614,4.6140,0.90,-1.80,-0.1100,0,10,10,10,90,90,4238,4213,2212.253,11.086,0.4666
4732,4.7320,0.90,-1.50,-0.1200,0,9,9,9,112,110,4350,4323,2270.365,11.999,0.4925
4741,4.7410,0.90,-1.30,-0.1300,0,10,10,10,4,4,4354,4327,2272.459,12.031,0.2327
4846,4.8460,0.70,-1.40,-0.1300,0,10,10,10,105,110,4459,4437,2328.742,12.719,0.5361
4964,4.9640,0.60,-1.40,-0.1400,0,9,9,9,117,119,4576,4556,2390.523,13.366,0.5236
4973,4.9730,0.60,-1.40,-0.1400,1,11,12,10,1,2,4577,4558,2391.309,13.374,0.0873
5069,5.0690,0.60,-0.60,-0.1500,-1,10,9,11,109,108,4686,4666,2448.116,13.969,0.5918
5192,5.1920,0.60,-0.10,-0.1500,0,9,9,9,122,124,4808,4790,2512.515,14.644,0.5236
5196,5.1960,0.60,0.80,-0.1600,-1,9,8,10,18,18,4826,4808,2521.939,14.742,2.3562
5282,5.2820,0.50,0.20,-0.1600,0,10,10,10,83,86,4909,4894,2566.182,15.128,0.5145
5475,5.4750,0.30,-0.40,-0.1700,0,9,9,9,119,118,5028,5012,2628.227,15.453,0.3215
5476,5.4760,0.30,-0.70,-0.1700,0,9,9,9,92,93,5120,5105,2676.660,15.707,48.4329
5674,5.6740,0.20,-0.90,-0.1700,0,9,9,9,118,117,5238,5222,2738.182,15.922,0.3107
5674,5.6740,0.20,-0.80,-0.1700,0,9,9,9,88,88,5326,5310,2784.259,16.082,4.6077
5803,5.8030,0.20,-0.70,-0.1700,0,9,9,9,113,115,5439,5425,2843.948,16.291,0.4627
5808,5.8080,0.20,-0.10,-0.1700,0,11,11,11,3,3,5442,5428,2845.519,16.296,0.3142
5902,5.9020,0.10,-1.50,-0.1700,1,10,11,9,94,98,5536,5526,2895.785,16.384,0.5347
6020,6.0200,0.00,-2.30,-0.1700,0,9,9,9,129,118,5665,5644,2960.449,16.384,0.5480
6028,6.0280,0.00,-2.80,-0.1700,1,10,11,9,8,7,5673,5651,2964.376,16.384,0.4909
6134,6.1340,0.40,0.10,-0.1800,0,9,9,9,109,113,5782,5764,3022.494,16.790,0.5483
6252,6.2520,0.40,1.60,-0.1800,-1,8,7,9,113,109,5895,5873,3080.612,17.196,0.4925
6261,6.2610,0.40,2.80,-0.1800,-1,10,9,11,4,4,5899,5877,3082.706,17.210,0.2327
6357,6.3570,0.60,-0.50,-0.1900,0,10,10,10,91,96,5990,5973,3131.660,17.723,0.5100
6479,6.4790,0.50,-2.20,-0.2000,0,9,9,9,114,115,6104,6088,3191.610,18.246,0.4914
6484,6.4840,0.50,-3.60,-0.2000,1,9,10,8,17,18,6121,6106,3200.773,18.326,1.8326
6589,6.5890,0.10,-1.80,-0.2000,0,9,9,9,100,99,6221,6205,3252.871,18.417,0.4962
6778,6.7780,0.10,-0.40,-0.2000,0,9,9,9,108,109,6329,6314,3309.681,18.516,0.3006
6778,6.7780,0.10,0.50,-0.2000,0,9,9,9,81,80,6410,6394,3351.831,18.590,4.2150
6907,6.9070,0.20,1.20,-0.2000,-1,9,8,10,103,107,6513,6501,3406.808,18.781,0.4262
6915,6.9150,0.20,1.30,-0.2000,0,9,9,9,12,12,6525,6513,3413.091,18.803,0.7854
