t_ms,t_s,yaw,yr,hi,hd,pc,ol,or,el,er,cum_el,cum_er,x_enc_mm,y_enc_mm,theta_enc_deg,x_imu_mm,y_imu_mm,v_mps
1,0.0010,0.00,0.00,0.0000,0,15,80,80,0,0,0,0,0.000,0.000,0.000,0.000,0.000,0.0000
210,0.2100,-0.20,0.00,0.0000,0,24,80,80,26,28,26,28,14.137,-0.042,0.414,14.137,-0.049,0.0676
210,0.2100,-0.20,-3.70,0.0200,13,31,93,67,42,58,68,86,40.317,-0.057,3.724,40.317,-0.141,2.6180
399,0.3990,-1.70,-5.50,0.0500,19,36,99,61,61,70,129,156,74.601,-0.969,5.586,74.597,-1.158,0.1815
399,0.3990,-1.70,-2.00,0.1000,15,47,95,65,56,53,185,209,103.124,-1.826,4.966,103.121,-2.005,2.8536
601,0.6010,-1.60,0.60,0.1700,7,60,87,73,66,70,251,279,138.715,-2.799,5.793,138.712,-2.999,0.1763
602,0.6020,-1.60,4.00,0.2200,-5,71,75,85,69,60,320,339,172.473,-3.795,3.931,172.471,-3.942,33.7721
728,0.7280,-1.40,6.60,0.2800,-12,84,72,96,80,82,400,421,214.872,-4.827,4.345,214.870,-4.978,0.3366
736,0.7360,-1.40,7.30,0.2800,-12,103,91,115,0,0,400,421,214.872,-4.827,4.345,214.870,-4.978,0.0000
842,0.8420,-1.80,1.00,0.3600,6,110,116,104,83,91,483,512,260.405,-6.176,6.000,260.400,-6.409,0.4297
960,0.9600,-1.90,-2.30,0.4200,18,102,120,84,107,107,590,619,316.399,-8.024,6.000,316.395,-8.266,0.4748
968,0.9680,-1.90,-3.90,0.4200,18,105,123,87,13,14,603,633,323.464,-8.257,6.207,323.459,-8.501,0.8836
1026,1.0260,-2.10,-2.40,0.5200,18,109,127,91,55,47,658,680,350.148,-9.269,4.552,350.145,-9.479,0.4604
1176,1.1760,-2.00,-0.00,0.6100,13,97,110,84,143,123,801,803,419.735,-11.961,0.414,419.741,-11.910,0.4643
1176,1.1760,-2.00,2.30,0.6100,13,100,113,87,39,32,840,835,438.311,-12.637,-1.034,438.318,-12.558,1.8588
1294,1.2940,0.20,4.00,0.6500,-1,110,109,111,14,11,854,846,444.856,-12.630,-1.655,444.862,-12.536,0.0555
1295,1.2950,0.20,6.80,0.6300,-22,93,71,115,136,135,990,981,515.803,-12.405,-1.862,515.810,-12.288,70.9476
1484,1.4840,-0.30,8.10,0.5800,-33,84,51,117,116,128,1106,1109,579.682,-12.574,0.621,579.688,-12.622,0.3380
1484,1.4840,-0.30,-4.90,0.6100,18,86,104,68,71,98,1177,1207,623.926,-12.584,6.207,623.931,-12.854,4.4244
1687,1.6870,-1.80,-14.70,0.5000,43,89,132,46,116,108,1293,1315,682.540,-14.419,4.552,682.545,-14.696,0.2889
1688,1.6880,-1.80,1.50,0.5600,4,89,93,85,98,70,1391,1385,726.493,-16.023,-1.241,726.506,-16.078,43.9823
1887,1.8870,1.80,13.70,0.6500,-39,94,55,133,127,104,1518,1489,786.952,-14.579,-6.000,786.952,-14.178,0.3039
1888,1.8880,1.80,7.50,0.6000,-32,92,60,124,81,92,1599,1581,832.218,-13.084,-3.724,832.221,-12.755,45.2913
2087,2.0870,-2.40,2.80,0.5100,-23,94,71,117,101,142,1700,1723,895.805,-15.039,4.759,895.782,-15.419,0.3197
