OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
108,108,0,0,0,0,0.00,S,108,1,0,0.0,0.0
108,102,3,131,138,3,0.00,S,105,1,212,-0.0,-0.9
108,102,3,131,138,3,0.00,S,105,1,212,-0.0,-0.9
100,94,0,219,221,3,0.07,S,97,1,424,-0.7,0.1
100,94,0,219,221,3,0.07,S,97,1,425,-0.7,0.1
89,73,3,229,230,8,0.16,S,81,1,637,-0.9,-1.0
89,73,3,229,230,8,0.16,S,81,1,637,-0.9,-1.0
88,72,2,189,183,8,0.28,S,75,1,849,-1.2,-0.7
88,72,2,189,183,8,0.28,S,75,1,850,-1.2,-0.7
86,74,0,170,174,6,0.38,S,72,1,1071,-1.1,-0.1
86,74,0,170,174,6,0.38,S,72,1,1071,-1.1,-0.1
85,75,0,180,177,5,0.48,S,69,1,1292,-1.0,0.0
85,75,0,180,177,5,0.48,S,69,1,1292,-1.0,0.0
82,78,-2,178,175,2,0.56,S,68,1,1512,-0.8,0.7
82,78,-2,178,175,2,0.56,S,68,1,1513,-0.8,0.7
79,81,-5,104,100,-1,0.63,S,75,1,1644,-0.7,1.6
79,81,-5,104,100,-1,0.63,S,75,1,1644,-0.7,1.6
-84,-76,-5,105,100,-4,0.68,S,-13,1,1775,-0.2,1.7
75,85,-6,-4,-5,-5,0.70,S,32,1,1897,-0.2,1.9
75,85,-6,-1,-1,-5,0.71,S,63,1,1902,-0.2,1.9
80,80,-2,31,35,0,0.72,S,60,1,2031,-0.4,0.7
83,77,0,75,76,3,0.76,S,73,1,2153,-0.4,-0.1
83,77,0,75,76,3,0.76,S,73,1,2157,-0.4,-0.1
81,79,-2,85,85,1,0.79,S,7,1,2277,-0.5,0.6
84,76,1,105,106,4,0.84,S,32,1,2399,-0.5,-0.3
84,76,1,2,2,4,0.86,S,62,1,2403,-0.5,-0.3
84,76,0,99,96,4,0.88,S,22,1,2533,-0.7,0.0
82,78,-1,172,169,2,0.94,S,35,1,2745,-0.5,0.5
82,78,-1,172,169,2,0.94,S,35,1,2745,-0.5,0.5
84,76,0,178,180,4,0.99,S,43,1,2966,-0.6,0.0
84,76,0,178,180,4,0.99,S,43,1,2966,-0.6,0.0
67,93,-9,173,143,-13,0.89,S,51,1,3187,1.0,2.8
67,93,-9,173,143,-13,0.89,S,51,1,3188,1.0,2.8
77,83,0,171,187,-3,0.80,S,54,1,3409,0.9,0.0
77,83,0,171,187,-3,0.80,S,54,1,3409,0.9,0.0
84,76,5,165,170,4,0.78,S,57,1,3631,0.2,-1.5
84,76,5,165,170,4,0.78,S,57,1,3631,0.2,-1.5
89,71,9,93,99,9,0.77,S,68,1,3762,0.1,-2.7
89,71,9,93,99,9,0.77,S,68,1,3762,0.1,-2.7
-69,-91,8,91,94,11,0.77,S,-5,1,3894,-0.6,-2.4
-69,-91,8,91,94,11,0.77,S,-5,1,3895,-0.6,-2.4
84,76,1,-48,-56,4,0.82,S,42,1,4107,-0.5,-0.3
