HB:t=4029,m=S,run=1,el=154,er=157,yaw=0.2,yr=-0.4,pc=60,hd=1,dp=1,OL=81,OR=79,hi=1.16
HB:t=4251,m=S,run=1,el=147,er=149,yaw=0.0,yr=-0.5,pc=66,hd=3,dp=2,OL=83,OR=77,hi=1.15
HB:t=4251,m=S,run=1,el=147,er=149,yaw=0.0,yr=-0.5,pc=66,hd=3,dp=2,OL=83,OR=77,hi=1.15
HB:t=4382,m=S,run=1,el=84,er=84,yaw=0.0,yr=-0.5,pc=77,hd=3,dp=2,OL=83,OR=77,hi=1.15
HB:t=4382,m=S,run=1,el=84,er=84,yaw=0.0,yr=-0.5,pc=77,hd=3,dp=2,OL=83,OR=77,hi=1.15
HB:t=4515,m=S,run=1,el=91,er=91,yaw=-0.0,yr=-0.1,pc=56,hd=2,dp=0,OL=82,OR=78,hi=1.15
HB:t=4515,m=S,run=1,el=91,er=91,yaw=-0.0,yr=-0.1,pc=56,hd=2,dp=0,OL=82,OR=78,hi=1.15
HB:t=4637,m=S,run=1,el=97,er=98,yaw=-0.1,yr=-0.3,pc=68,hd=2,dp=1,OL=82,OR=78,hi=1.16
HB:t=4642,m=S,run=1,el=97,er=98,yaw=-0.1,yr=-0.3,pc=68,hd=2,dp=1,OL=82,OR=78,hi=1.16
HB:t=4771,m=S,run=1,el=97,er=97,yaw=-0.2,yr=-0.1,pc=16,hd=2,dp=0,OL=82,OR=78,hi=1.16
HB:t=4983,m=S,run=1,el=168,er=164,yaw=-0.1,yr=-1.0,pc=34,hd=5,dp=3,OL=85,OR=75,hi=1.18
HB:t=4984,m=S,run=1,el=168,er=164,yaw=-0.1,yr=-1.0,pc=34,hd=5,dp=3,OL=85,OR=75,hi=1.18
HB:t=5196,m=S,run=1,el=156,er=152,yaw=0.1,yr=-0.4,pc=48,hd=2,dp=1,OL=82,OR=78,hi=1.17
HB:t=5196,m=S,run=1,el=156,er=152,yaw=0.1,yr=-0.4,pc=48,hd=2,dp=1,OL=82,OR=78,hi=1.17
HB:t=5409,m=S,run=1,el=154,er=152,yaw=0.2,yr=-0.1,pc=57,hd=0,dp=0,OL=80,OR=80,hi=1.13
