HB:t=4360,m=S,run=1,el=206,er=202,yaw=-0.3,yr=0.4,pc=12,hd=0,dp=-1,OL=92,OR=92,hi=0.03
HB:t=4361,m=S,run=1,el=206,er=202,yaw=-0.3,yr=0.4,pc=12,hd=0,dp=-1,OL=92,OR=92,hi=0.03
HB:t=4582,m=S,run=1,el=212,er=212,yaw=-0.3,yr=0.0,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.03
HB:t=4582,m=S,run=1,el=212,er=212,yaw=-0.3,yr=0.0,pc=15,hd=2,dp=0,OL=97,OR=93,hi=0.03
HB:t=4713,m=S,run=1,el=136,er=137,yaw=-0.4,yr=-0.7,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
HB:t=4714,m=S,run=1,el=136,er=137,yaw=-0.4,yr=-0.7,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
HB:t=4846,m=S,run=1,el=126,er=123,yaw=-0.3,yr=0.5,pc=1,hd=1,dp=-1,OL=82,OR=80,hi=0.04
HB:t=5058,m=S,run=1,el=205,er=204,yaw=-0.1,yr=0.4,pc=8,hd=-1,dp=-1,OL=87,OR=89,hi=0.04
HB:t=5059,m=S,run=1,el=205,er=204,yaw=-0.1,yr=0.4,pc=8,hd=-1,dp=-1,OL=87,OR=89,hi=0.04
HB:t=5280,m=S,run=1,el=208,er=207,yaw=-0.1,yr=0.9,pc=12,hd=-2,dp=-3,OL=90,OR=94,hi=0.04
HB:t=5280,m=S,run=1,el=208,er=207,yaw=-0.1,yr=0.9,pc=12,hd=-2,dp=-3,OL=90,OR=94,hi=0.04
HB:t=5501,m=S,run=1,el=211,er=211,yaw=-0.2,yr=0.3,pc=16,hd=0,dp=-1,OL=96,OR=96,hi=0.04
HB:t=5501,m=S,run=1,el=211,er=211,yaw=-0.2,yr=0.3,pc=16,hd=0,dp=-1,OL=96,OR=96,hi=0.04
HB:t=5722,m=S,run=1,el=227,er=229,yaw=-0.3,yr=-0.6,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
HB:t=5722,m=S,run=1,el=227,er=229,yaw=-0.3,yr=-0.6,pc=18,hd=4,dp=2,OL=102,OR=94,hi=0.04
HB:t=5853,m=S,run=1,el=145,er=145,yaw=-0.4,yr=-1.1,pc=20,hd=6,dp=3,OL=106,OR=94,hi=0.04
HB:t=5853,m=S,run=1,el=145,er=145,yaw=-0.4,yr=-1.1,pc=20,hd=6,dp=3,OL=106,OR=94,hi=0.04
HB:t=5985,m=S,run=1,el=142,er=141,yaw=-0.4,yr=-0.2,pc=10,hd=3,dp=1,OL=93,OR=87,hi=0.04
HB:t=5986,m=S,run=1,el=142,er=141,yaw=-0.4,yr=-0.2,pc=10,hd=3,dp=1,OL=93,OR=87,hi=0.04
