t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
220,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
221,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
433,S,1,133,142,-0.2,-1.2,99,5,4,104,94,0.000,0,0.00
433,S,1,133,142,-0.2,-1.2,99,5,4,104,94,0.000,0,0.00
655,S,1,230,233,-0.6,-1.7,96,9,5,105,87,0.010,0,0.00
655,S,1,230,233,-0.6,-1.7,96,9,5,105,87,0.010,0,0.00
876,S,1,237,238,-1.0,-1.9,93,12,6,105,81,0.020,0,0.00
876,S,1,237,238,-1.0,-1.9,93,12,6,105,81,0.020,0,0.00
1098,S,1,232,223,-1.0,0.4,91,5,-1,96,86,0.020,0,0.00
1098,S,1,232,223,-1.0,0.4,91,5,-1,96,86,0.020,0,0.00
1229,S,1,132,133,-0.9,2.1,92,-2,-7,90,94,0.030,0,0.00
1230,S,1,132,133,-0.9,2.1,92,-2,-7,90,94,0.030,0,0.00
1362,S,1,120,120,-0.4,0.7,1,0,-2,80,80,0.030,0,0.00
1574,S,1,196,194,-0.4,1.0,30,-1,-3,79,81,0.040,0,0.00
1574,S,1,0,1,-0.4,1.0,55,-1,-3,79,81,0.040,0,0.00
1795,S,1,188,183,-0.2,0.5,65,0,-1,80,80,0.040,0,0.00
1795,S,1,188,183,-0.2,0.5,65,0,-1,80,80,0.040,0,0.00
2017,S,1,176,179,-0.3,-0.5,76,3,2,83,77,0.040,0,0.00
2017,S,1,176,179,-0.3,-0.5,76,3,2,83,77,0.040,0,0.00
2238,S,1,171,171,-0.3,-0.5,84,4,2,88,80,0.050,0,0.00
2238,S,1,171,171,-0.3,-0.5,84,4,2,88,80,0.050,0,0.00
2369,S,1,109,104,-0.3,0.2,90,1,0,91,89,0.050,0,0.00
2370,S,1,109,104,-0.3,0.2,90,1,0,91,89,0.050,0,0.00
2501,S,1,112,111,-0.1,0.1,2,0,0,80,80,0.050,0,0.00
2713,S,1,188,192,-0.2,-1.0,31,4,3,84,76,0.050,0,0.00
2714,S,1,0,0,-0.2,-1.0,55,4,3,84,76,0.050,0,0.00
2935,S,1,186,180,-0.1,-0.1,64,1,0,81,79,0.050,0,0.00
2935,S,1,186,180,-0.1,-0.1,64,1,0,81,79,0.050,0,0.00
3156,S,1,181,179,0.0,0.0,74,0,0,80,80,0.050,0,0.00
3157,S,1,181,179,0.0,0.0,74,0,0,80,80,0.050,0,0.00
3377,S,1,166,172,-0.2,-0.1,82,2,0,84,80,0.050,0,0.00
3378,S,1,166,172,-0.2,-0.1,82,2,0,84,80,0.050,0,0.00
3508,S,1,105,104,-0.3,-1.1,89,5,3,94,84,0.060,0,0.00
3509,S,1,105,104,-0.3,-1.1,89,5,3,94,84,0.060,0,0.00
3641,S,1,111,106,-0.2,-0.1,3,2,0,82,78,0.060,0,0.00
3763,S,1,110,109,-0.2,0.7,32,-1,-2,79,81,0.060,0,0.00
3768,S,1,1,1,-0.2,0.7,55,-1,-2,79,81,0.060,0,0.00
3897,S,1,101,102,-0.0,-0.2,30,1,1,81,79,0.060,0,0.00
4019,S,1,101,101,-0.0,-0.1,51,1,0,81,79,0.060,0,0.00
4023,S,1,101,101,-0.0,-0.1,51,1,0,81,79,0.060,0,0.00
4143,S,1,91,88,-0.0,-0.0,6,0,0,80,80,0.060,0,0.00
4355,S,1,176,173,0.1,0.7,33,-3,-2,77,83,0.060,0,0.00
4355,S,1,176,173,0.1,0.7,33,-3,-2,77,83,0.060,0,0.00
4576,S,1,171,175,0.0,-0.4,51,1,1,81,79,0.060,0,0.00
4576,S,1,171,175,0.0,-0.4,51,1,1,81,79,0.060,0,0.00
4708,S,1,104,104,-0.0,-1.3,66,4,4,84,76,0.060,0,0.00
4708,S,1,104,104,-0.0,-1.3,66,4,4,84,76,0.060,0,0.00
4840,S,1,98,96,-0.1,-0.3,3,2,1,82,78,0.060,0,0.00
5052,S,1,177,174,0.2,-0.2,30,0,0,80,80,0.060,0,0.00
5053,S,1,177,174,0.2,-0.2,30,0,0,80,80,0.060,0,0.00
5274,S,1,183,179,0.4,0.4,49,-3,-1,77,83,0.050,0,0.00
5274,S,1,183,179,0.4,0.4,49,-3,-1,77,83,0.050,0,0.00
5495,S,1,181,179,0.5,0.1,62,-3,0,77,83,0.050,0,0.00
5496,S,1,181,179,0.5,0.1,62,-3,0,77,83,0.050,0,0.00
5716,S,1,186,183,0.6,0.3,71,-5,-1,75,85,0.040,0,0.00
5717,S,1,186,183,0.6,0.3,71,-5,-1,75,85,0.040,0,0.00
5847,S,1,105,103,0.6,0.8,79,-6,-3,74,86,0.040,0,0.00
5848,S,1,105,103,0.6,0.8,79,-6,-3,74,86,0.040,0,0.00
5980,S,1,95,99,0.4,0.2,6,-3,-1,77,83,0.040,0,0.00
6102,S,1,102,105,0.4,-0.8,33,0,2,80,80,0.030,0,0.00
