HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=1,hd=0,OL=1,OR=1
HB:t=185,m=S,run=1,el=35,er=41,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=185,m=S,run=1,el=45,er=45,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=327,m=S,run=1,el=83,er=83,yaw=-0.0,yr=-0.0,pc=3,hd=0,OL=3,OR=3
HB:t=327,m=S,run=1,el=16,er=16,yaw=-0.0,yr=-0.0,pc=4,hd=0,OL=4,OR=4
HB:t=386,m=S,run=1,el=8,er=8,yaw=-0.0,yr=-0.2,pc=4,hd=0,OL=4,OR=4
HB:t=386,m=S,run=1,el=33,er=33,yaw=-0.0,yr=-0.2,pc=5,hd=0,OL=5,OR=5
HB:t=527,m=S,run=1,el=87,er=87,yaw=-0.1,yr=-0.3,pc=6,hd=0,OL=6,OR=6
HB:t=527,m=S,run=1,el=16,er=16,yaw=-0.1,yr=-0.3,pc=7,hd=0,OL=7,OR=7
HB:t=586,m=S,run=1,el=8,er=8,yaw=-0.2,yr=-0.7,pc=8,hd=0,OL=8,OR=8
HB:t=586,m=S,run=1,el=35,er=35,yaw=-0.2,yr=-0.7,pc=9,hd=0,OL=9,OR=9
HB:t=727,m=S,run=1,el=105,er=104,yaw=-0.1,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=727,m=S,run=1,el=22,er=21,yaw=-0.1,yr=-0.5,pc=10,hd=0,OL=10,OR=10
HB:t=786,m=S,run=1,el=11,er=11,yaw=-0.1,yr=-0.3,pc=11,hd=0,OL=11,OR=11
HB:t=786,m=S,run=1,el=50,er=50,yaw=-0.1,yr=-0.3,pc=11,hd=0,OL=11,OR=11
HB:t=927,m=S,run=1,el=139,er=138,yaw=-0.0,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=927,m=S,run=1,el=25,er=25,yaw=-0.0,yr=-0.2,pc=9,hd=0,OL=9,OR=9
HB:t=986,m=S,run=1,el=11,er=12,yaw=-0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=986,m=S,run=1,el=55,er=53,yaw=-0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1127,m=S,run=1,el=134,er=134,yaw=-0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1127,m=S,run=1,el=25,er=24,yaw=-0.0,yr=0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1186,m=S,run=1,el=11,er=11,yaw=-0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1186,m=S,run=1,el=51,er=51,yaw=-0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1327,m=S,run=1,el=133,er=132,yaw=0.1,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=1327,m=S,run=1,el=24,er=24,yaw=0.1,yr=0.1,pc=9,hd=0,OL=9,OR=9
HB:t=1386,m=S,run=1,el=12,er=11,yaw=0.1,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1386,m=S,run=1,el=49,er=51,yaw=0.1,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1527,m=S,run=1,el=126,er=129,yaw=0.0,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1527,m=S,run=1,el=24,er=23,yaw=0.0,yr=-0.0,pc=9,hd=0,OL=9,OR=9
HB:t=1586,m=S,run=1,el=11,er=11,yaw=-0.1,yr=-0.6,pc=10,hd=0,OL=10,OR=10
HB:t=1586,m=S,run=1,el=50,er=48,yaw=-0.1,yr=-0.6,pc=10,hd=0,OL=10,OR=10
HB:t=1727,m=S,run=1,el=129,er=127,yaw=-0.1,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=1727,m=S,run=1,el=24,er=24,yaw=-0.1,yr=-0.5,pc=9,hd=0,OL=9,OR=9
HB:t=1786,m=S,run=1,el=11,er=11,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
HB:t=1786,m=S,run=1,el=50,er=50,yaw=0.0,yr=0.0,pc=10,hd=0,OL=10,OR=10
