t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
220,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
220,S,1,0,0,0.0,0.0,102,0,0,102,102,-0.000,0,0.00
342,S,1,57,61,0.0,0.0,101,0,0,101,101,-0.000,0,0.00
347,S,1,2,1,0.0,0.0,101,0,0,101,101,-0.000,0,0.00
476,S,1,111,109,0.2,0.3,29,-2,-1,78,82,-0.000,0,0.00
598,S,1,114,113,0.2,0.2,48,-2,-1,78,82,-0.000,0,0.00
602,S,1,114,113,0.2,0.2,48,-2,-1,78,82,-0.000,0,0.00
722,S,1,92,90,0.4,0.8,1,-5,-3,75,85,-0.000,0,0.00
934,S,1,171,169,0.6,0.5,28,-5,-2,75,85,-0.000,0,0.00
934,S,1,171,169,0.6,0.5,28,-5,-2,75,85,-0.000,0,0.00
1155,S,1,179,180,0.5,0.2,46,-3,-1,77,83,-0.010,0,0.00
1156,S,1,179,180,0.5,0.2,46,-3,-1,77,83,-0.010,0,0.00
1376,S,1,169,172,0.2,-0.3,59,0,1,80,80,-0.010,0,0.00
1377,S,1,169,172,0.2,-0.3,59,0,1,80,80,-0.010,0,0.00
1508,S,1,102,102,0.2,0.1,70,-1,0,79,81,-0.010,0,0.00
1508,S,1,102,102,0.2,0.1,70,-1,0,79,81,-0.010,0,0.00
1640,S,1,95,93,0.3,0.9,4,-4,-3,76,84,-0.010,0,0.00
1641,S,1,95,93,0.3,0.9,4,-4,-3,76,84,-0.010,0,0.00
1762,S,1,101,103,0.3,0.4,30,-3,-1,77,83,-0.010,0,0.00
1767,S,1,2,2,0.3,0.4,51,-3,-1,77,83,-0.010,0,0.00
1896,S,1,97,101,0.1,-1.1,18,3,3,83,77,-0.010,0,0.00
2018,S,1,100,98,0.1,-0.9,40,2,3,82,78,-0.010,0,0.00
2022,S,1,100,98,0.1,-0.9,40,2,3,82,78,-0.010,0,0.00
2142,S,1,88,85,0.3,-0.2,1,-1,1,79,81,-0.010,0,0.00
2354,S,1,174,170,0.5,0.9,27,-6,-3,74,86,-0.010,0,0.00
2355,S,1,1,0,0.5,0.9,49,-6,-3,74,86,-0.010,0,0.00
2576,S,1,169,181,0.1,-1.8,57,5,6,85,75,-0.010,0,0.00
2576,S,1,169,181,0.1,-1.8,57,5,6,85,75,-0.010,0,0.00
2707,S,1,103,103,-0.1,-2.5,68,9,8,89,71,-0.010,0,0.00
2708,S,1,103,103,-0.1,-2.5,68,9,8,89,71,-0.010,0,0.00
2840,S,1,94,89,-0.2,-0.0,4,1,0,81,79,-0.010,0,0.00
