HB:t=2732,m=S,run=1,el=242,er=282,yaw=10.1,yr=-18.0,pc=-60,hd=-2,OL=-60,OR=-58
HB:t=2778,m=S,run=1,el=37,er=54,yaw=11.8,yr=9.0,pc=18,hd=-6,OL=12,OR=24
HB:t=2791,m=S,run=1,el=20,er=23,yaw=12.4,yr=12.7,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=2813,m=S,run=1,el=27,er=31,yaw=12.3,yr=0.3,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=2932,m=S,run=1,el=-227,er=-116,yaw=12.2,yr=-0.0,pc=60,hd=-2,OL=58,OR=60
HB:t=2978,m=S,run=1,el=-35,er=-4,yaw=12.2,yr=-1.5,pc=-32,hd=-3,OL=-35,OR=-29
HB:t=2991,m=S,run=1,el=-25,er=-16,yaw=12.2,yr=-0.9,pc=60,hd=-3,OL=57,OR=60
HB:t=3013,m=S,run=1,el=-36,er=-33,yaw=12.6,yr=7.3,pc=60,hd=-3,OL=57,OR=60
HB:t=3132,m=S,run=1,el=263,er=284,yaw=12.8,yr=5.5,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=3178,m=S,run=1,el=37,er=59,yaw=17.4,yr=57.1,pc=15,hd=-11,OL=4,OR=26
HB:t=3191,m=S,run=1,el=19,er=25,yaw=18.5,yr=38.9,pc=-60,hd=-4,OL=-60,OR=-56
HB:t=3213,m=S,run=1,el=24,er=34,yaw=18.3,yr=6.2,pc=-60,hd=-4,OL=-60,OR=-56
HB:t=3332,m=S,run=1,el=-238,er=-157,yaw=18.2,yr=3.8,pc=60,hd=-4,OL=56,OR=60
HB:t=3378,m=S,run=1,el=-37,er=-18,yaw=15.6,yr=-29.2,pc=-23,hd=0,OL=-23,OR=-23
HB:t=3391,m=S,run=1,el=-24,er=-17,yaw=14.1,yr=-33.6,pc=60,hd=-3,OL=57,OR=60
HB:t=3413,m=S,run=1,el=-35,er=-31,yaw=13.7,yr=-18.3,pc=60,hd=-3,OL=57,OR=60
HB:t=3532,m=S,run=1,el=234,er=295,yaw=13.5,yr=-12.6,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=3578,m=S,run=1,el=34,er=70,yaw=18.6,yr=52.6,pc=8,hd=-13,OL=0,OR=21
HB:t=3591,m=S,run=1,el=20,er=23,yaw=20.6,yr=50.4,pc=-50,hd=-5,OL=-55,OR=-45
HB:t=3613,m=S,run=1,el=22,er=34,yaw=20.5,yr=10.5,pc=-56,hd=-5,OL=-60,OR=-51
HB:t=3732,m=S,run=1,el=-228,er=-115,yaw=20.6,yr=7.1,pc=60,hd=-5,OL=55,OR=60
HB:t=3778,m=S,run=1,el=-32,er=-2,yaw=19.1,yr=-13.1,pc=-32,hd=-1,OL=-33,OR=-31
HB:t=3790,m=S,run=1,el=-27,er=-13,yaw=17.7,yr=-25.6,pc=60,hd=-4,OL=56,OR=60
HB:t=3813,m=S,run=1,el=-35,er=-30,yaw=17.3,yr=-15.7,pc=60,hd=-4,OL=56,OR=60
HB:t=3932,m=S,run=1,el=211,er=313,yaw=16.8,yr=-11.9,pc=-60,hd=-3,OL=-60,OR=-57
HB:t=3978,m=S,run=1,el=29,er=76,yaw=19.9,yr=25.2,pc=6,hd=-11,OL=0,OR=17
HB:t=3990,m=S,run=1,el=17,er=20,yaw=22.0,yr=41.5,pc=-44,hd=-5,OL=-49,OR=-39
HB:t=4013,m=S,run=1,el=19,er=32,yaw=21.8,yr=6.8,pc=-58,hd=-5,OL=-60,OR=-53
HB:t=4132,m=S,run=1,el=-237,er=-119,yaw=21.8,yr=4.4,pc=60,hd=-5,OL=55,OR=60
HB:t=4178,m=S,run=1,el=-33,er=-4,yaw=18.8,yr=-32.9,pc=-32,hd=0,OL=-32,OR=-32
HB:t=4190,m=S,run=1,el=-26,er=-16,yaw=17.9,yr=-27.7,pc=60,hd=-4,OL=56,OR=60
HB:t=4213,m=S,run=1,el=-32,er=-33,yaw=18.0,yr=-3.6,pc=60,hd=-4,OL=56,OR=60
HB:t=4332,m=S,run=1,el=223,er=291,yaw=17.9,yr=-2.9,pc=-60,hd=-4,OL=-60,OR=-56
