t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
0,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
212,S,1,138,132,0.2,1.6,96,-6,-5,90,102,-0.000,0,0.00
212,S,1,138,132,0.2,1.6,96,-6,-5,90,102,-0.000,0,0.00
433,S,1,236,230,0.7,1.9,93,-10,-6,83,103,-0.010,0,0.00
434,S,1,236,230,0.7,1.9,93,-10,-6,83,103,-0.010,0,0.00
565,S,1,141,145,0.7,1.7,93,-10,-5,83,103,-0.010,0,0.00
565,S,1,141,145,0.7,1.7,93,-10,-5,83,103,-0.010,0,0.00
697,S,1,125,125,0.9,0.4,1,-7,-1,73,87,-0.010,0,0.00
698,S,1,125,125,0.9,0.4,1,-7,-1,73,87,-0.010,0,0.00
910,S,1,198,201,0.7,-0.5,32,-3,2,77,83,-0.020,0,0.00
910,S,1,198,201,0.7,-0.5,32,-3,2,77,83,-0.020,0,0.00
1131,S,1,195,195,0.5,-0.1,53,-3,0,77,83,-0.020,0,0.00
1132,S,1,195,195,0.5,-0.1,53,-3,0,77,83,-0.020,0,0.00
1353,S,1,177,181,0.2,-1.1,69,2,4,82,78,-0.030,0,0.00
1353,S,1,177,181,0.2,-1.1,69,2,4,82,78,-0.030,0,0.00
1484,S,1,108,111,0.1,-1.0,81,2,3,83,79,-0.030,0,0.00
1485,S,1,108,111,0.1,-1.0,81,2,3,83,79,-0.030,0,0.00
1617,S,1,115,116,-0.1,-0.8,1,3,2,83,77,-0.030,0,0.00
1738,S,1,124,119,-0.2,-1.1,33,5,3,85,75,-0.030,0,0.00
1743,S,1,1,1,-0.2,-1.1,59,5,3,85,75,-0.030,0,0.00
1872,S,1,110,112,-0.4,-0.3,25,3,1,83,77,-0.030,0,0.00
1994,S,1,102,109,-0.4,0.5,50,0,-2,80,80,-0.020,0,0.00
1998,S,1,102,109,-0.4,0.5,50,0,-2,80,80,-0.020,0,0.00
2118,S,1,92,92,-0.3,0.6,9,0,-2,80,80,-0.020,0,0.00
2330,S,1,181,181,-0.4,0.2,37,2,-1,82,78,-0.020,0,0.00
2330,S,1,181,181,-0.4,0.2,37,2,-1,82,78,-0.020,0,0.00
2551,S,1,177,178,-0.5,0.3,57,2,-1,82,78,-0.020,0,0.00
2551,S,1,177,178,-0.5,0.3,57,2,-1,82,78,-0.020,0,0.00
2772,S,1,179,174,-0.5,0.2,71,2,-1,82,78,-0.010,0,0.00
2773,S,1,179,174,-0.5,0.2,71,2,-1,82,78,-0.010,0,0.00
2904,S,1,112,111,-0.5,0.2,82,2,-1,84,80,-0.010,0,0.00
2904,S,1,112,111,-0.5,0.2,82,2,-1,84,80,-0.010,0,0.00
3036,S,1,110,112,-0.5,-0.2,1,3,1,83,77,-0.010,0,0.00
3037,S,1,110,112,-0.5,-0.2,1,3,1,83,77,-0.010,0,0.00
3249,S,1,189,185,-0.3,0.1,31,1,0,81,79,-0.000,0,0.00
3249,S,1,189,185,-0.3,0.1,31,1,0,81,79,-0.000,0,0.00
3470,S,1,183,180,-0.1,0.2,52,0,-1,80,80,-0.000,0,0.00
3471,S,1,183,180,-0.1,0.2,52,0,-1,80,80,-0.000,0,0.00
3692,S,1,181,179,-0.0,0.3,66,-1,-1,79,81,-0.000,0,0.00
3692,S,1,181,179,-0.0,0.3,66,-1,-1,79,81,-0.000,0,0.00
3823,S,1,100,98,-0.0,0.5,78,-1,-1,79,81,-0.000,0,0.00
3824,S,1,100,98,-0.0,0.5,78,-1,-1,79,81,-0.000,0,0.00
3956,S,1,101,98,0.0,-0.2,9,0,1,80,80,-0.000,0,0.00
4077,S,1,104,103,0.0,0.4,37,-2,-1,78,82,-0.000,0,0.00
