HB:t=4183,m=S,run=1,el=80,er=76,yaw=0.5,yr=-0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4301,m=S,run=1,el=94,er=91,yaw=0.6,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=4309,m=S,run=1,el=5,er=5,yaw=0.6,yr=2.4,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=4415,m=S,run=1,el=81,er=88,yaw=0.6,yr=-0.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=4534,m=S,run=1,el=90,er=95,yaw=0.6,yr=-1.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=4542,m=S,run=1,el=2,er=1,yaw=0.6,yr=-2.4,pc=12,hd=0,dp=1,OL=12,OR=12
HB:t=4600,m=S,run=1,el=51,er=47,yaw=0.4,yr=-2.4,pc=12,hd=0,dp=1,OL=12,OR=12
HB:t=4749,m=S,run=1,el=110,er=110,yaw=0.3,yr=-2.4,pc=10,hd=0,dp=1,OL=10,OR=10
HB:t=4749,m=S,run=1,el=27,er=27,yaw=0.3,yr=1.4,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=4867,m=S,run=1,el=9,er=9,yaw=0.4,yr=4.2,pc=11,hd=-2,dp=-1,OL=9,OR=13
HB:t=4867,m=S,run=1,el=88,er=95,yaw=0.4,yr=0.4,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=4986,m=S,run=1,el=91,er=89,yaw=0.3,yr=-1.5,pc=9,hd=0,dp=1,OL=9,OR=9
HB:t=4994,m=S,run=1,el=1,er=0,yaw=0.3,yr=-3.0,pc=14,hd=1,dp=1,OL=15,OR=13
HB:t=5101,m=S,run=1,el=102,er=97,yaw=0.2,yr=-2.8,pc=12,hd=1,dp=1,OL=13,OR=11
HB:t=5219,m=S,run=1,el=113,er=109,yaw=0.2,yr=-2.7,pc=11,hd=1,dp=1,OL=12,OR=10
HB:t=5227,m=S,run=1,el=8,er=7,yaw=0.2,yr=-2.5,pc=11,hd=0,dp=1,OL=11,OR=11
HB:t=5333,m=S,run=1,el=100,er=99,yaw=0.5,yr=-0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=5517,m=S,run=1,el=103,er=97,yaw=0.8,yr=0.6,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5518,m=S,run=1,el=60,er=64,yaw=0.8,yr=0.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=5725,m=S,run=1,el=91,er=90,yaw=0.7,yr=-0.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=5725,m=S,run=1,el=69,er=71,yaw=0.7,yr=0.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=5925,m=S,run=1,el=107,er=110,yaw=0.5,yr=0.1,pc=12,hd=-1,dp=0,OL=11,OR=13
HB:t=5926,m=S,run=1,el=92,er=93,yaw=0.5,yr=-0.5,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6125,m=S,run=1,el=122,er=117,yaw=0.7,yr=-1.0,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6125,m=S,run=1,el=88,er=88,yaw=0.7,yr=0.5,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=6325,m=S,run=1,el=123,er=127,yaw=0.3,yr=1.5,pc=12,hd=-1,dp=-1,OL=11,OR=13
HB:t=6325,m=S,run=1,el=96,er=100,yaw=0.3,yr=-0.1,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=6525,m=S,run=1,el=138,er=137,yaw=-0.1,yr=-1.3,pc=13,hd=0,dp=0,OL=13,OR=13
HB:t=6526,m=S,run=1,el=107,er=110,yaw=-0.1,yr=-1.2,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6725,m=S,run=1,el=133,er=135,yaw=-0.2,yr=-1.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6726,m=S,run=1,el=95,er=94,yaw=-0.2,yr=-1.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=6925,m=S,run=1,el=115,er=117,yaw=-0.4,yr=-1.0,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=6926,m=S,run=1,el=85,er=87,yaw=-0.4,yr=-1.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7054,m=S,run=1,el=124,er=123,yaw=-0.4,yr=-1.1,pc=13,hd=0,dp=0,OL=13,OR=13
HB:t=7059,m=S,run=1,el=2,er=2,yaw=-0.4,yr=0.3,pc=16,hd=0,dp=0,OL=16,OR=16
HB:t=7174,m=S,run=1,el=137,er=134,yaw=-0.3,yr=1.3,pc=12,hd=-1,dp=0,OL=11,OR=13
HB:t=7292,m=S,run=1,el=122,er=130,yaw=-0.3,yr=1.7,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=7300,m=S,run=1,el=5,er=5,yaw=-0.3,yr=2.0,pc=12,hd=-1,dp=-1,OL=11,OR=13
HB:t=7397,m=S,run=1,el=98,er=101,yaw=-0.8,yr=-1.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=7586,m=S,run=1,el=108,er=107,yaw=-0.9,yr=-2.7,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=7586,m=S,run=1,el=79,er=70,yaw=-0.9,yr=-0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=7715,m=S,run=1,el=102,er=104,yaw=-0.9,yr=1.7,pc=10,hd=0,dp=-1,OL=10,OR=10
HB:t=7723,m=S,run=1,el=1,er=1,yaw=-0.9,yr=1.9,pc=14,hd=-1,dp=-1,OL=13,OR=15
HB:t=7834,m=S,run=1,el=115,er=119,yaw=-0.7,yr=1.1,pc=12,hd=0,dp=0,OL=12,OR=12
HB:t=8023,m=S,run=1,el=118,er=116,yaw=-0.6,yr=0.7,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8023,m=S,run=1,el=82,er=79,yaw=-0.6,yr=1.1,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8151,m=S,run=1,el=104,er=104,yaw=-0.5,yr=1.4,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=8160,m=S,run=1,el=5,er=5,yaw=-0.5,yr=1.4,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=8264,m=S,run=1,el=91,er=92,yaw=-0.6,yr=1.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=8383,m=S,run=1,el=98,er=99,yaw=-0.6,yr=0.9,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8391,m=S,run=1,el=3,er=3,yaw=-0.6,yr=0.8,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=8497,m=S,run=1,el=95,er=94,yaw=-0.7,yr=0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8615,m=S,run=1,el=97,er=95,yaw=-0.7,yr=-0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=8623,m=S,run=1,el=1,er=1,yaw=-0.7,yr=-0.7,pc=12,hd=0,dp=0,OL=12,OR=12
HB:t=8721,m=S,run=1,el=88,er=86,yaw=-0.5,yr=-0.1,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=8842,m=S,run=1,el=100,er=100,yaw=-0.5,yr=0.2,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=8847,m=S,run=1,el=4,er=4,yaw=-0.5,yr=2.4,pc=11,hd=-1,dp=-1,OL=10,OR=12
HB:t=8952,m=S,run=1,el=84,er=85,yaw=-0.4,yr=1.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=9141,m=S,run=1,el=88,er=88,yaw=-0.4,yr=0.3,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=9141,m=S,run=1,el=62,er=58,yaw=-0.4,yr=1.2,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=9343,m=S,run=1,el=83,er=84,yaw=-0.3,yr=1.9,pc=10,hd=-1,dp=-1,OL=9,OR=11
HB:t=9344,m=S,run=1,el=65,er=68,yaw=-0.3,yr=1.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9543,m=S,run=1,el=97,er=93,yaw=-0.1,yr=0.3,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=9544,m=S,run=1,el=78,er=74,yaw=-0.1,yr=0.8,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=9744,m=S,run=1,el=104,er=103,yaw=-0.2,yr=1.2,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=9744,m=S,run=1,el=75,er=79,yaw=-0.2,yr=0.4,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=9944,m=S,run=1,el=105,er=102,yaw=-0.0,yr=-0.2,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=9944,m=S,run=1,el=83,er=82,yaw=-0.0,yr=0.7,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=10144,m=S,run=1,el=107,er=106,yaw=0.1,yr=1.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=10144,m=S,run=1,el=76,er=77,yaw=0.1,yr=1.3,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=10269,m=S,run=1,el=101,er=98,yaw=0.1,yr=1.2,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=10278,m=S,run=1,el=6,er=6,yaw=0.1,yr=1.2,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=10383,m=S,run=1,el=89,er=91,yaw=0.2,yr=1.1,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=10501,m=S,run=1,el=97,er=98,yaw=0.2,yr=1.0,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=10510,m=S,run=1,el=4,er=4,yaw=0.2,yr=0.9,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=10615,m=S,run=1,el=87,er=84,yaw=0.1,yr=0.3,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10733,m=S,run=1,el=88,er=83,yaw=0.1,yr=-0.0,pc=10,hd=0,dp=0,OL=10,OR=10
HB:t=10741,m=S,run=1,el=3,er=3,yaw=0.1,yr=-0.3,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=10839,m=S,run=1,el=78,er=75,yaw=0.4,yr=0.4,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=11007,m=S,run=1,el=92,er=94,yaw=0.4,yr=0.8,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11008,m=S,run=1,el=52,er=53,yaw=0.4,yr=0.2,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11046,m=S,run=1,el=8,er=8,yaw=0.4,yr=-0.3,pc=11,hd=0,dp=0,OL=11,OR=11
HB:t=11244,m=S,run=1,el=95,er=91,yaw=0.6,yr=-0.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11244,m=S,run=1,el=78,er=77,yaw=0.6,yr=-0.1,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11438,m=S,run=1,el=86,er=86,yaw=0.8,yr=-0.1,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11439,m=S,run=1,el=63,er=63,yaw=0.8,yr=0.3,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11638,m=S,run=1,el=74,er=75,yaw=0.9,yr=0.5,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11638,m=S,run=1,el=54,er=53,yaw=0.9,yr=0.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11767,m=S,run=1,el=69,er=69,yaw=0.9,yr=0.9,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=11772,m=S,run=1,el=9,er=9,yaw=0.9,yr=0.9,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=11877,m=S,run=1,el=65,er=65,yaw=0.9,yr=0.7,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=12065,m=S,run=1,el=87,er=86,yaw=0.8,yr=0.6,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=12065,m=S,run=1,el=64,er=65,yaw=0.8,yr=0.5,pc=10,hd=-1,dp=0,OL=9,OR=11
HB:t=12274,m=S,run=1,el=90,er=92,yaw=0.6,yr=0.5,pc=11,hd=-1,dp=0,OL=10,OR=12
HB:t=12274,m=S,run=1,el=80,er=82,yaw=0.6,yr=-0.3,pc=10,hd=-1,dp=0,OL=9,OR=11
