HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,OL=0,OR=0
HB:t=185,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=2,hd=0,OL=2,OR=2
HB:t=185,m=S,run=1,el=14,er=15,yaw=0.0,yr=0.0,pc=3,hd=0,OL=3,OR=3
HB:t=322,m=S,run=1,el=44,er=53,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=325,m=S,run=1,el=9,er=10,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=345,m=S,run=1,el=6,er=6,yaw=0.0,yr=0.0,pc=4,hd=0,OL=4,OR=4
HB:t=365,m=S,run=1,el=6,er=7,yaw=0.0,yr=0.0,pc=5,hd=0,OL=5,OR=5
HB:t=410,m=S,run=1,el=26,er=30,yaw=-0.0,yr=-0.4,pc=6,hd=0,OL=6,OR=6
HB:t=542,m=S,run=1,el=68,er=83,yaw=-0.8,yr=-2.7,pc=7,hd=0,OL=7,OR=7
HB:t=542,m=S,run=1,el=17,er=20,yaw=-0.8,yr=-2.7,pc=8,hd=0,OL=8,OR=8
HB:t=562,m=S,run=1,el=6,er=8,yaw=-0.8,yr=-2.7,pc=8,hd=0,OL=8,OR=8
HB:t=582,m=S,run=1,el=6,er=8,yaw=-0.8,yr=-2.7,pc=9,hd=0,OL=9,OR=9
HB:t=656,m=S,run=1,el=47,er=60,yaw=-2.4,yr=-13.1,pc=10,hd=1,OL=11,OR=9
HB:t=779,m=S,run=1,el=81,er=98,yaw=-3.2,yr=-11.2,pc=11,hd=1,OL=12,OR=10
HB:t=782,m=S,run=1,el=15,er=16,yaw=-3.2,yr=-11.2,pc=11,hd=1,OL=12,OR=10
HB:t=802,m=S,run=1,el=10,er=10,yaw=-3.2,yr=-11.2,pc=11,hd=1,OL=12,OR=10
HB:t=822,m=S,run=1,el=9,er=10,yaw=-3.2,yr=-11.2,pc=11,hd=1,OL=12,OR=10
HB:t=888,m=S,run=1,el=63,er=70,yaw=-4.9,yr=-18.8,pc=11,hd=2,OL=13,OR=9
HB:t=1007,m=S,run=1,el=122,er=118,yaw=-5.6,yr=-14.5,pc=9,hd=3,OL=12,OR=6
HB:t=1015,m=S,run=1,el=15,er=13,yaw=-5.6,yr=-14.5,pc=10,hd=2,OL=12,OR=8
HB:t=1035,m=S,run=1,el=13,er=11,yaw=-5.6,yr=-14.5,pc=10,hd=2,OL=12,OR=8
HB:t=1055,m=S,run=1,el=13,er=11,yaw=-5.6,yr=-14.5,pc=10,hd=3,OL=13,OR=7
HB:t=1116,m=S,run=1,el=77,er=63,yaw=-5.8,yr=-11.1,pc=10,hd=2,OL=12,OR=8
HB:t=1239,m=S,run=1,el=136,er=106,yaw=-5.1,yr=-4.9,pc=9,hd=3,OL=12,OR=6
HB:t=1243,m=S,run=1,el=21,er=17,yaw=-5.1,yr=-4.9,pc=10,hd=2,OL=12,OR=8
HB:t=1263,m=S,run=1,el=13,er=10,yaw=-5.1,yr=-4.9,pc=10,hd=2,OL=12,OR=8
HB:t=1283,m=S,run=1,el=12,er=10,yaw=-5.1,yr=-4.9,pc=10,hd=2,OL=12,OR=8
HB:t=1323,m=S,run=1,el=46,er=36,yaw=-4.5,yr=1.2,pc=10,hd=2,OL=12,OR=8
HB:t=1454,m=S,run=1,el=139,er=100,yaw=-2.4,yr=7.4,pc=9,hd=2,OL=11,OR=7
HB:t=1454,m=S,run=1,el=33,er=23,yaw=-2.4,yr=7.4,pc=10,hd=1,OL=11,OR=9
HB:t=1474,m=S,run=1,el=13,er=10,yaw=-2.4,yr=7.4,pc=11,hd=1,OL=12,OR=10
HB:t=1494,m=S,run=1,el=13,er=9,yaw=-2.4,yr=7.4,pc=11,hd=1,OL=12,OR=10
HB:t=1543,m=S,run=1,el=60,er=43,yaw=-0.8,yr=16.2,pc=11,hd=0,OL=11,OR=11
HB:t=1713,m=S,run=1,el=135,er=109,yaw=4.0,yr=26.5,pc=9,hd=0,OL=9,OR=9
HB:t=1714,m=S,run=1,el=78,er=65,yaw=4.0,yr=26.5,pc=9,hd=-2,OL=7,OR=11
HB:t=1734,m=S,run=1,el=11,er=11,yaw=4.0,yr=26.5,pc=10,hd=-2,OL=8,OR=12
HB:t=1864,m=S,run=1,el=125,er=132,yaw=6.1,yr=22.4,pc=9,hd=-3,OL=6,OR=12
HB:t=1868,m=S,run=1,el=3,er=3,yaw=6.1,yr=22.4,pc=10,hd=-3,OL=7,OR=13
HB:t=1888,m=S,run=1,el=10,er=13,yaw=6.1,yr=22.4,pc=10,hd=-3,OL=7,OR=13
HB:t=1908,m=S,run=1,el=11,er=13,yaw=6.1,yr=22.4,pc=10,hd=-3,OL=7,OR=13
HB:t=1983,m=S,run=1,el=83,er=100,yaw=6.2,yr=15.4,pc=10,hd=-3,OL=7,OR=13
HB:t=2101,m=S,run=1,el=112,er=139,yaw=5.3,yr=7.2,pc=9,hd=-3,OL=6,OR=12
HB:t=2109,m=S,run=1,el=5,er=7,yaw=5.3,yr=7.2,pc=10,hd=-2,OL=8,OR=12
HB:t=2129,m=S,run=1,el=10,er=13,yaw=5.3,yr=7.2,pc=10,hd=-2,OL=8,OR=12
HB:t=2149,m=S,run=1,el=10,er=12,yaw=5.3,yr=7.2,pc=10,hd=-2,OL=8,OR=12
HB:t=2210,m=S,run=1,el=62,er=79,yaw=3.2,yr=-10.4,pc=10,hd=-1,OL=9,OR=11
HB:t=2328,m=S,run=1,el=100,er=128,yaw=1.7,yr=-11.6,pc=9,hd=-1,OL=8,OR=10
HB:t=2337,m=S,run=1,el=7,er=9,yaw=1.7,yr=-11.6,pc=10,hd=0,OL=10,OR=10
HB:t=2357,m=S,run=1,el=10,er=12,yaw=1.7,yr=-11.6,pc=10,hd=0,OL=10,OR=10
HB:t=2377,m=S,run=1,el=10,er=12,yaw=1.7,yr=-11.6,pc=10,hd=0,OL=10,OR=10
HB:t=2412,m=S,run=1,el=35,er=40,yaw=1.3,yr=-9.9,pc=11,hd=0,OL=11,OR=11
HB:t=2548,m=S,run=1,el=111,er=131,yaw=-0.6,yr=-12.9,pc=9,hd=0,OL=9,OR=9
HB:t=2548,m=S,run=1,el=31,er=35,yaw=-0.6,yr=-12.9,pc=10,hd=0,OL=10,OR=10
HB:t=2568,m=S,run=1,el=11,er=12,yaw=-0.6,yr=-12.9,pc=10,hd=0,OL=10,OR=10
HB:t=2588,m=S,run=1,el=10,er=12,yaw=-0.6,yr=-12.9,pc=10,hd=0,OL=10,OR=10
HB:t=2632,m=S,run=1,el=34,er=42,yaw=-1.9,yr=-17.1,pc=11,hd=0,OL=11,OR=11
HB:t=2802,m=S,run=1,el=108,er=130,yaw=-4.6,yr=-20.1,pc=9,hd=1,OL=10,OR=8
HB:t=2802,m=S,run=1,el=66,er=71,yaw=-4.6,yr=-20.1,pc=9,hd=2,OL=11,OR=7
HB:t=2822,m=S,run=1,el=10,er=10,yaw=-4.6,yr=-20.1,pc=10,hd=2,OL=12,OR=8
HB:t=2953,m=S,run=1,el=123,er=113,yaw=-6.1,yr=-16.8,pc=9,hd=3,OL=12,OR=6
HB:t=2957,m=S,run=1,el=3,er=3,yaw=-6.1,yr=-16.8,pc=10,hd=3,OL=13,OR=7
HB:t=2977,m=S,run=1,el=12,er=10,yaw=-6.1,yr=-16.8,pc=11,hd=3,OL=14,OR=8
HB:t=2997,m=S,run=1,el=12,er=10,yaw=-6.1,yr=-16.8,pc=11,hd=3,OL=14,OR=8
HB:t=3046,m=S,run=1,el=64,er=47,yaw=-6.5,yr=-14.0,pc=11,hd=3,OL=14,OR=8
HB:t=3179,m=S,run=1,el=148,er=102,yaw=-5.8,yr=-6.7,pc=9,hd=4,OL=13,OR=5
HB:t=3179,m=S,run=1,el=37,er=24,yaw=-5.8,yr=-6.7,pc=10,hd=2,OL=12,OR=8
HB:t=3199,m=S,run=1,el=14,er=9,yaw=-5.8,yr=-6.7,pc=10,hd=2,OL=12,OR=8
HB:t=3219,m=S,run=1,el=13,er=10,yaw=-5.8,yr=-6.7,pc=10,hd=3,OL=13,OR=7
HB:t=3292,m=S,run=1,el=91,er=62,yaw=-0.8,yr=30.5,pc=10,hd=0,OL=10,OR=10
HB:t=3415,m=S,run=1,el=138,er=101,yaw=1.5,yr=27.3,pc=9,hd=-1,OL=8,OR=10
HB:t=3419,m=S,run=1,el=1,er=1,yaw=1.5,yr=27.3,pc=11,hd=0,OL=11,OR=11
HB:t=3439,m=S,run=1,el=12,er=10,yaw=1.5,yr=27.3,pc=11,hd=-1,OL=10,OR=12
HB:t=3459,m=S,run=1,el=12,er=10,yaw=1.5,yr=27.3,pc=11,hd=-1,OL=10,OR=12
HB:t=3499,m=S,run=1,el=50,er=44,yaw=2.7,yr=26.2,pc=11,hd=-1,OL=10,OR=12
HB:t=3670,m=S,run=1,el=129,er=118,yaw=6.1,yr=28.1,pc=9,hd=-2,OL=7,OR=11
HB:t=3671,m=S,run=1,el=71,er=75,yaw=6.1,yr=28.1,pc=9,hd=-3,OL=6,OR=12
HB:t=3691,m=S,run=1,el=10,er=12,yaw=6.1,yr=28.1,pc=10,hd=-3,OL=7,OR=13
HB:t=3821,m=S,run=1,el=115,er=137,yaw=6.7,yr=19.7,pc=9,hd=-4,OL=5,OR=13
HB:t=3824,m=S,run=1,el=17,er=21,yaw=6.7,yr=19.7,pc=9,hd=-3,OL=6,OR=12
HB:t=3844,m=S,run=1,el=10,er=13,yaw=6.7,yr=19.7,pc=10,hd=-3,OL=7,OR=13
HB:t=3864,m=S,run=1,el=10,er=13,yaw=6.7,yr=19.7,pc=10,hd=-3,OL=7,OR=13
HB:t=3909,m=S,run=1,el=45,er=57,yaw=6.6,yr=12.5,pc=10,hd=-3,OL=7,OR=13
HB:t=4041,m=S,run=1,el=110,er=142,yaw=5.2,yr=3.4,pc=9,hd=-3,OL=6,OR=12
HB:t=4042,m=S,run=1,el=26,er=33,yaw=5.2,yr=3.4,pc=9,hd=-2,OL=7,OR=11
HB:t=4061,m=S,run=1,el=10,er=12,yaw=5.2,yr=3.4,pc=10,hd=-2,OL=8,OR=12
HB:t=4081,m=S,run=1,el=10,er=13,yaw=5.2,yr=3.4,pc=10,hd=-2,OL=8,OR=12
HB:t=4154,m=S,run=1,el=63,er=83,yaw=1.3,yr=-25.0,pc=10,hd=0,OL=10,OR=10
HB:t=4277,m=S,run=1,el=102,er=125,yaw=-0.2,yr=-21.1,pc=9,hd=0,OL=9,OR=9
HB:t=4281,m=S,run=1,el=17,er=19,yaw=-0.2,yr=-21.1,pc=10,hd=0,OL=10,OR=10
HB:t=4301,m=S,run=1,el=10,er=11,yaw=-0.2,yr=-21.1,pc=10,hd=0,OL=10,OR=10
HB:t=4321,m=S,run=1,el=10,er=12,yaw=-0.2,yr=-21.1,pc=10,hd=0,OL=10,OR=10
HB:t=4361,m=S,run=1,el=34,er=40,yaw=-0.9,yr=-19.0,pc=10,hd=0,OL=10,OR=10
HB:t=4492,m=S,run=1,el=106,er=126,yaw=-2.5,yr=-17.5,pc=9,hd=1,OL=10,OR=8
HB:t=4493,m=S,run=1,el=24,er=27,yaw=-2.5,yr=-17.5,pc=10,hd=1,OL=11,OR=9
HB:t=4513,m=S,run=1,el=10,er=11,yaw=-2.5,yr=-17.5,pc=10,hd=1,OL=11,OR=9
HB:t=4533,m=S,run=1,el=10,er=11,yaw=-2.5,yr=-17.5,pc=10,hd=1,OL=11,OR=9
HB:t=4581,m=S,run=1,el=45,er=49,yaw=-3.4,yr=-17.4,pc=11,hd=1,OL=12,OR=10
HB:t=4712,m=S,run=1,el=113,er=125,yaw=-4.9,yr=-16.4,pc=9,hd=2,OL=11,OR=7
HB:t=4713,m=S,run=1,el=28,er=29,yaw=-4.9,yr=-16.4,pc=10,hd=2,OL=12,OR=8
HB:t=4732,m=S,run=1,el=12,er=11,yaw=-4.9,yr=-16.4,pc=10,hd=2,OL=12,OR=8
