HB:t=0,m=S,run=1,el=0,er=0,yaw=0.0,yr=0.0,pc=0,hd=0,dp=0,OL=0,OR=0,hi=0.00
HB:t=4192,m=S,run=1,el=196,er=196,yaw=0.2,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=4192,m=S,run=1,el=196,er=196,yaw=0.2,yr=-0.2,pc=91,hd=0,dp=1,OL=91,OR=91,hi=-0.01
HB:t=4413,m=S,run=1,el=213,er=216,yaw=0.1,yr=-0.4,pc=98,hd=1,dp=1,OL=99,OR=97,hi=-0.01
HB:t=4413,m=S,run=1,el=213,er=216,yaw=0.1,yr=-0.4,pc=98,hd=1,dp=1,OL=99,OR=97,hi=-0.01
HB:t=4634,m=S,run=1,el=236,er=239,yaw=-0.1,yr=-1.8,pc=103,hd=6,dp=6,OL=109,OR=97,hi=-0.01
HB:t=4635,m=S,run=1,el=236,er=239,yaw=-0.1,yr=-1.8,pc=103,hd=6,dp=6,OL=109,OR=97,hi=-0.01
HB:t=4855,m=S,run=1,el=250,er=247,yaw=-0.2,yr=-0.0,pc=106,hd=1,dp=0,OL=107,OR=105,hi=-0.01
HB:t=4855,m=S,run=1,el=250,e
r=247,yaw=-0.2,yr=-0.0,pc=106,hd=1,dp=0,OL=107,OR=105,hi=-0.01
HB:t=5076,m=S,run=1,el=275,er=278,yaw=-0.4,yr=0.0,pc=107,hd=2,dp=0,OL=109,OR=105,hi=-0.01
HB:t=5076,m=S,run=1,el=275,er=278,yaw=-0.4,yr=0.0,pc=107,hd=2,dp=0,OL=109,OR=105,hi=-0.01
HB:t=5207,m=S,run=1,el=165,er=166,yaw=-0.4,yr=-0.5,pc=111,hd=4,dp=2,OL=115,OR=107,hi=-0.01
HB:t=5207,m=S,run=1,el=165,e
r=166,yaw=-0.4,yr=-0.5,pc=111,hd=4,dp=2,OL=115,OR=107,hi=-0.01
HB:t=5339,m=S,run=1,el=157,er=159,yaw=-0.4,yr=-0.5,pc=17,hd=4,dp=2,OL=84,OR=76,hi=-0.01
HB:t=5340,m=S,run=1,el=157,er=159,yaw=-0.4,yr=-0.5,pc=17,hd=4,dp=2,OL=84,OR=76,hi=-0.01
HB:t=5461,m=S,run=1,el=143,er=135,yaw=-0.4,yr=-0.4,pc=47,hd=4,dp=1,OL=84,OR=76,hi=-0.01
HB:t=5466,m=S,run=1,el=143,er=135,yaw=-0.4,yr=-0.4,pc=47,hd=4,dp=1,OL=84,OR=76,hi=-0.01
HB:t=5595,m=S,run=1,el=108,er=112,yaw=-0.4,yr=-0.6,pc=43,hd=4,dp=2,OL=84,OR=76,hi=-0.01
HB:t=5807,m=S,run=1,el=167,er=166,yaw=-0.4,yr=-0.3,pc=64,hd=3,dp=1,OL=83,OR=77,hi=-0.01
HB:t=5807,m=S,run=1,el=167,er=166,yaw=-0.4,yr=-0.3,pc=64,hd=3,dp=1,OL=83,OR=77,hi=-0.01
HB:t=5930,m=S,run=1,el=102,er=100,yaw=-0.4,yr=-0.5,pc=81,hd=4,dp=2,OL=85,OR=77,hi=-0.00
HB:t=5934,m=S,run=1,el=1,er=1,yaw=-0.4,yr=-0.5,pc=95,hd=4,dp=2,OL=99,OR=91,hi=-0.00
HB:t=6055,m=S,run=1,el=113,er=112,yaw=-0.4,yr=-0.4,pc=58,hd=4,dp=1,OL=84,OR=76,hi=-0.00
HB:t=6267,m=S,run=1,el=197,er=196,yaw=-0.3,yr=0.5,pc=74,hd=0,dp=-2,OL=80,OR=80,hi=-0.00
HB:t=6267,m=S,run=1,el=197,er=196,yaw=-0.3,yr=0.5,pc=74,hd=0,dp=-2,OL=80,OR=80,hi=-0.00
HB:t=6389,m=S,run=1,el=103,er=104,yaw=-0.2,yr=1.0,pc=88,hd=-2,dp=-3,OL=86,OR=90,hi=-0.00
HB:t=6394,m=S,run=1,el=1,er=1,yaw=-0.2,yr=1.0,pc=99,hd=-2,dp=-3,OL=97,OR=101,hi=-0.00
HB:t=6514,m=S,run=1,el=110,er=111,yaw=-0.3,yr=-0.3,pc=55,hd=3,dp=1,OL=83,OR=77,hi=-0.00
HB:t=6636,m=S,run=1,el=118,er=118,yaw=-0.3,yr=-1.8,pc=74,hd=7,dp=6,OL=87,OR=73,hi=0.00
HB:t=6640,m=S,run=1,el=118,er=118,yaw=-0.3,yr=-1.8,pc=74,hd=7,dp=6,OL=87,OR=73,hi=0.00
HB:t=6760,m=S,run=1,el=102,er=102,yaw=-0.3,yr=-0.9,pc=28,hd=5,dp=3,OL=85,OR=75,hi=0.00
HB:t=6882,m=S,run=1,el=112,er=107,yaw=-0.3,yr=-0.4,pc=55,hd=3,dp=1,OL=83,OR=77,hi=0.00
HB:t=6886,m=S,run=1,el=112,er=107,yaw=-0.3,yr=-0.4,pc=55,hd=3,dp=1,OL=83,OR=77,hi=0.00
HB:t=7016,m=S,run=1,el=97,er=94,yaw=-0.1,yr=-0.5,pc=12,hd=2,dp=2,OL=82,OR=78,hi=0.00
HB:t=7138,m=S,run=1,el=106,er=104,yaw=-0.1,yr=-0.3,pc=43,hd=1,dp=1,OL=81,OR=79,hi=0.00
HB:t=7143,m=S,run=1,el=2,er=2,yaw=-0.1,yr=-0.3,pc=67,hd=1,dp=1,OL=81,OR=79,hi=0.00
HB:t=7271,m=S,run=1,el=102,er=103,yaw=-0.0,yr=-0.1,pc=28,hd=1,dp=0,OL=81,OR=79,hi=0.00
HB:t=7483,m=S,run=1,el=175,er=174,yaw=0.1,yr=0.6,pc=52,hd=-2,dp=-2,OL=78,OR=82,hi=0.00
HB:t=7484,m=S,run=1,el=175,er=174,yaw=0.1,yr=0.6,pc=52,hd=-2,dp=-2,OL=78,OR=82,hi=0.00
