HB:t=4452,m=S,run=1,el=100,er=98,yaw=0.2,yr=-0.0,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4644,m=S,run=1,el=113,er=114,yaw=0.2,yr=0.1,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=4645,m=S,run=1,el=81,er=80,yaw=0.2,yr=0.5,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=4848,m=S,run=1,el=107,er=106,yaw=0.3,yr=0.8,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=4848,m=S,run=1,el=88,er=85,yaw=0.3,yr=1.0,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5057,m=S,run=1,el=119,er=120,yaw=0.1,yr=1.1,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5057,m=S,run=1,el=104,er=110,yaw=0.1,yr=-1.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=5176,m=S,run=1,el=109,er=109,yaw=-0.0,yr=-2.0,pc=8,hd=1,dp=1,OL=9,OR=7
HB:t=5184,m=S,run=1,el=3,er=4,yaw=-0.0,yr=-2.8,pc=10,hd=1,dp=1,OL=11,OR=9
HB:t=5290,m=S,run=1,el=109,er=103,yaw=0.1,yr=0.2,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5474,m=S,run=1,el=115,er=111,yaw=0.4,yr=1.7,pc=9,hd=-1,dp=-1,OL=8,OR=10
HB:t=5474,m=S,run=1,el=78,er=80,yaw=0.4,yr=0.4,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5682,m=S,run=1,el=110,er=111,yaw=0.4,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5682,m=S,run=1,el=92,er=91,yaw=0.4,yr=0.1,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=5882,m=S,run=1,el=118,er=115,yaw=0.4,yr=0.7,pc=9,hd=-1,dp=0,OL=8,OR=10
HB:t=5883,m=S,run=1,el=95,er=96,yaw=0.4,yr=-0.0,pc=8,hd=0,dp=0,OL=8,OR=8
HB:t=6011,m=S,run=1,el=112,er=110,yaw=0.4,yr=-0.6,pc=9,hd=0,dp=0,OL=9,OR=9
HB:t=6016,m=S,run=1,el=16,er=17,yaw=0.4,yr=-0.7,pc=9,hd=0,dp=0,OL=9,OR=9
