t_ms,mode,run,el,er,yaw,yr,pc,hd,dp,OL,OR,hi,sb,lp
0,S,1,0,0,0.0,0.0,0,0,0,0,0,0.000,0,0.00
122,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
127,S,1,0,0,0.0,0.0,102,0,0,102,102,0.000,0,0.00
256,S,1,64,53,0.3,4.7,49,-17,-15,63,97,-0.000,0,0.00
469,S,1,149,137,1.7,1.7,61,-16,-6,64,96,-0.000,0,0.00
469,S,1,149,137,1.7,1.7,61,-16,-6,64,96,-0.000,0,0.00
689,S,1,151,168,0.9,-2.0,70,1,6,81,79,-0.010,0,0.00
690,S,1,151,168,0.9,-2.0,70,1,6,81,79,-0.010,0,0.00
911,S,1,173,169,0.8,-1.1,76,-1,4,79,81,-0.010,0,0.00
912,S,1,173,169,0.8,-1.1,76,-1,4,79,81,-0.010,0,0.00
1133,S,1,178,171,1.1,-0.6,80,-5,2,75,85,-0.010,0,0.00
1133,S,1,178,171,1.1,-0.6,80,-5,2,75,85,-0.010,0,0.00
1354,S,1,176,178,1.0,-1.1,83,-3,4,80,86,-0.020,0,0.00
1354,S,1,176,178,1.0,-1.1,83,-3,4,80,86,-0.020,0,0.00
1485,S,1,101,105,1.0,-1.4,86,-1,4,85,87,-0.020,0,0.00
1486,S,1,101,105,1.0,-1.4,86,-1,4,85,87,-0.020,0,0.00
1618,S,1,105,106,0.7,-0.9,40,-1,3,79,81,-0.020,0,0.00
1831,S,1,179,177,0.7,-0.0,54,-4,0,76,84,-0.030,0,0.00
1831,S,1,179,177,0.7,-0.0,54,-4,0,76,84,-0.030,0,0.00
2053,S,1,176,179,0.8,-1.0,64,-2,3,78,82,-0.030,0,0.00
2053,S,1,176,179,0.8,-1.0,64,-2,3,78,82,-0.030,0,0.00
2274,S,1,182,180,0.8,-0.5,71,-3,2,77,83,-0.030,0,0.00
2274,S,1,182,180,0.8,-0.5,71,-3,2,77,83,-0.030,0,0.00
