idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
0,1,0,50839.0,0.0,-0.007,-0.007,-0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced
1,1,1,50840.0,0.001,-0.007,-0.007,-0.012,1.0,1.0,0.0,5.0,5.0,5.0,5.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,9.508,5.726,0.0009999999925368733,-1.221730473356721e-07,0.001,0.0009999999925368733,-1.221730473356721e-07,0.001,0.0,0.0009999471971345085,7.630635980498357e-06,1.027632924933981e-05,1.027632924933981e-05,balanced
2,1,2,51046.0,0.207,0.056,0.056,0.1,3.0,3.0,0.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.056,-0.056,-0.012,9.908,5.988,0.6189997048109698,0.000603901278314241,0.619,0.6179997048184329,0.0006040234513615767,0.618,0.001779219140382569,0.6189599584202764,0.0047233075333818885,0.007040534439321316,0.007040534439321316,balanced
3,1,3,51250.0,0.411,0.175,0.175,0.267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6189997048109698,0.000603901278314241,0.619,0.0,0.0,0.0,0.0,0.6189599584202764,0.0047233075333818885,0.007040534439321316,0.007040534439321316,balanced
4,1,4,51251.0,0.412,0.175,0.175,0.267,5.0,4.0,1.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.175,-0.175,-0.034,10.928,6.626,0.623499683820942,0.0006176457248035592,0.6234999999999999,0.004499979009972236,1.3744446489318185e-05,0.0045000000000000005,0.0,0.6234595512136308,0.004757644101117617,0.007101071155401194,0.007101071155401194,balanced
5,1,5,51460.0,0.621,0.296,0.296,0.376,6.0,5.0,1.0,7.0,7.0,7.0,7.0,0.0,7.0,7.0,0.0,0.175,-0.175,-0.034,12.448,7.567,1.7729843441454842,0.0065561369954619695,1.773,1.1494846603245423,0.00593849127065841,1.1495,0.0018371886863098208,1.772820312332596,0.01352846080373957,0.0249921527334617,0.0249921527334617,balanced
6,1,6,51665.0,0.826,0.447,0.447,0.501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7729843441454842,0.0065561369954619695,1.773,0.0,0.0,0.0,0.0,1.772820312332596,0.01352846080373957,0.0249921527334617,0.0249921527334617,balanced
7,1,7,51666.0,0.827,0.447,0.447,0.501,7.0,6.0,1.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,0.447,-0.447,-0.079,13.848,8.438,1.779484146334256,0.0066068470224614935,1.7794999999999999,0.0064998021887717255,5.071002699952418e-05,0.006500000000000001,0.0,1.77931923579624,0.013578054341636666,0.025110448184340696,0.025110448184340696,balanced
8,1,8,52059.0,1.22,1.217,1.217,1.343,8.0,8.0,0.0,10.0,10.0,10.0,10.0,0.0,10.0,10.0,0.0,0.741,-0.741,-0.137,17.028,10.417,4.92277494081777,0.07338245121442127,4.9235,3.143290794483514,0.06677560419195978,3.144,0.004274502302912322,4.921745719851932,0.03755803314853841,0.12456793812543496,0.12456793812543496,balanced
9,1,9,52264.0,1.425,1.408,1.408,1.2,10.0,10.0,0.0,11.0,11.0,11.0,11.0,0.0,11.0,11.0,0.0,1.217,-1.217,-0.213,17.548,10.772,6.972155981572264,0.1237545644917585,6.9735,2.0493810407544943,0.05037211327733724,2.05,0.0016261360347849581,6.9704921649358775,0.05319209701068526,0.19624780807436815,0.19624780807436815,balanced
10,1,10,52468.0,1.629,1.74,1.74,1.349,11.0,11.0,0.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.408,-1.408,-0.229,18.948,11.655,9.215121285713892,0.1918915178787205,9.2175,2.2429653041416273,0.068136953386962,2.2439999999999998,0.0025822161838775313,9.212627679500557,0.07030192038897813,0.2877045428060575,0.2877045428060575,balanced
11,1,11,52678.0,1.839,2.182,2.182,1.614,14.0,13.0,1.0,12.0,12.0,12.0,12.0,0.0,12.0,12.0,0.0,1.74,-1.74,-0.276,18.968,11.714,12.04806570371545,0.29983096624591543,12.052499999999998,2.8329444180015577,0.1079394483671949,2.835,0.002721112978417966,12.044296524145725,0.09191049555447169,0.42509651588271186,0.42509651588271186,balanced
12,1,12,52884.0,2.045,2.301,2.301,1.253,13.0,14.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,2.182,-2.182,-0.343,21.488,13.278,14.82682336820434,0.41148597976632795,14.833499999999997,2.7787576644888907,0.11165501352041253,2.7809999999999997,0.0007468327255926853,14.821742908640893,0.11310529701615629,0.5656403925003805,0.5656403925003805,balanced
13,1,13,53088.0,2.249,2.61,2.61,1.341,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,2.301,-2.301,-0.339,21.0,13.036,17.67986066016335,0.5415406247860628,17.689499999999995,2.853037291959008,0.1300546450197349,2.856,0.0018883289175989047,17.673273576127013,0.13486543852479554,0.7253553022181938,0.7253553022181938,balanced
14,1,14,53297.0,2.458,2.305,2.305,0.361,14.0,15.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,2.61,-2.61,-0.38,20.5,12.787,20.707908649733117,0.6634242695563801,20.719999999999995,3.0280479895697665,0.12188364477031734,3.0305,-0.0017565597157507672,20.699890445238765,0.15796166965260855,0.8787195014570244,0.8787195014570244,balanced
15,1,15,53502.0,2.663,2.066,2.066,-0.173,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,2.305,-2.305,-0.295,20.0,12.538,23.78090978485495,0.7742801378716676,23.794999999999995,3.073001135121831,0.11085586831528747,3.0749999999999997,-0.001356532329192343,23.771572701760775,0.1814017965057491,1.0215239655604094,1.0215239655604094,balanced
16,1,16,53706.0,2.867,1.437,1.437,-1.192,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,2.066,-2.066,-0.239,21.0,13.187,26.63601158348405,0.8459021977754886,26.650999999999996,2.855101798629102,0.07162205990382103,2.856,-0.0038438799002256056,26.625775375286835,0.20318232819647689,1.1228309171317348,1.1228309171317348,balanced
17,1,17,53867.0,3.028,1.089,1.089,-1.532,14.0,15.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,1.437,-1.437,-0.113,20.5,12.927,28.970089924553328,0.8902705170054338,28.985499999999995,2.3340783410692776,0.04436831922994517,2.3345000000000002,-0.002601733046451174,28.95926615871995,0.2209892871871633,1.1914677413060555,1.1914677413060555,balanced
18,1,18,54099.0,3.26,0.507,0.507,-1.873,14.0,16.0,-2.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,1.089,-1.089,-0.054,20.0,12.682,32.44995368065288,0.9210640063289864,32.46549999999999,3.479863756099552,0.030793489323552643,3.48,-0.002918912714542241,32.438621567168184,0.24754038372978934,1.2584449142985297,1.2584449142985297,balanced
19,1,19,54304.0,3.465,0.017,0.017000000000000015,-2.054,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,0.507,-0.507,0.033,21.0,13.334,35.31995355432347,0.9219155524585403,35.33549999999999,2.8699998736705874,0.0008515461295538029,2.8699999999999997,-0.0029798304302342212,35.30845741714714,0.26944021279849145,1.2891400959316377,1.2891400959316377,balanced
20,1,20,54448.0,3.609,0.016974,0.016974000000000013,-2.054425,14.0,13.0,1.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,0.016974,-0.016974,0.100684,21.5,13.668697,37.26395346901554,0.922491466702098,37.27949999999999,1.9439999146920721,0.000575914243557738,1.944,-2.334288094231221e-07,37.25234623925048,0.2842741040584867,1.3099306539255777,1.3099306539255777,balanced
21,1,21,54511.0,3.672,-0.482,-0.482,-2.178,14.0,14.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,0.017,-0.017,0.101,21.0,13.386,38.14592225965719,0.9150717406891632,38.16149999999999,0.8819687906416491,-0.007419726012934843,0.882,-0.009873853947671412,38.13434449951696,0.2910046671110286,1.311682477803989,1.311682477803989,balanced
22,1,22,54676.0,3.837,-0.762,-0.762,-2.01,14.0,15.0,-1.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-0.482,0.482,0.167,20.5,13.125,40.53821067692187,0.8832538428760769,40.55399999999999,2.392288417264682,-0.031817897813086256,2.3925,-0.002042600587495976,40.52683443402562,0.30926185091989145,1.3047425012364997,1.3047425012364997,balanced
23,1,23,54908.0,4.069,-1.295,-1.295,-2.111,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-0.762,0.762,0.192,20.0,12.881,44.017321833972254,0.8046055314666088,44.033999999999985,3.4791111570503808,-0.07864831140946804,3.48,-0.002673162331359131,44.006575314216434,0.3358158890123881,1.2622759646584798,1.2622759646584798,balanced
24,1,24,55117.0,4.278,-1.749,-1.749,-2.132,14.0,14.0,0.0,14.0,14.0,14.0,14.0,0.0,14.0,14.0,0.0,-1.295,1.295,0.261,21.0,13.533,46.94195867986602,0.7153008863434492,46.95999999999999,2.924636845893764,-0.08930464512315958,2.9259999999999997,-0.002708063842807334,46.93198267119922,0.35813978641394734,1.2033879717316518,1.2033879717316518,balanced
25,1,25,55322.0,4.483,-2.082,-2.082,-1.956,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-1.749,1.749,0.316,20.0,12.985,50.014928738370415,0.6035868785580931,50.03499999999999,3.0729700585043993,-0.11171400778535613,3.0749999999999997,-0.0018900638728914186,50.00594824469889,0.3815973373478139,1.123634270006884,1.123634270006884,balanced
26,1,26,55527.0,4.688,-2.449,-2.449,-1.898,15.0,15.0,0.0,13.0,13.0,13.0,13.0,0.0,13.0,13.0,0.0,-2.082,2.082,0.348,20.0,13.033,53.08712019387663,0.47219182265943715,53.10999999999999,3.0721914555062138,-0.13139505589865597,3.0749999999999997,-0.0020830433674208742,53.07933991059173,0.40505050877039556,1.0241924879408129,1.0241924879408129,balanced
