OL,OR,dp,el,er,hd,hi,m,pc,run,t,yaw,yr
0,0,0,0,0,0,0.00,S,0,0,6595,0.0,0.0
0,0,0,0,0,0,0.00,S,0,1,0,0.0,0.0
108,108,0,0,0,0,0.00,S,108,1,220,0.0,0.0
108,108,0,0,0,0,0.00,S,108,1,220,0.0,0.0
103,105,-1,139,145,-1,-0.00,S,104,1,441,0.0,0.2
103,105,-1,139,145,-1,-0.00,S,104,1,441,0.0,0.2
107,109,-1,123,123,-1,0.00,S,108,1,563,-0.0,0.3
115,117,-1,1,2,-1,0.00,S,116,1,568,-0.0,0.3
81,79,0,138,139,1,0.00,S,29,1,697,-0.2,-0.0
80,80,0,127,121,0,0.02,S,46,1,819,-0.2,0.1
80,80,0,127,121,0,0.02,S,46,1,823,-0.2,0.1
-82,-78,-2,99,102,-2,0.04,S,-21,1,943,-0.0,0.7
81,79,1,-5,-5,1,0.04,S,26,1,1065,-0.0,-0.2
81,79,1,-5,-5,1,0.04,S,26,1,1069,-0.0,-0.2
82,78,1,31,31,2,0.04,S,63,1,1199,-0.3,-0.3
82,78,1,108,111,2,0.08,S,72,1,1379,-0.4,-0.2
82,78,1,108,111,2,0.08,S,72,1,1379,-0.4,-0.2
83,77,0,67,68,3,0.13,S,28,1,1478,-0.5,-0.1
84,76,1,169,168,4,0.18,S,40,1,1690,-0.5,-0.4
84,76,1,169,168,4,0.18,S,40,1,1690,-0.5,-0.4
82,78,0,161,162,2,0.23,S,49,1,1902,-0.5,0.1
82,78,0,161,162,2,0.23,S,49,1,1903,-0.5,0.1
90,70,6,148,152,10,0.31,S,56,1,2115,-0.8,-1.9
90,70,6,148,152,10,0.31,S,56,1,2115,-0.8,-1.9
85,75,1,163,158,5,0.40,S,60,1,2337,-0.8,-0.2
85,75,1,163,158,5,0.40,S,60,1,2337,-0.8,-0.2
83,77,-2,102,99,3,0.47,S,70,1,2468,-0.8,0.5
83,77,-2,102,99,3,0.47,S,70,1,2468,-0.8,0.5
-76,-84,1,104,103,4,0.54,S,-16,1,2600,-0.5,-0.3
-76,-84,1,104,103,4,0.54,S,-16,1,2601,-0.5,-0.3
83,77,-1,-43,-48,3,0.61,S,35,1,2813,-0.7,0.3
83,77,-1,-43,-48,3,0.61,S,35,1,2813,-0.7,0.3
83,77,0,59,61,3,0.67,S,57,1,3035,-0.6,0.1
83,77,0,59,61,3,0.67,S,57,1,3035,-0.6,0.1
85,75,1,149,153,5,0.74,S,62,1,3256,-0.7,-0.2
85,75,1,149,153,5,0.74,S,62,1,3257,-0.7,-0.2
88,72,3,96,96,8,0.82,S,72,1,3388,-0.8,-1.1
88,72,3,96,96,8,0.82,S,72,1,3388,-0.8,-1.1
-77,-83,-1,101,97,3,0.89,S,-10,1,3520,-0.6,0.2
-77,-83,-1,101,97,3,0.89,S,-10,1,3521,-0.6,0.2
85,75,0,-47,-50,5,0.97,S,39,1,3733,-0.8,-0.1
85,75,0,-47,-50,5,0.97,S,39,1,3733,-0.8,-0.1
82,78,-2,60,56,2,1.02,S,60,1,3954,-0.5,0.6
84,80,-2,0,0,2,1.08,S,82,1,3955,-0.5,0.6
82,78,-2,149,147,2,1.12,S,80,1,4176,-0.4,0.5
82,78,-2,149,147,2,1.12,S,80,1,4176,-0.4,0.5
