Opened COM18 @ 115200, wait 0.80s...
Pre-drain: lines=3 bytes=1192

>>> #SDUMP!
RX: lines=137 bytes=13291 ok=True err=False
iv=18.000 hdt=800 ok=123 fail=0 vofa=firewater rx=161 txdrop=0
HB tick=47838 run=0 spd=2 ts=0.000 as=0.000 ta=0.000 aa=0.000 se=0.000 so=0.000 ae=0.000 ao=0.000 pwm=0 y=7.214 yr=6.495 L=0 R=0 OL=0 OR=0 el=0 er=0 ed=0 dl=0 dr=0 cl=0 cr=0 dz=10 dzl=11 dzr=11 dzt=1.000 sbf=2 sbo=0 sbv=36.000 siv=18.000 hdt=800 ok=124 fail=0 vofa=firewater rx=168 txdrop=0
SDUMP_BEGIN
FIELDS:t_ms,run,imuValid,yaw100,yawRate100,icmYaw100,icmYawRate100,yawSampleAgeMs,targetYaw100,actualAngle100,yawErr100,yawOut100,speedTarget10,actualSpeed10,speedErr10,speedOut10,pwmCore,headingDiff,startupBiasOut,leftPWM,rightPWM,outLeftPWM,outRightPWM,el,er,ed,dl,dr
SD 225,1,1,0,0,0,0,225,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 230,1,1,0,0,0,0,4,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 235,1,1,0,0,0,0,9,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 240,1,1,0,0,0,0,14,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 245,1,1,0,0,0,0,19,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 250,1,1,0,0,0,0,24,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 255,1,1,0,0,0,0,29,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 260,1,1,0,0,0,0,34,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 265,1,1,0,0,0,0,39,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 270,1,1,0,0,0,0,44,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 275,1,1,0,0,0,0,49,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 280,1,1,0,0,0,0,54,0,0,0,0,400,250,150,15,9,0,1,10,10,21,21,23,27,-4,23,27
SD 285,1,1,0,0,0,0,59,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 290,1,1,0,0,0,0,64,0,0,0,0,400,255,145,14,9,0,1,10,10,21,21,24,27,-3,24,27
SD 295,1,1,0,0,0,0,69,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 300,1,1,0,0,0,0,74,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 305,1,1,0,0,0,0,79,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 310,1,1,0,0,0,0,84,0,0,0,0,400,260,140,14,9,0,1,10,10,21,21,24,28,-4,24,28
SD 315,1,1,0,0,0,0,89,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 320,1,1,0,0,0,0,94,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 325,1,1,0,0,0,0,99,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 330,1,1,0,0,0,0,104,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 335,1,1,0,0,0,0,109,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 340,1,1,0,0,0,0,114,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 345,1,1,0,0,0,0,119,0,0,0,0,400,265,135,14,8,0,1,9,9,20,20,25,28,-3,25,28
SD 350,1,1,0,0,0,0,124,0,0,0,0,400,265,135,14,8,0,1,9,9,20,20,25,28,-3,25,28
SD 355,1,1,0,0,0,0,129,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
SD 360,1,1,0,0,0,0,134,0,0,0,0,400,255,145,15,9,0,1,10,10,21,21,24,27,-3,24,27
