seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,ts_mean,ts_end,as_mean,as_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,micro_deviation_eps,micro_deviation_side,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,micro_cum_lat_eps,micro_cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,5.0,0.0,0.418,0.418,-0.099,-0.499,-0.4,-0.2884,-0.38920000000000005,0.4502039537809503,1.6,1.6,0.0,5.0,4.0,1.0,4.6,4.6,0.0,8.0,8.0,4.6,8.0,4.6,8.0,0.0,0.0,,,,,-0.06899999999999999,-0.246,0.06899999999999999,0.246,0.0336,0.122,7.4408,13.088,4.5078000000000005,7.956,0.0012159402845647697,0.0,-0.0015961055918849473,-0.0009434079058043011,0.0015961055918849473,-0.0015961055918849473,0.0,0.08,balanced,low,0.03,balanced,-0.0018536383219355974,0.0018536383219355974,0.08,balanced,0.03,balanced,low,stuck,0.42799593748323245,-0.0018536383219355974,0.42800000000000005,0.0,0.0,0.42799593748323245,-0.0018536383219355974,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.6,0.6,0.6,0.6,0.0,1.0239234449760766,0.205,0.0,0.0,0.0
1.0,4.0,0.767,1.217,0.45,-0.793,-2.016,-1.2229999999999999,-1.62875,-1.55175,1.632748679374753,6.75,6.5,0.25,10.0,10.0,0.0,7.75,7.25,0.5,12.0,10.0,7.5,11.0,7.5,11.0,0.25,1.0,,,,,-0.8422499999999999,-1.853,0.8422499999999999,1.853,0.38549999999999995,0.847,11.815999999999999,17.188,7.243,10.559,0.0008439340816737897,-0.03624750584719844,-0.1060333373881855,-0.05376536501971189,0.1060333373881855,-0.06978583154098705,0.0,0.08,left,moderate,0.036152,left,-0.0728535977335707,0.0728535977335707,0.08,balanced,0.03222873563073543,left,mild,restart_after_pause,2.017751188663854,-0.0709999594116351,2.0189999999999997,0.42799593748323245,-0.0018536383219355974,2.4457471261470864,-0.0728535977335707,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,restart_after_pause_straight,0.75,0.75,0.75,0.75,0.0,4.486666666666667,0.248,0.0,1.0,0.0
1.0,3.0,1.422,1.821,0.399,-2.264,-2.187,0.07699999999999996,-2.2383333333333333,-1.1243333333333334,1.2081582401876558,8.333333333333334,8.0,0.3333333333333333,14.0,13.0,1.0,8.0,8.0,0.0,13.0,13.0,8.0,13.0,8.0,13.0,0.0,0.0,,,,,-1.409,-2.211,1.409,2.211,0.5599999999999999,0.828,13.198666666666668,20.888,8.144666666666666,12.918,8.337387704172888e-05,-0.1060333373881855,-0.3082700565983424,-0.17358822042396327,0.3082700565983424,-0.2022367192101569,0.0,0.10768,left,moderate,0.063072,left,-0.27832763790315057,0.27832763790315057,0.12825824849755907,left,0.05912912424877953,left,moderate,left_curve,5.380077723608819,-0.20547404016957987,5.3839999999999995,2.4457471261470864,-0.0728535977335707,7.8258248497559055,-0.27832763790315057,moving,balanced,left_arc,0.9081913091528593,3.0,0.10768,left_arc,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,13.4937343358396,0.0,0.0,0.0,0.0
1.0,3.0,2.031,2.238,0.207,-1.985,-1.885,0.10000000000000009,-1.9516666666666669,0.06766666666666667,0.10274077411946371,9.666666666666666,9.666666666666666,0.0,14.0,14.0,0.0,8.333333333333334,8.333333333333334,0.0,13.0,13.0,8.333333333333334,13.0,8.333333333333334,13.0,0.0,0.0,,,,,-1.3906666666666665,-1.985,1.3906666666666665,1.985,0.47866666666666663,0.654,13.666666666666666,21.0,8.508666666666667,13.089,0.00020172552612047296,-0.3082700565983424,-0.40191109118693513,-0.33965391726199695,0.40191109118693513,-0.09364103458859274,0.0,0.08,left,high,0.043192,left,-0.3737121226102267,0.3737121226102267,0.1572325520583001,left,0.07361627602915005,left,moderate,straight,2.897430356074103,-0.09538448470707614,2.899,7.8258248497559055,-0.27832763790315057,10.723255205830009,-0.3737121226102267,slow_crawl,balanced,straight,0.0,3.5999999999999996,0.12,slow_straight,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,14.004830917874397,0.0,0.0,0.0,0.0
1.0,5.0,2.63,3.042,0.412,-1.424,-1.066,0.3579999999999999,-1.2216,0.7922,0.7980442343629831,8.8,8.4,0.4,15.0,13.0,2.0,7.8,7.8,0.0,13.0,13.0,7.8,13.0,7.8,13.0,0.0,0.0,,,,,-0.8291999999999999,-1.128,0.8291999999999999,1.128,0.2142,0.254,12.4,21.0,7.8225999999999996,13.288,0.00033438023209729544,-0.40191109118693513,-0.4614735324858008,-0.4376156401567333,0.4614735324858008,-0.059562441298865676,0.0,0.08,left,high,0.044944,left,-0.4351503639952719,0.4351503639952719,0.1884064965145429,left,0.08920324825727144,left,moderate,pause_recovering,3.117394445624278,-0.06143824138504524,3.118,10.723255205830009,-0.3737121226102267,13.840649651454287,-0.4351503639952719,slow_crawl,balanced,straight,0.0,3.5999999999999996,0.12,slow_straight,0.6,0.6,0.6,0.6,0.0,7.567961165048542,0.204,0.0,1.0,0.0
1.0,3.0,3.252,3.458,0.206,-0.718,-0.965,-0.247,-0.8826666666666666,0.5336666666666666,0.6518412383395208,9.666666666666666,10.0,-0.3333333333333333,15.0,15.0,0.0,8.666666666666666,8.666666666666666,0.0,13.0,13.0,8.666666666666666,13.0,8.666666666666666,13.0,0.0,0.0,,,,,-0.5946666666666667,-0.718,0.5946666666666667,0.718,0.12366666666666666,0.109,13.5,20.0,8.610333333333333,12.791,0.0006648873340930778,-0.4977987507013608,-0.4980423506473297,-0.49787995068335045,0.4980423506473297,-0.00024359994596889756,0.0,0.08,left,high,0.03,left,-0.4354029884605504,0.4354029884605504,0.18855647523999403,left,0.08927823761999702,left,moderate,stalled,0.014997872545115948,-0.0002526244652785156,0.015,13.840649651454287,-0.4351503639952719,13.855647523999403,-0.4354029884605504,no_motion,balanced,straight,0.0,3.0,0.1,paused,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.07281553398058252,0.205,0.0,0.0,0.0
1.0,3.0,3.851,4.057,0.206,-1.235,-1.142,0.0930000000000002,-1.173,-0.11833333333333333,0.17104677722775133,9.666666666666666,9.0,0.6666666666666666,15.0,14.0,1.0,9.333333333333334,8.666666666666666,0.6666666666666666,14.0,12.0,9.0,13.0,9.0,13.0,0.3333333333333333,1.0,,,,,-0.7443333333333334,-1.235,0.7443333333333334,1.235,0.25333333333333335,0.443,14.0,20.5,9.009,13.24,0.0002960694235783427,-0.60920088493319,-0.609481151654039,-0.609294307173473,0.609481151654039,-0.0002802667208490206,0.0,0.08,left,high,0.03,left,-0.4356919783959443,0.4356919783959443,0.18870144643879477,left,0.0893507232193974,left,moderate,stalled,0.014497119880074147,-0.00028898993539391296,0.0145,13.855647523999403,-0.4354029884605504,13.870144643879478,-0.4356919783959443,no_motion,balanced,straight,0.0,3.0,0.1,paused,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,0.0703883495145631,0.205,0.0,0.0,0.0
1.0,4.0,4.406,4.85,0.444,-1.374,-1.257,0.11700000000000021,-1.36725,-0.217,0.2757072723016206,10.75,10.5,0.25,14.0,14.0,0.0,10.25,10.25,0.0,14.0,14.0,10.25,14.0,10.25,14.0,0.0,0.0,,,,,-1.04575,-1.419,1.04575,1.419,0.37775000000000003,0.504,15.625,21.0,10.18525,13.734,0.00044647048146285545,-0.7237010625552212,-0.7870763412368412,-0.7396324700320699,0.7870763412368412,-0.06337527868162007,0.0,0.08,left,high,0.043747999999999995,left,-0.5008530351150873,0.5008530351150873,0.21837929330184097,left,0.10418964665092048,left,mild,pause_recovering,2.9677846863046202,-0.06516105671914295,2.9684999999999997,13.870144643879478,-0.4356919783959443,16.837929330184096,-0.5008530351150873,slow_crawl,balanced,straight,0.0,3.5999999999999996,0.12,slow_straight,0.75,0.75,0.75,0.75,0.0,6.68581081081081,0.232,0.0,1.0,0.0
1.0,3.0,5.056,5.45,0.394,-1.308,-1.139,0.16900000000000004,-1.2516666666666667,0.04933333333333334,0.1329962405483704,9.666666666666666,9.666666666666666,0.0,14.0,15.0,-1.0,9.0,9.0,0.0,14.0,14.0,9.0,14.0,9.0,14.0,0.0,0.0,,,,,-0.8093333333333333,-1.171,0.8093333333333333,1.171,0.25333333333333335,0.354,13.666666666666666,20.5,9.022,13.581,0.00017253700891289639,-0.7870763412368412,-0.8972451130713334,-0.8239066877525655,0.8972451130713334,-0.11016877183449214,0.0,0.11426,left,high,0.065704,left,-0.6144587564669606,0.6144587564669606,0.27549799603675623,left,0.1327489980183781,left,mild,drift_left,5.711870273491525,-0.11360572135187336,5.713,16.837929330184096,-0.5008530351150873,22.54979960367562,-0.6144587564669606,moving,balanced,straight,0.0,3.0,0.11426,straight,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,14.500000000000002,0.0,0.0,0.0,0.0
1.0,3.0,5.655,6.004,0.349,-1.104,-1.211,-0.10699999999999998,-1.1396666666666668,0.11966666666666666,0.17095905942651884,9.666666666666666,10.0,-0.3333333333333333,14.0,15.0,-1.0,9.0,9.0,0.0,14.0,14.0,9.0,14.0,9.0,14.0,0.0,0.0,,,,,-0.7906666666666666,-1.233,0.7906666666666666,1.233,0.25766666666666665,0.424,13.5,20.5,9.016333333333334,13.717,0.00012336519352846694,-0.8972451130713334,-1.0011334916626995,-0.9319679007715528,1.0011334916626995,-0.10388837859136613,0.0,0.10122,left,high,0.060488,left,-0.7213917638737545,0.7213917638737545,0.3260966976682736,left,0.1580483488341368,left,mild,left_curve,5.059870163151741,-0.10693300740679386,5.061,22.54979960367562,-0.6144587564669606,27.60966976682736,-0.7213917638737545,moving,balanced,left_arc,0.05644148791537118,3.0,0.10122,left_arc,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0,14.501432664756448,0.0,0.0,0.0,0.0
