seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,state,enc_active_ratio,enc_nonzero_ratio,speed_proxy,stiction
1.0,4.0,0.0,0.428,0.428,-1.465,-9.027,-7.561999999999999,-5.2459999999999996,-3.099,4.382647829794221,11.25,12.5,-1.25,22.0,25.0,-3.0,8.0,8.0,0.0,11.0,11.0,0.07119325124809082,-0.0049143290957322765,0.0715,0.0,0.0,0.07119325124809082,-0.0049143290957322765,barely_moving,right_faster,left_arc,hesitating_left_arc,0.5,0.5,1.1098130841121494,0.0
1.0,2.0,0.812,1.133,0.321,-13.025,-13.61,-0.5849999999999991,-13.317499999999999,-6.641,6.7191788932874825,26.5,20.5,6.0,30.0,17.0,13.0,23.5,16.5,7.0,27.0,13.0,7.3316781106452185,-1.7750741764460887,7.5435,0.07119325124809082,-0.0049143290957322765,7.402871361893309,-1.779988505541821,barely_moving,left_faster,left_arc,hesitating_left_arc,1.0,1.0,1.4641744548286606,0.0
1.0,2.0,1.513,1.904,0.391,22.629,33.845,11.215999999999998,28.237000000000002,29.543999999999997,29.544560582279775,27.5,24.5,3.0,22.0,35.0,-13.0,22.0,22.0,0.0,17.0,31.0,9.25520383162211,6.2063511248661545,11.143499999999998,7.402871361893309,-1.779988505541821,16.65807519351542,4.426362619324333,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,1.329923273657289,0.0
1.0,2.0,2.256,2.682,0.426,7.375,-37.625,-45.0,-15.125,-24.4545,29.908757087181005,20.5,36.5,-16.0,19.0,33.0,-14.0,18.5,29.5,-11.0,18.0,26.0,8.772450534802728,-6.761796182556774,11.076,16.65807519351542,4.426362619324333,25.430525728318145,-2.3354335632324403,barely_moving,right_faster,left_arc,hesitating_left_arc,1.0,1.0,1.3380281690140847,0.0
1.0,3.0,3.093,3.526,0.433,-46.59,-46.228546,0.36145400000000194,-46.349182000000006,-26.246261333333333,26.9219944134324,19.666666666666668,13.0,6.666666666666667,21.0,9.0,12.0,19.333333333333332,8.0,11.333333333333334,18.0,18.0,5.0378894588604,-5.25875232821321,7.2825,25.430525728318145,-2.3354335632324403,30.468415187178543,-7.59418589144565,barely_moving,left_faster,left_arc,hesitating_left_arc,1.0,1.0,1.1316397228637414,0.0
1.0,2.0,3.747,4.15,0.403,-18.77,13.373,32.143,-2.6985,20.638,24.149611280515472,25.0,13.5,11.5,29.0,13.0,16.0,21.0,14.0,7.0,25.0,11.0,8.23352557576847,1.9574027672317522,8.463000000000001,30.468415187178543,-7.59418589144565,38.70194076294701,-5.636783124213898,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,0.955334987593052,0.0
1.0,2.0,4.568,4.921,0.353,14.539,-10.505,-25.044,2.0169999999999995,6.181500000000001,17.489336822761462,20.0,35.5,-15.5,19.0,38.0,-19.0,16.5,30.5,-14.0,17.0,31.0,9.891875967250083,-1.8342437402210732,10.060499999999998,38.70194076294701,-5.636783124213898,48.59381673019709,-7.471026864434972,barely_moving,right_faster,left_arc,hesitating_left_arc,1.0,1.0,1.5722379603399432,0.0
1.0,2.0,5.312,5.696,0.384,-25.205,7.019,32.224,-9.093,-1.628499999999999,18.219425745615585,33.5,19.0,14.5,35.0,16.0,19.0,28.0,15.0,13.0,28.0,14.0,9.718615654435572,1.196567491351748,9.792,48.59381673019709,-7.471026864434972,58.312432384632665,-6.274459373083224,barely_moving,left_faster,right_arc,hesitating_right_arc,1.0,1.0,1.3671875,0.0
