idx,x,y
0,0.0,0.0
1,0.012,0.0
2,0.012,0.0
3,0.025998473890798568,0.0002067092853038739
4,0.025998473890798568,0.0002067092853038739
5,0.05399467359908127,0.0006680138419164159
6,5.664437856944053,0.10956951272020686
7,11.444995061694975,0.23872988823145003
8,17.33712331846984,0.3872580192882231
9,23.228364870322192,0.567560481080262
10,28.909418935511567,0.7342846796695817
11,34.79875290843478,0.9687657138120969
12,40.692182685723196,1.0507502255819965
13,43.540406979387605,1.0903813116113479
14,45.22230073208979,1.1092864596232248
15,51.312300323035814,1.1070543580928247
16,57.19229593471781,1.1142381315069194
17,63.08622199160038,1.1437616136984181
18,68.97944558139895,1.2394262395627416
19,74.87095710925165,1.4106801947836514
20,80.5492914977546,1.6529420827166836
21,86.21495502976434,1.8746552804630456
22,92.1086854466555,1.9310270199428181
23,98.21314286702588,1.95382730250732
24,103.68610952363697,1.9729316377028396
25,109.57960052271095,2.050390296573493
26,115.26235666375115,2.1423407803673804
27,121.1393642777879,2.3299081137547097
28,126.82259184281573,2.385556061676762
29,132.71659033376943,2.381338404086098
30,138.61039955309536,2.333915981241042
31,144.29357850425887,2.273506883812662
32,149.9766794103774,2.206154520268197
33,155.8699129858389,2.1111070318584746
34,162.18434124357486,2.02613187133658
35,168.07774643615693,1.9423987473856381
36,174.37759672376117,1.898966572991912
37,180.48206524554521,1.8793625798377749
38,186.7969440313699,1.9184895569965787
39,193.3210554923645,2.053099714558178
40,199.84339253639547,2.256249250765696
41,206.36624880621727,2.4419811361443102
42,212.8908984271402,2.547326160660966
43,219.2049211720144,2.6584197122800104
44,225.71235119698616,2.8413253439482786
45,232.23414556767398,3.0612081228664985
46,238.75722698520315,3.238856850094526
47,245.28192909027916,3.340899439324072
48,251.8061374728144,3.470727137665938
49,258.327823609742,3.693797040178473
50,264.64208722334075,3.7902336410227226
51,271.3613787344681,3.8878122682540996
52,277.8854043296039,4.0265216191024145
53,284.19836822192474,4.186870907385503
54,290.720754710043,4.388426729955553
55,297.03353847287826,4.5557173862519145
56,303.76657717734014,4.755431692745588
57,310.07819965250894,4.961942542203229
58,316.58812629531326,4.992847320251292
59,323.1131959812422,4.917908386636032
60,329.2167267780645,4.809133103407058
61,335.7420637558563,4.763007446082476
62,342.2673241492103,4.81892746866549
63,348.58078019780675,4.958561713896445
64,354.89122231973374,5.198447573857548
65,360.97800325671966,5.396431980175392
66,364.5411470753678,5.511458618958444
67,369.17323403961035,5.660993249376411
68,375.2115679890206,5.377183250610124
69,381.3809812090322,4.854677010699288
70,387.1634739741163,4.55992724946066
71,393.35821489906243,4.6165829887783625
72,399.87204580169856,5.006656343242293
73,406.37330631728645,5.568583347805771
74,413.0931102925776,6.035413652800129
75,419.596211412601,6.3350397910963965
76,426.05814156241524,6.49860855009918
77,432.23383808586294,6.559833138915248
78,435.8976917949883,6.592574521420207
79,442.4376775567098,6.7077580119044535
80,448.2635505944834,6.865197993303542
81,454.67592972269694,7.1779181814132205
82,461.4040080157968,7.504504283258386
83,467.71765971731844,7.634992565772322
84,474.24300932139386,7.679296003481067
85,481.18861189117655,7.790952586931329
86,488.11774168816515,7.900771786003638
87,494.8524524766102,8.032554167230247
88,501.7932438753813,8.3141158989085
89,508.5268171903513,8.494909737086891
90,515.6805057492279,8.712599889823313
91,522.8374731244448,8.734209843107118
92,529.5726494909749,8.628875557450813
93,536.5026369505907,8.615691871832338
94,543.0813943945121,8.672185181605116
95,550.1426081156093,8.777564425245053
96,556.3534694745719,8.920243890288216
97,563.5214590182251,9.237341512604798
98,569.6708235109438,9.476155950380493
99,575.4434261091614,9.6425417762543
100,582.9744183964866,9.631763638764332
101,586.9819161252734,9.627497051314155
102,594.1388974185313,9.611133434463026
103,599.9148954751965,9.606395354767427
104,605.3598898988436,9.598602636850433
105,609.4848679287695,9.585139627234595
106,616.8522793240911,9.621272466656315
107,623.1697142787882,9.649940273896139
108,630.3463906546144,9.758671348840792
109,635.8757963615471,9.839742478969816
110,643.2492973881491,10.097359657550413
111,650.4037823425302,10.287080604033918
112,657.5597902721745,10.406242304541937
113,664.5055771406046,10.505776360746243
114,671.6607293232724,10.668399369153802
115,678.6033375509164,10.90089291196739
116,685.7421681360552,11.030113176195727
117,692.8981509515827,11.150773624875335
118,700.0531614406372,11.319515740306226
119,707.417058264506,11.549906316100639
120,714.5728079419878,11.683680578267927
121,721.5191669887554,11.727932622174372
122,728.6589477519774,11.78388486184611
123,735.8317863254966,11.912969323476236
124,742.759752958983,12.080833331827728
125,749.9134642750945,12.29777435085781
126,757.0691644411112,12.43417132321974
127,764.4364972482035,12.483805580960556
128,771.8039926519414,12.492035155738202
129,778.7503674513558,12.533741223165094
130,785.9067427949498,12.628297775558499
131,793.0630346556806,12.728974505927635
132,800.2018035545606,12.861558850341968
133,807.1625554292593,13.038483520405183
134,814.508707796238,13.276276289708324
135,822.0854880937231,13.412233355138273
136,829.6628405981685,13.511294060643229
137,836.8189945423495,13.621338266224026
138,844.184533492981,13.791315372711463
139,851.318771467584,14.078105403453167
140,858.4725167724556,14.29392271746564
141,865.6294881645874,14.31415863126292
142,872.5758903875379,14.277302058058707
143,879.7327203095036,14.227961729148246
144,886.8894323183933,14.163757198052709
145,894.029326458594,14.124877039522683
146,901.1862422135238,14.090151302126445
147,908.3432143076619,14.07016521377197
148,915.5001689432137,14.095647455703645
149,922.4465895120221,14.128866896323078
150,929.8136441413579,14.209875157511389
