seg_index,sample_n,t0_s,t1_s,duration_s,yaw_start,yaw_end,yaw_delta,yaw_mean,yr_mean,yr_rms,el_mean,er_mean,ed_mean,el_end,er_end,ed_end,outL_mean,outR_mean,out_diff_mean,outL_end,outR_end,pwm_mean,pwm_end,pc_mean,pc_end,hd_mean,hd_end,aa_mean,aa_end,ae_mean,ae_end,ao_mean,ao_end,se_mean,se_end,so_mean,so_end,curve_abs_mean,line_dev_start,line_dev_end,line_dev_mean,line_dev_abs_max,line_dev_delta,yaw_switch_n,deviation_eps,deviation_side,deviation_severity,cum_lat_end,cum_lat_abs,cum_lat_eps,cum_lat_side,cum_lat_severity,segment_kind,x_local,y_local,path_len,x_total_start,y_total_start,x_total_end,y_total_end,motion_level,wheel_bias,turn_state,turn_conf,turn_yaw_eps,turn_y_eps,state,enc_active_ratio,enc_nonzero_ratio,out_nonzero_ratio,out_strong_ratio,output_only_ratio,speed_proxy,idle_streak_s,output_idle_streak_s,pause_suspected,stiction
1.0,5.0,0.0,0.417,0.417,-0.142,-1.024,-0.882,-0.548,-0.7742,0.9507692674881745,2.2,2.4,-0.2,5.0,6.0,-1.0,4.0,4.0,0.0,7.0,7.0,4.0,7.0,4.0,7.0,0.0,0.0,-0.10999999999999999,-0.408,0.10999999999999999,0.408,0.0212,0.078,6.752800000000001,12.028,4.0918,7.31,0.001105375192929742,0.0,-0.003392909251652422,-0.002003136647916491,0.003392909251652422,-0.003392909251652422,0.0,0.08,balanced,low,-0.006084790300942616,0.006084790300942616,0.08,balanced,low,stuck,0.8474778182908047,-0.006084790300942616,0.8474999999999999,0.0,0.0,0.8474778182908047,-0.006084790300942616,barely_moving,balanced,straight,0.0,4.5,0.15000000000000002,hesitating_straight,0.6,0.6,0.6,0.6,0.0,2.0323741007194243,0.205,0.0,0.0,0.0
1.0,3.0,0.809,1.218,0.409,-2.675,-5.14,-2.465,-3.9619999999999997,-4.016666666666667,4.078638743502543,8.666666666666666,9.0,-0.3333333333333333,10.0,10.0,0.0,10.333333333333334,9.666666666666666,0.6666666666666666,12.0,10.0,10.0,11.0,10.0,11.0,0.3333333333333333,1.0,-2.81,-4.071,2.81,4.071,0.49933333333333335,0.706,15.894666666666666,17.128,9.731666666666667,10.511,0.01071762362338577,-0.13127560703977598,-0.432719102610832,-0.27346849133855383,0.432719102610832,-0.30144349557105604,0.0,0.08,left,high,-0.31982898141616206,0.31982898141616206,0.09719619270161883,left,high,left_curve,3.8721414518710793,-0.31374419111521945,3.885,0.8474778182908047,-0.006084790300942616,4.719619270161884,-0.31982898141616206,slow_crawl,balanced,left_arc,1.0,3.5999999999999996,0.12,slow_left_arc,1.0,1.0,1.0,1.0,0.0,9.49877750611247,0.0,0.0,0.0,0.0
1.0,3.0,1.423,1.82,0.397,-5.465,-2.977,2.488,-4.3533333333333335,-0.6646666666666667,2.426915051390688,13.0,11.666666666666666,1.3333333333333333,14.0,13.0,1.0,13.0,11.0,2.0,14.0,12.0,12.0,13.0,12.0,13.0,1.0,1.0,-5.073333333333333,-4.617,5.073333333333333,4.617,0.7553333333333333,0.581,19.554666666666666,20.948,12.055333333333332,12.942,0.006338931346012925,-0.649786696116358,-0.95565618184348,-0.8027913304310298,0.95565618184348,-0.305869485727122,0.0,0.10224,left,high,-0.6419035348731166,0.6419035348731166,0.14820964716578103,left,high,left_curve,5.101345446416218,-0.32207455345695457,5.112,4.719619270161884,-0.31982898141616206,9.820964716578102,-0.6419035348731166,moving,left_faster,left_arc,1.0,3.0,0.10224,left_arc,1.0,1.0,1.0,1.0,0.0,12.876574307304786,0.0,0.0,0.0,0.0
1.0,3.0,2.029,2.45,0.421,-1.405,1.44,2.845,0.3653333333333333,5.1433333333333335,5.246544323012371,14.666666666666666,14.0,0.6666666666666666,15.0,14.0,1.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,-1.107,1.061,1.107,-1.061,-0.078,-0.453,20.666666666666668,20.5,12.879666666666667,12.831,0.008397994730753654,-1.0203389980381021,-0.8712436716450911,-0.9481670691492381,1.0203389980381021,0.14909532639301104,0.0,0.11986999999999999,left,high,-0.5118401657750178,0.5118401657750178,0.2081302057127496,left,moderate,right_curve,5.992055854696858,0.13006336909809885,5.993499999999999,9.820964716578102,-0.6419035348731166,15.81302057127496,-0.5118401657750178,moving,balanced,right_arc,0.08503686575539215,3.0,0.11986999999999999,right_arc,1.0,1.0,1.0,1.0,0.0,14.236342042755345,0.0,0.0,0.0,0.0
1.0,3.0,2.655,3.085,0.43,2.358,2.041,-0.31700000000000017,2.267333333333333,3.1376666666666666,3.407356502236497,14.333333333333334,14.0,0.3333333333333333,15.0,14.0,1.0,13.0,13.666666666666666,-0.6666666666666666,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,-0.3333333333333333,0.0,2.067,2.403,-2.067,-2.403,-0.46166666666666667,-0.447,20.833333333333332,20.5,13.134,12.988,0.0025952104671481406,-0.7440548633590576,-0.48813490103211415,-0.6158117995179867,0.7440548633590576,0.2559199623269434,0.0,0.12265999999999999,left,high,-0.2753847255074927,0.2753847255074927,0.26941430171351394,left,mild,right_curve,6.128409600076436,0.23645544026752507,6.132999999999999,15.81302057127496,-0.5118401657750178,21.941430171351396,-0.2753847255074927,moving,balanced,right_arc,0.9277306397156784,3.0,0.12265999999999999,right_arc,1.0,1.0,1.0,1.0,0.0,14.262790697674419,0.0,0.0,0.0,0.0
1.0,4.0,3.241,3.638,0.397,1.992,1.524,-0.46799999999999997,1.82141675,0.28726225,0.5764122228060835,14.0,14.5,-0.5,14.0,14.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,1.9507495,1.885,-1.9507495,-1.885,-0.2735505,-0.246,20.75,21.0,13.23812425,13.423,0.005858721752839382,-0.4023278130149387,-0.2010406310178806,-0.2743547642465277,0.4023278130149387,0.20128718199705808,0.0,0.1126,left,high,-0.09196972183798924,0.09196972183798924,0.32568436436810794,balanced,low,right_curve,5.627006265459398,0.18341500366950347,5.63,21.941430171351396,-0.2753847255074927,27.568436436810792,-0.09196972183798924,moving,balanced,right_arc,0.6289076702442582,3.0,0.1126,right_arc,1.0,1.0,1.0,1.0,0.0,14.181360201511337,0.0,0.0,0.0,0.0
1.0,3.0,3.827,4.268,0.441,1.526,1.248,-0.278,1.4183333333333332,-0.39599999999999996,0.4159831727365904,14.666666666666666,15.0,-0.3333333333333333,15.0,15.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,1.5106666666666666,1.481,-1.5106666666666666,-1.481,-0.16266666666666665,-0.164,20.166666666666668,20.0,13.026000000000002,12.978,0.0005143169322765639,-0.11654169092787624,0.05931876396341174,-0.02537981322618117,0.11654169092787624,0.175860454891288,0.0,0.12997999999999998,balanced,mild,0.06325462351240999,0.06325462351240999,0.35,balanced,low,right_curve,6.497132598106477,0.15522434535039922,6.499,27.568436436810792,-0.09196972183798924,34.06556903491727,0.06325462351240999,moving,balanced,right_arc,0.1942171514879154,3.0,0.12997999999999998,right_arc,1.0,1.0,1.0,1.0,0.0,14.736961451247167,0.0,0.0,0.0,0.0
1.0,3.0,4.473,4.882,0.409,1.161,1.246,0.08499999999999996,1.2186666666666668,-0.2793333333333334,0.3287410328308084,15.0,15.0,0.0,15.0,15.0,0.0,13.0,13.0,0.0,13.0,13.0,13.0,13.0,13.0,13.0,0.0,0.0,1.2193333333333334,1.249,-1.2193333333333334,-1.249,-0.125,-0.141,20.0,20.0,13.078000000000001,13.128,0.0003371011145579421,0.12898655262927622,0.28459471409399745,0.20730638080253092,0.28459471409399745,0.15560816146472123,0.0,0.12474999999999999,right,moderate,0.199055946640217,0.199055946640217,0.35,balanced,low,right_curve,6.236021506054975,0.13580132312780702,6.237499999999999,34.06556903491727,0.06325462351240999,40.30159054097224,0.199055946640217,moving,balanced,right_arc,0.08858776054354345,3.0,0.12474999999999999,right_arc,1.0,1.0,1.0,1.0,0.0,15.250611246943766,0.0,0.0,0.0,0.0
1.0,3.0,5.091,5.456,0.365,0.981,1.166,0.18499999999999994,1.091,-0.19799999999999998,0.3093293821586735,15.0,14.666666666666666,0.3333333333333333,15.0,14.0,1.0,13.333333333333334,13.333333333333334,0.0,14.0,14.0,13.333333333333334,14.0,13.333333333333334,14.0,0.0,0.0,1.118,1.127,-1.118,-1.127,-0.12166666666666666,-0.131,20.166666666666668,20.5,13.324666666666667,13.566,0.0008751991850835494,0.34610355811668436,0.473200072254223,0.4125284443068206,0.473200072254223,0.12709651413753864,0.0,0.10993,right,high,0.30869791319172035,0.30869791319172035,0.35,balanced,low,straight,5.495406016976832,0.10964196655150335,5.4965,40.30159054097224,0.199055946640217,45.79699655794907,0.30869791319172035,moving,balanced,straight,0.0,3.0,0.10993,straight,1.0,1.0,1.0,1.0,0.0,15.05890410958904,0.0,0.0,0.0,0.0
1.0,3.0,5.689,6.098,0.409,1.156,1.057,-0.09899999999999998,1.0336666666666667,-0.15566666666666668,0.265649518476256,14.666666666666666,15.0,-0.3333333333333333,15.0,15.0,0.0,13.333333333333334,13.333333333333334,0.0,13.0,13.0,13.333333333333334,13.0,13.333333333333334,13.0,0.0,0.0,1.0703333333333334,0.888,-1.0703333333333334,-0.888,-0.12133333333333333,-0.084,20.166666666666668,20.0,13.472,13.42,0.0008634861597627525,0.5548090101977668,0.6765359476163482,0.6137969748698812,0.6765359476163482,0.12172693741858132,0.0,0.12065999999999999,right,high,0.4112654938033198,0.4112654938033198,0.35,right,low,straight,6.032121497114398,0.1025675806115994,6.0329999999999995,45.79699655794907,0.30869791319172035,51.82911805506347,0.4112654938033198,moving,balanced,straight,0.0,3.0,0.12065999999999999,straight,1.0,1.0,1.0,1.0,0.0,14.750611246943764,0.0,0.0,0.0,0.0
