idx,seg_index,seg_row_index,tick,t_s,yaw_deg,yaw_unwrapped_deg,yr,el,er,ed,L,R,outL,outR,out_diff,pwm,pc,hd,aa,ae,ao,se,so,x,y,s,dx,dy,ds,kappa,line_progress,line_progress_ratio,line_dev,line_dev_abs,line_dev_side
0,1,0,1448857.0,0.0,-0.259,-0.259,-0.571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,balanced
1,1,1,1448858.0,0.001,-0.259,-0.259,-0.571,1.0,3.0,-2.0,6.0,6.0,6.0,6.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,10.2,6.157,0.001999979565993659,-9.040774735330083e-06,0.002,0.001999979565993659,-9.040774735330083e-06,0.002,0.0,0.001999908088307503,7.976153134375487e-06,-1.91738968972489e-05,1.91738968972489e-05,balanced
2,1,2,1449277.0,0.42,-3.355,-3.355,-4.885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001999979565993659,-9.040774735330083e-06,0.002,0.0,-0.0,0.0,0.0,0.001999908088307503,7.976153134375487e-06,-1.91738968972489e-05,1.91738968972489e-05,balanced
3,1,3,1449278.0,0.421,-3.355,-3.355,-4.885,3.0,6.0,-3.0,8.0,8.0,8.0,8.0,0.0,8.0,8.0,0.0,-0.463,0.463,0.149,12.74,7.74,0.006492267012184951,-0.00027239130310411616,0.006500000000000001,0.0044922874461912924,-0.0002633505283687861,0.0045000000000000005,0.0,0.00649080356257749,2.5887011249642827e-05,-0.0003052819869285514,0.0003052819869285514,balanced
4,1,4,1449489.0,0.632,-5.784,-5.784,-7.186,5.0,5.0,0.0,10.0,8.0,10.0,8.0,2.0,9.0,9.0,1.0,-3.355,3.355,1.051,14.76,8.987,1.0561211462563715,-0.10659367730262923,1.0614999999999999,1.0496288792441866,-0.1063212859995251,1.055,-0.04018393130895001,1.0555675151655957,0.004209877540801495,-0.11194332734870437,0.11194332734870437,balanced
5,1,5,1449836.0,0.979,-7.694,-7.694,-5.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0561211462563715,-0.10659367730262923,1.0614999999999999,0.0,-0.0,0.0,0.0,1.0555675151655957,0.004209877540801495,-0.11194332734870437,0.11194332734870437,balanced
6,1,6,1449837.0,0.98,-7.694,-7.694,-5.851,9.0,7.0,2.0,12.0,8.0,12.0,8.0,4.0,10.0,10.0,2.0,-7.449,7.449,2.21,15.96,9.771,1.064049124058625,-0.10766473657595577,1.0695,0.00792797780225331,-0.0010710592733265474,0.008,0.0,1.0634899645022082,0.004241474327412639,-0.11305454132846224,0.11305454132846224,balanced
7,1,7,1450070.0,1.213,-6.928,-6.928,-2.657,11.0,9.0,2.0,12.0,8.0,12.0,8.0,4.0,10.0,10.0,2.0,-7.694,7.694,2.151,16.84,10.346,3.3770366604010054,-0.38871394352165484,3.3994999999999997,2.3129875363423804,-0.28104920694569907,2.33,0.00573786354947492,3.3750238282951055,0.013460472030707054,-0.40581928739376333,0.40581928739376333,balanced
8,1,8,1450274.0,1.417,-4.375,-4.375,2.654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3770366604010054,-0.38871394352165484,3.3994999999999997,0.0,-0.0,0.0,0.0,3.3750238282951055,0.013460472030707054,-0.40581928739376333,0.40581928739376333,balanced
9,1,9,1450275.0,1.418,-4.375,-4.375,2.654,12.0,9.0,3.0,14.0,10.0,14.0,10.0,4.0,12.0,12.0,2.0,-6.928,6.928,1.811,18.74,11.527,3.387506064790202,-0.3895149252539463,3.4099999999999997,0.0104694043891969,-0.0008009817322914992,0.0105,0.0,3.3854890399917856,0.013502210014349602,-0.406673303871164,0.406673303871164,balanced
